,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,6.2,6.2,63.19,64.71,-0.11,-0.14,-0.1,24.8,24.8
1,2,4.44,4.44,7.73,7.36,-1.0,-1.0,-1.0,24.8,49.5
2,3,4.55,4.55,4.95,4.55,-0.94,-0.92,-0.92,24.8,74.4
3,4,4.22,4.22,8.44,8.78,-0.72,-0.69,-0.7,25.0,99.4
4,5,4.1,4.1,49.76,49.33,-0.79,-0.78,-0.78,24.7,124.1
5,6,4.11,4.11,7.94,7.67,-0.97,-0.96,-0.98,24.5,148.6
6,7,3.85,3.85,4.63,4.35,-0.92,-0.9,-0.93,24.9,173.5
7,8,4.05,4.05,6.43,5.97,-0.92,-0.9,-0.91,24.6,198.1
8,9,3.63,3.63,4.11,3.19,-0.65,-0.66,-0.7,24.6,222.7
9,10,3.92,3.92,10.86,11.52,-0.63,-0.63,-0.63,24.7,247.4
10,11,4.17,4.17,6.95,6.66,-0.97,-0.96,-0.98,24.8,272.2
11,12,3.76,3.76,15.31,16.08,0.12,-0.04,0.09,24.7,297.0
12,13,4.11,4.11,6.4,6.16,-0.97,-0.97,-0.98,25.0,321.9
13,14,3.77,3.77,4.55,3.92,-0.76,-0.75,-0.81,24.5,346.4
14,15,3.72,3.72,27.9,27.47,-0.33,-0.37,-0.36,24.7,371.2
15,16,4.21,4.21,5.49,5.0,-0.96,-0.94,-0.96,24.6,395.8
16,17,3.59,3.59,8.2,8.55,-0.49,-0.48,-0.55,24.6,420.4
17,18,3.49,3.49,15.73,15.9,0.05,0.01,-0.09,24.8,445.2
18,19,3.63,3.63,5.16,5.1,-0.44,-0.41,-0.41,24.5,469.8
19,20,3.48,3.48,5.5,5.6,-0.34,-0.37,-0.43,24.7,494.5
20,21,3.67,3.67,9.41,10.5,-0.05,-0.14,-0.05,24.9,519.5
21,22,3.74,3.74,4.59,4.34,-0.97,-0.98,-0.98,24.8,544.2
22,23,4.03,4.03,4.15,3.12,-0.74,-0.74,-0.78,24.9,569.1
23,24,3.62,3.62,9.05,8.65,-0.99,-0.99,-0.99,24.6,593.7
24,25,3.3,3.3,3.7,3.12,-0.87,-0.83,-0.91,24.9,618.6
25,26,3.83,3.83,4.45,3.79,-0.86,-0.81,-0.89,24.9,643.5
26,27,3.54,3.54,3.54,2.93,-0.3,-0.29,-0.43,24.8,668.3
27,28,3.6,3.6,12.32,12.0,-0.15,-0.13,-0.23,24.9,693.2
28,29,3.35,3.35,8.22,7.78,-0.98,-0.97,-0.99,24.8,718.0
29,30,3.91,3.91,4.59,4.02,-0.91,-0.89,-0.95,24.9,742.9
30,31,3.98,3.98,4.37,3.93,-0.6,-0.55,-0.69,24.7,767.6
31,32,3.6,3.6,9.38,8.95,-0.99,-0.99,-1.0,25.0,792.6
32,33,3.64,3.64,7.99,8.28,-0.39,-0.45,-0.38,24.8,817.4
33,34,3.34,3.34,5.03,4.29,-0.86,-0.84,-0.87,24.7,842.1
34,35,3.59,3.59,4.87,3.89,-0.79,-0.8,-0.86,24.8,866.9
35,36,3.19,3.19,5.05,4.85,-0.9,-0.89,-0.94,24.8,891.7
36,37,3.21,3.21,7.98,7.53,-0.97,-0.96,-0.97,24.7,916.4
37,38,3.16,3.16,4.1,3.73,-0.5,-0.49,-0.59,24.7,941.1
38,39,3.39,3.39,7.26,7.92,-0.17,-0.25,-0.32,24.7,965.8
39,40,3.56,3.56,7.39,8.31,0.19,-0.04,-0.06,24.5,990.3
40,41,3.4,3.4,5.92,5.38,-0.9,-0.9,-0.94,24.6,1014.9
41,42,3.6,3.6,4.98,5.7,-0.26,-0.38,-0.36,24.7,1039.6
42,43,3.16,3.16,7.65,8.2,-0.31,-0.46,-0.44,24.5,1064.1
43,44,3.53,3.53,3.69,3.51,-0.47,-0.5,-0.56,24.6,1088.8
44,45,3.05,3.05,19.6,19.61,-0.02,-0.08,-0.11,24.8,1113.5
45,46,3.09,3.09,8.87,8.42,-0.98,-0.99,-0.99,24.6,1138.1
46,47,3.53,3.53,4.82,3.56,-0.71,-0.7,-0.75,24.7,1162.8
47,48,3.2,3.2,3.79,3.49,-0.79,-0.8,-0.85,24.7,1187.5
48,49,3.36,3.36,6.91,6.34,-0.91,-0.89,-0.92,24.7,1212.2
49,50,3.22,3.22,3.89,3.35,-0.71,-0.73,-0.7,24.5,1236.6
50,51,3.27,3.27,3.62,3.31,-0.54,-0.6,-0.6,24.7,1261.3
51,52,3.3,3.3,3.62,3.15,-0.53,-0.56,-0.58,24.8,1286.2
52,53,3.09,3.09,4.1,3.9,-0.31,-0.37,-0.4,24.6,1310.8
53,54,3.1,3.1,3.66,3.59,-0.49,-0.6,-0.66,24.7,1335.5
54,55,2.93,2.93,4.09,4.17,-0.42,-0.55,-0.59,24.7,1360.2
55,56,2.94,2.94,4.66,4.35,-0.86,-0.87,-0.89,24.4,1384.6
56,57,2.77,2.77,4.69,4.2,-0.9,-0.9,-0.91,24.7,1409.3
57,58,2.87,2.87,6.44,6.38,0.25,-0.08,-0.28,24.5,1433.8
58,59,2.81,2.81,3.79,2.94,-0.47,-0.55,-0.66,24.7,1458.5
59,60,2.63,2.63,3.9,3.22,-0.67,-0.67,-0.7,24.7,1483.2
60,61,2.68,2.68,3.96,3.62,-0.4,-0.47,-0.56,24.8,1508.0
61,62,2.84,2.84,3.7,3.5,-0.62,-0.59,-0.72,25.0,1533.0
62,63,2.81,2.81,4.3,4.37,-0.16,-0.41,-0.41,24.7,1557.7
63,64,2.75,2.75,7.09,6.57,-0.92,-0.91,-0.95,24.8,1582.4
64,65,3.1,3.1,5.77,5.11,-0.92,-0.9,-0.91,24.5,1607.0
65,66,2.65,2.65,11.89,12.11,0.34,0.05,0.18,24.7,1631.6
66,67,2.75,2.75,5.92,5.26,-0.9,-0.89,-0.91,24.7,1656.3
67,68,2.7,2.7,5.24,4.38,-0.83,-0.78,-0.82,24.7,1681.0
68,69,3.21,3.21,8.74,9.55,0.34,-0.06,-0.09,24.6,1705.6
69,70,2.98,2.98,3.83,3.33,-0.48,-0.53,-0.58,24.7,1730.3
70,71,2.67,2.67,3.69,3.16,-0.58,-0.65,-0.71,24.8,1755.0
71,72,2.33,2.33,4.14,4.26,-0.17,-0.34,-0.36,24.8,1779.9
72,73,2.77,2.77,3.67,3.48,-0.55,-0.61,-0.63,24.6,1804.4
73,74,2.8,2.8,4.0,3.54,-0.71,-0.69,-0.74,24.8,1829.3
