,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,8.95,6.43,11.04,10.56,-0.99,-0.99,-0.99,25.2,25.2
1,2,6.67,5.12,18.5,19.15,-0.04,-0.15,-0.05,24.9,50.1
2,3,4.95,3.93,55.65,55.39,0.35,0.22,0.22,25.1,75.1
3,4,5.42,4.45,5.53,5.8,0.01,-0.15,-0.13,24.9,100.0
4,5,4.6,4.02,4.8,4.78,-0.25,-0.32,-0.37,24.8,124.8
5,6,4.89,4.21,4.15,3.2,-0.16,-0.25,-0.36,24.6,149.4
6,7,4.63,3.92,9.02,8.67,-0.93,-0.91,-0.95,24.7,174.2
7,8,4.46,3.75,3.79,3.44,-0.71,-0.66,-0.7,25.0,199.2
8,9,4.58,3.86,21.32,21.33,0.36,0.11,0.21,25.2,224.4
9,10,4.71,3.94,9.42,9.12,-0.99,-0.99,-1.0,25.1,249.5
10,11,4.77,4.04,6.92,6.28,-0.93,-0.93,-0.94,24.8,274.3
11,12,4.59,3.93,4.32,3.73,-0.79,-0.79,-0.78,24.9,299.2
12,13,4.69,4.02,4.34,3.13,-0.36,-0.46,-0.49,25.1,324.2
13,14,4.94,4.15,7.14,5.46,0.06,-0.34,-0.09,24.9,349.1
14,15,4.48,3.72,9.19,9.05,-0.97,-0.93,-0.97,24.8,374.0
15,16,4.24,3.66,13.94,14.31,0.59,0.25,0.48,24.9,398.9
16,17,4.63,4.21,12.43,12.16,-0.97,-0.98,-0.99,24.9,423.8
17,18,4.29,3.5,4.48,3.33,0.21,-0.09,-0.02,25.0,448.8
18,19,4.32,3.77,7.42,7.1,0.16,-0.0,-0.01,25.0,473.9
19,20,4.81,4.18,6.02,5.25,-0.62,-0.61,-0.67,24.8,498.7
20,21,4.15,3.69,3.9,3.04,-0.2,-0.42,-0.5,24.9,523.6
21,22,4.3,3.65,22.07,21.02,0.53,0.23,0.4,24.8,548.4
22,23,4.15,3.74,8.12,7.97,-0.98,-0.97,-0.99,25.1,573.5
23,24,4.05,3.7,17.0,16.12,-0.09,-0.18,-0.18,24.8,598.3
24,25,4.64,4.05,13.12,13.16,0.48,0.09,0.29,25.1,623.3
25,26,4.6,4.08,11.2,10.88,-0.99,-0.99,-1.0,24.7,648.0
26,27,4.12,3.5,4.51,3.4,0.08,-0.29,-0.14,25.1,673.2
27,28,3.87,3.25,4.33,3.28,-0.58,-0.55,-0.73,24.8,697.9
28,29,3.83,3.32,5.87,5.02,-0.76,-0.73,-0.76,24.7,722.6
29,30,4.26,3.66,5.66,4.33,0.39,0.06,0.21,25.0,747.6
30,31,5.24,4.73,4.86,5.03,0.19,-0.15,-0.06,24.8,772.4
31,32,3.61,3.28,7.13,6.67,-0.89,-0.84,-0.9,25.0,797.4
32,33,3.99,3.73,7.85,7.14,-0.8,-0.82,-0.89,25.1,822.5
33,34,4.23,3.6,8.3,7.8,-0.03,-0.28,-0.17,25.1,847.6
34,35,4.01,3.43,5.15,4.8,-0.79,-0.75,-0.83,25.2,872.8
35,36,3.74,3.33,7.0,6.76,-0.96,-0.92,-0.95,24.9,897.7
36,37,4.05,3.44,10.13,10.51,0.5,0.03,0.27,25.2,922.9
37,38,4.56,4.02,15.33,15.27,0.02,-0.21,-0.02,25.0,947.9
38,39,4.87,4.18,5.87,5.14,-0.82,-0.77,-0.8,24.9,972.8
39,40,3.94,3.51,3.79,3.03,-0.64,-0.61,-0.62,24.9,997.7
40,41,3.74,3.44,4.5,3.87,0.36,-0.19,0.09,25.1,1022.8
