,Unnamed: 0,predicted_value,ground_truth
0,0,10.24921126029473,8.39
1,1,15.126291324639023,15.7
2,2,22.304442164957294,16.1
3,3,12.586291271801345,9.15
4,4,20.239916505885272,23.0
5,5,9.93057468299708,7.7502
6,6,8.57882634450795,9.5202
7,7,28.55676382860396,34.0068
8,8,10.64088133563702,9.2
9,9,9.06435065880905,11.56
10,10,20.883516277505358,17.78
11,11,20.407530909930763,26.0
12,12,35.83999072320174,21.0
13,13,16.181378419933704,13.12
14,14,11.48979453606792,16.03
15,15,20.986533441832414,17.6
16,16,31.64515181551802,39.2526
17,17,16.953666310940722,13.8097
18,18,13.74888356548751,12.76
19,19,12.178880204200688,9.69
20,20,12.40600171835106,10.69
21,21,13.551415833851264,10.5
22,22,16.110335758896316,9.31
23,23,28.984773023247175,12.9391
24,24,13.910621194010442,14.1
25,25,9.913363055058387,9.97
26,26,26.981440803193482,25.34
27,27,30.806988673550368,33.0
28,28,21.922278740028535,21.22
29,29,10.131010215108208,12.4
30,30,29.649243133690653,24.0
31,31,20.68915360567416,12.77
32,32,11.979918768089131,11.55
33,33,34.46734205645574,21.0
34,34,13.94381142279585,10.9
35,35,11.705574277163665,11.8
36,36,9.857707280276339,14.9
37,37,15.83587707743567,13.8
38,38,33.95064026573172,39.3949
39,39,25.266685367131565,24.83
40,40,10.83115737043653,13.75
41,41,26.541342406538107,33.17
42,42,22.27929833186283,23.3
43,43,9.982397577492288,13.583
44,44,15.032972281723879,12.64
45,45,9.975586515772813,12.08
46,46,12.572978270215202,10.74
47,47,11.209923915303674,14.66
48,48,26.20764190611491,27.92
49,49,17.60292255109125,15.6
50,50,26.119716347467378,18.7
51,51,14.719655368549882,14.8
52,52,25.102011081006975,16.93
53,53,18.351628366424325,20.56
54,54,14.947772301203882,16.83
55,55,24.054417883763342,17.4
56,56,20.00564366528939,18.7379
57,57,13.392849011199093,14.29
