,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,7.26,7.26,5.56,4.71,-1.0,-1.0,-1.0,34.3,34.3
1,2,5.08,5.08,4.98,3.93,-0.97,-0.98,-0.98,33.5,67.8
2,3,5.13,5.13,5.55,4.93,-0.99,-0.99,-0.99,33.8,101.6
3,4,4.92,4.92,4.85,4.07,-0.98,-0.99,-0.98,33.5,135.1
4,5,4.55,4.55,4.31,3.26,-0.91,-0.94,-0.9,33.8,168.9
5,6,4.52,4.52,8.61,7.38,-0.97,-0.99,-0.97,33.6,202.6
6,7,4.71,4.71,4.69,3.62,-0.95,-0.96,-0.94,33.4,236.0
7,8,4.46,4.46,7.07,6.06,-0.99,-1.0,-0.99,33.4,269.4
8,9,4.45,4.45,10.43,11.55,-0.89,-0.91,-0.89,33.5,302.9
9,10,4.28,4.28,6.93,6.58,-1.0,-1.0,-1.0,33.5,336.4
10,11,4.31,4.31,5.59,4.57,-0.99,-0.99,-0.99,33.2,369.6
11,12,4.9,4.9,4.86,4.42,-0.93,-0.95,-0.92,33.6,403.2
12,13,4.42,4.42,6.58,6.09,-0.98,-0.99,-0.99,33.6,436.8
13,14,4.29,4.29,3.99,3.17,-0.91,-0.94,-0.91,33.8,470.6
14,15,4.14,4.14,4.36,3.27,-0.88,-0.94,-0.82,33.4,503.9
15,16,4.26,4.26,6.33,5.04,-0.98,-0.99,-0.97,33.5,537.4
16,17,4.2,4.2,3.76,3.79,-0.77,-0.83,-0.71,33.5,570.9
17,18,4.09,4.09,3.73,3.26,-0.89,-0.91,-0.85,33.6,604.6
18,19,3.98,3.98,6.21,4.82,-0.97,-0.99,-0.95,33.3,637.9
19,20,3.92,3.92,3.88,3.18,-0.81,-0.91,-0.68,33.1,671.0
20,21,3.68,3.68,3.42,3.78,-0.52,-0.62,-0.39,33.5,704.5
21,22,4.02,4.02,4.88,3.75,-0.87,-0.93,-0.8,33.3,737.9
22,23,4.17,4.17,4.97,4.99,-0.7,-0.78,-0.58,33.5,771.4
23,24,3.99,3.99,8.24,8.37,-0.99,-0.99,-0.99,33.7,805.1
24,25,4.1,4.1,6.6,5.92,-0.98,-0.99,-0.99,33.3,838.4
25,26,3.93,3.93,5.23,5.85,-0.81,-0.86,-0.81,33.3,871.8
26,27,3.82,3.82,4.99,4.0,-0.92,-0.96,-0.88,33.7,905.4
27,28,3.54,3.54,3.49,3.15,-0.73,-0.8,-0.68,33.5,939.0
28,29,3.71,3.71,4.57,5.79,-0.72,-0.82,-0.74,33.1,972.1
29,30,3.65,3.65,5.55,5.07,-0.8,-0.89,-0.72,34.1,1006.1
30,31,3.58,3.58,4.34,3.17,-0.89,-0.94,-0.85,33.5,1039.6
31,32,3.49,3.49,3.76,3.19,-0.83,-0.89,-0.75,33.6,1073.2
32,33,3.56,3.56,4.53,3.42,-0.92,-0.96,-0.9,33.2,1106.4
33,34,3.8,3.8,9.31,10.5,-0.88,-0.94,-0.88,33.4,1139.8
34,35,3.57,3.57,3.21,2.66,-0.8,-0.86,-0.74,33.5,1173.3
35,36,3.83,3.83,5.39,6.53,-0.68,-0.76,-0.66,33.8,1207.2
36,37,3.25,3.25,4.52,5.27,-0.63,-0.8,-0.67,33.5,1240.6
37,38,3.31,3.31,4.95,3.82,-0.91,-0.95,-0.87,33.6,1274.2
38,39,3.64,3.64,3.93,2.91,-0.88,-0.94,-0.84,33.0,1307.3
39,40,3.43,3.43,4.27,3.16,-0.82,-0.89,-0.74,33.5,1340.7
40,41,3.21,3.21,6.21,7.46,-0.68,-0.76,-0.67,33.7,1374.4
41,42,3.28,3.28,4.05,4.11,-0.78,-0.87,-0.75,33.8,1408.2
42,43,3.23,3.23,5.81,4.6,-0.92,-0.97,-0.89,33.6,1441.8
43,44,3.41,3.41,6.94,6.71,-0.68,-0.84,-0.68,33.6,1475.4
44,45,3.34,3.34,6.57,7.98,-0.48,-0.58,-0.4,33.3,1508.7
45,46,3.33,3.33,4.68,3.66,-0.96,-0.97,-0.94,33.1,1541.9
46,47,3.2,3.2,5.49,6.65,-0.62,-0.69,-0.52,33.4,1575.3
47,48,3.02,3.02,4.99,3.82,-0.93,-0.96,-0.88,33.8,1609.1
48,49,3.33,3.33,3.35,3.4,-0.7,-0.82,-0.7,33.8,1642.9
49,50,3.28,3.28,2.96,2.97,-0.56,-0.68,-0.44,33.3,1676.3
50,51,2.81,2.81,3.56,3.66,-0.73,-0.79,-0.69,33.7,1709.9
51,52,3.01,3.01,3.97,4.75,-0.65,-0.69,-0.57,33.3,1743.3
52,53,2.81,2.81,3.44,2.83,-0.63,-0.75,-0.53,33.6,1776.8
53,54,2.69,2.69,4.01,4.86,-0.6,-0.7,-0.56,33.3,1810.1
54,55,2.7,2.7,4.51,5.1,-0.58,-0.68,-0.49,33.6,1843.7
55,56,2.84,2.84,7.58,6.33,-0.95,-0.98,-0.94,33.4,1877.1
56,57,2.7,2.7,3.0,3.18,-0.69,-0.78,-0.63,33.9,1911.0
57,58,2.72,2.72,4.2,3.6,-0.83,-0.89,-0.78,33.6,1944.6
58,59,2.79,2.79,3.05,3.36,-0.5,-0.6,-0.41,33.8,1978.4
59,60,2.49,2.49,3.41,2.81,-0.69,-0.74,-0.48,33.3,2011.8
60,61,2.44,2.44,3.33,3.44,-0.58,-0.73,-0.5,33.3,2045.1
61,62,2.55,2.55,4.17,3.17,-0.8,-0.87,-0.71,33.5,2078.6
62,63,2.55,2.55,3.47,3.94,-0.53,-0.64,-0.44,33.2,2111.8
63,64,2.56,2.56,4.4,3.63,-0.79,-0.89,-0.75,33.2,2145.0
64,65,2.58,2.58,2.89,2.93,-0.48,-0.65,-0.41,33.6,2178.5
65,66,2.35,2.35,3.11,2.93,-0.54,-0.71,-0.52,33.2,2211.8
66,67,2.49,2.49,3.23,3.87,-0.46,-0.56,-0.35,33.6,2245.4
67,68,2.35,2.35,5.02,4.41,-0.82,-0.86,-0.75,33.5,2278.9
68,69,2.29,2.29,3.35,3.84,-0.57,-0.65,-0.55,33.5,2312.4
69,70,2.48,2.48,8.75,9.51,-0.15,-0.4,-0.29,33.5,2346.0
70,71,2.35,2.35,5.22,4.58,-0.67,-0.79,-0.6,33.3,2379.2
71,72,2.38,2.38,5.25,4.41,-0.74,-0.83,-0.7,33.5,2412.8
72,73,2.32,2.32,4.25,4.86,-0.31,-0.49,-0.37,33.6,2446.4
73,74,2.22,2.22,3.52,3.28,-0.77,-0.8,-0.74,33.7,2480.1
74,75,2.41,2.41,3.0,2.85,-0.76,-0.8,-0.72,33.2,2513.3
75,76,2.26,2.26,3.55,3.16,-0.76,-0.78,-0.7,33.6,2546.9
76,77,2.33,2.33,3.14,2.89,-0.69,-0.7,-0.61,33.2,2580.0
77,78,2.34,2.34,4.28,3.58,-0.43,-0.67,-0.49,33.5,2613.5
78,79,2.22,2.22,4.06,4.48,-0.21,-0.44,-0.37,33.4,2646.9
79,80,2.27,2.27,3.62,3.17,-0.61,-0.76,-0.64,33.0,2679.9
80,81,2.44,2.44,4.07,3.52,-0.86,-0.9,-0.85,33.4,2713.3
81,82,2.46,2.46,5.66,5.59,-0.62,-0.8,-0.71,33.4,2746.7
82,83,2.28,2.28,3.85,3.3,-0.76,-0.84,-0.73,33.6,2780.3
83,84,2.27,2.27,3.83,4.11,-0.55,-0.74,-0.58,33.7,2814.0
84,85,2.28,2.28,4.22,4.75,-0.12,-0.52,-0.33,33.0,2847.0
85,86,2.08,2.08,3.42,3.12,-0.54,-0.74,-0.51,33.2,2880.2
86,87,2.32,2.32,3.45,3.38,-0.52,-0.7,-0.47,33.2,2913.4
87,88,2.25,2.25,4.55,5.27,-0.06,-0.47,-0.25,33.5,2946.8
88,89,2.21,2.21,3.37,3.01,-0.51,-0.76,-0.5,33.5,2980.3
89,90,2.1,2.1,3.78,4.3,-0.37,-0.63,-0.39,33.6,3013.9
90,91,2.12,2.12,4.1,4.46,-0.33,-0.68,-0.42,33.0,3046.9
91,92,2.22,2.22,2.93,3.2,-0.39,-0.66,-0.41,33.5,3080.4
92,93,2.27,2.27,3.64,3.11,-0.81,-0.86,-0.73,33.0,3113.4
93,94,2.23,2.23,4.46,3.63,-0.85,-0.88,-0.79,33.1,3146.5
94,95,2.13,2.13,6.31,6.76,-0.42,-0.77,-0.57,33.1,3179.6
95,96,2.0,2.0,7.12,6.14,-0.94,-0.96,-0.92,33.1,3212.6
96,97,2.1,2.1,4.68,4.54,-0.49,-0.8,-0.62,33.4,3246.0
97,98,2.13,2.13,3.66,3.21,-0.71,-0.84,-0.7,33.7,3279.7
98,99,1.99,1.99,3.37,3.27,-0.58,-0.81,-0.58,33.3,3313.0
99,100,2.24,2.24,3.98,3.14,-0.69,-0.8,-0.57,33.4,3346.4
100,101,1.75,1.75,3.23,3.23,-0.53,-0.73,-0.49,33.0,3379.4
101,102,2.02,2.02,3.31,3.41,-0.42,-0.66,-0.45,33.0,3412.4
102,103,1.86,1.86,3.21,3.16,-0.47,-0.69,-0.5,33.4,3445.9
103,104,1.83,1.83,5.1,5.45,-0.1,-0.52,-0.31,33.2,3479.1
104,105,1.93,1.93,4.26,4.68,-0.15,-0.58,-0.4,33.2,3512.3
105,106,1.75,1.75,3.37,3.3,-0.21,-0.6,-0.39,33.2,3545.5
106,107,1.76,1.76,3.21,2.99,-0.6,-0.75,-0.58,33.5,3579.0
107,108,1.74,1.74,3.26,3.45,-0.11,-0.55,-0.36,33.3,3612.3
108,109,1.74,1.74,3.47,3.12,-0.67,-0.79,-0.62,33.4,3645.7
109,110,1.75,1.75,3.42,3.12,-0.68,-0.79,-0.61,33.2,3679.0
110,111,1.83,1.83,3.29,3.27,-0.63,-0.75,-0.61,33.3,3712.2
111,112,1.74,1.74,3.41,3.05,-0.63,-0.76,-0.56,33.5,3745.8
112,113,1.71,1.71,3.43,3.33,-0.33,-0.65,-0.45,33.0,3778.8
113,114,1.92,1.92,3.2,3.18,-0.38,-0.66,-0.42,33.3,3812.0
114,115,1.9,1.9,3.25,2.98,-0.62,-0.76,-0.55,33.3,3845.3
115,116,1.72,1.72,3.38,3.15,-0.62,-0.79,-0.63,33.7,3879.0
116,117,1.73,1.73,3.29,3.1,-0.47,-0.71,-0.5,33.5,3912.6
117,118,1.75,1.75,3.23,3.01,-0.49,-0.69,-0.52,33.5,3946.1
118,119,1.71,1.71,3.58,3.18,-0.49,-0.72,-0.53,33.3,3979.4
119,120,1.54,1.54,3.26,3.05,-0.42,-0.68,-0.5,33.4,4012.8
120,121,1.66,1.66,3.5,3.84,-0.14,-0.59,-0.39,33.6,4046.5
121,122,1.73,1.73,3.34,3.21,-0.59,-0.73,-0.59,33.3,4079.7
122,123,1.58,1.58,3.61,3.88,-0.13,-0.52,-0.38,33.3,4113.0
123,124,1.55,1.55,3.41,3.25,-0.8,-0.75,-0.67,33.4,4146.4
124,125,1.61,1.61,3.42,3.64,-0.25,-0.59,-0.42,33.3,4179.7
125,126,1.65,1.65,3.99,4.11,-0.34,-0.66,-0.49,33.5,4213.2
126,127,1.63,1.63,3.41,3.31,-0.59,-0.75,-0.58,33.5,4246.7
127,128,1.74,1.74,3.41,3.5,-0.39,-0.59,-0.45,33.3,4280.0
128,129,1.79,1.79,3.54,3.98,-0.09,-0.51,-0.32,33.8,4313.9
129,130,1.59,1.59,3.36,3.14,-0.67,-0.74,-0.58,33.7,4347.6
130,131,1.66,1.66,3.51,3.59,-0.28,-0.62,-0.48,33.5,4381.1
131,132,1.82,1.82,3.69,3.44,-0.48,-0.66,-0.49,33.3,4414.3
132,133,1.63,1.63,3.35,3.63,-0.11,-0.54,-0.39,33.7,4448.0
133,134,1.75,1.75,3.26,3.31,-0.45,-0.62,-0.49,33.1,4481.2
134,135,1.66,1.66,3.86,3.4,-0.72,-0.77,-0.65,33.4,4514.6
135,136,1.66,1.66,4.19,4.37,-0.08,-0.52,-0.41,33.7,4548.3
136,137,1.6,1.6,3.52,3.18,-0.73,-0.74,-0.61,33.3,4581.6
137,138,1.44,1.44,3.98,3.9,-0.3,-0.61,-0.47,33.2,4614.8
138,139,1.53,1.53,3.34,3.1,-0.52,-0.7,-0.58,33.5,4648.2
139,140,1.58,1.58,3.63,3.26,-0.53,-0.69,-0.54,33.3,4681.6
140,141,1.51,1.51,3.89,3.84,-0.37,-0.65,-0.53,33.3,4714.9
141,142,1.6,1.6,3.76,3.92,-0.21,-0.6,-0.44,33.5,4748.4
142,143,1.49,1.49,3.37,3.16,-0.57,-0.68,-0.57,33.3,4781.8
143,144,1.61,1.61,4.13,4.39,-0.03,-0.54,-0.38,33.2,4814.9
144,145,1.65,1.65,3.36,3.29,-0.26,-0.55,-0.43,33.6,4848.6
145,146,1.53,1.53,3.56,3.6,-0.24,-0.62,-0.47,33.5,4882.1
146,147,1.67,1.67,3.81,3.98,-0.3,-0.62,-0.51,33.7,4915.7
147,148,1.56,1.56,3.61,3.4,-0.61,-0.72,-0.6,33.6,4949.4
148,149,1.5,1.5,3.43,3.16,-0.57,-0.71,-0.55,33.4,4982.8
149,150,1.53,1.53,3.49,3.47,-0.11,-0.58,-0.42,33.5,5016.3
150,151,1.48,1.48,3.35,3.3,-0.54,-0.68,-0.56,33.8,5050.1
151,152,1.38,1.38,3.44,3.51,-0.29,-0.67,-0.54,33.4,5083.6
152,153,1.46,1.46,3.49,3.55,-0.13,-0.56,-0.48,33.5,5117.1
153,154,1.31,1.31,3.48,3.36,-0.58,-0.69,-0.6,33.5,5150.6
154,155,1.35,1.35,3.44,3.42,-0.55,-0.66,-0.57,33.2,5183.7
155,156,1.36,1.36,3.69,3.68,-0.47,-0.67,-0.57,33.4,5217.1
156,157,1.29,1.29,3.37,3.32,-0.2,-0.6,-0.48,34.0,5251.1
157,158,1.29,1.29,3.49,3.39,-0.32,-0.56,-0.48,33.7,5284.8
158,159,1.3,1.3,3.55,3.52,-0.12,-0.55,-0.43,34.0,5318.8
159,160,1.38,1.38,3.58,3.5,-0.5,-0.66,-0.57,33.5,5352.3
160,161,1.32,1.32,3.39,3.34,-0.39,-0.62,-0.52,33.7,5386.0
161,162,1.3,1.3,3.71,3.61,-0.47,-0.65,-0.53,33.3,5419.2
162,163,1.29,1.29,3.82,3.97,-0.09,-0.58,-0.47,33.4,5452.6
163,164,1.33,1.33,3.51,3.23,-0.56,-0.67,-0.58,33.7,5486.3
164,165,1.29,1.29,3.52,3.31,-0.35,-0.63,-0.53,33.6,5520.0
165,166,1.28,1.28,3.75,3.67,-0.34,-0.63,-0.51,33.2,5553.2
166,167,1.31,1.31,3.57,3.63,-0.1,-0.56,-0.44,33.3,5586.5
167,168,1.32,1.32,3.72,3.77,-0.14,-0.54,-0.43,33.7,5620.2
168,169,1.25,1.25,3.73,3.79,-0.27,-0.58,-0.48,33.6,5653.9
169,170,1.2,1.2,3.56,3.51,-0.46,-0.64,-0.54,33.2,5687.0
170,171,1.2,1.2,3.35,3.27,-0.36,-0.61,-0.5,33.4,5720.4
171,172,1.22,1.22,3.52,3.51,-0.32,-0.59,-0.47,33.7,5754.1
172,173,1.2,1.2,3.71,3.79,-0.14,-0.57,-0.47,33.2,5787.3
173,174,1.27,1.27,3.44,3.2,-0.63,-0.71,-0.63,33.7,5821.1
174,175,1.31,1.31,3.46,3.56,-0.21,-0.59,-0.46,34.1,5855.2
175,176,1.29,1.29,3.51,3.6,-0.07,-0.52,-0.41,33.9,5889.0
176,177,1.22,1.22,3.62,3.51,-0.2,-0.59,-0.48,33.6,5922.7
177,178,1.29,1.29,3.42,3.22,-0.3,-0.6,-0.49,33.4,5956.1
178,179,1.27,1.27,3.49,3.39,-0.42,-0.64,-0.53,33.3,5989.4
179,180,1.32,1.32,3.45,3.24,-0.54,-0.64,-0.55,33.8,6023.2
180,181,1.26,1.26,3.69,3.61,-0.2,-0.58,-0.45,33.3,6056.5
181,182,1.18,1.18,3.53,3.42,-0.57,-0.68,-0.59,33.4,6089.9
182,183,1.19,1.19,3.34,3.37,-0.44,-0.63,-0.53,33.3,6123.2
