,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,10.83,8.0,14.53,13.74,-1.0,-1.0,-0.99,40.2,40.2
1,2,6.58,4.73,5.0,4.59,-0.94,-0.96,-0.92,40.2,80.4
2,3,6.38,4.9,7.07,7.29,-0.47,-0.63,-0.55,39.0,119.4
3,4,5.96,4.61,11.44,10.71,-0.98,-0.99,-0.97,40.0,159.4
4,5,6.02,4.57,8.2,8.12,-0.83,-0.88,-0.84,40.0,199.4
5,6,5.4,4.25,5.67,5.78,-0.42,-0.58,-0.58,39.7,239.0
6,7,5.76,4.49,4.78,3.99,-0.72,-0.75,-0.77,40.2,279.2
7,8,5.43,4.23,8.16,7.53,-0.99,-0.99,-0.98,39.9,319.1
8,9,5.01,3.97,6.46,5.89,-0.91,-0.92,-0.9,39.9,359.0
9,10,5.18,4.12,6.35,5.98,-0.82,-0.91,-0.77,40.1,399.1
10,11,5.32,4.1,7.23,6.47,-0.98,-0.99,-0.97,39.6,438.7
11,12,5.2,4.09,9.67,9.55,-0.69,-0.8,-0.69,40.0,478.7
12,13,5.5,4.29,6.66,5.94,-0.96,-0.99,-0.96,39.8,518.6
13,14,5.42,4.14,13.48,13.98,-0.32,-0.49,-0.4,40.0,558.6
14,15,5.78,4.69,6.07,6.86,-0.07,-0.36,-0.28,40.3,598.9
15,16,5.46,4.28,30.17,30.7,-0.4,-0.51,-0.5,40.3,639.3
16,17,5.16,3.97,4.4,4.38,-0.6,-0.71,-0.62,40.2,679.5
17,18,5.61,4.37,19.74,19.69,-0.71,-0.74,-0.72,42.1,721.5
18,19,5.03,4.07,44.25,43.46,0.35,0.08,0.1,40.5,762.0
19,20,5.13,4.22,6.23,5.56,-0.93,-0.96,-0.91,39.2,801.2
20,21,5.26,4.21,8.13,7.49,-0.96,-0.97,-0.98,39.7,841.0
21,22,5.58,4.42,7.97,7.42,-0.98,-0.99,-0.98,40.1,881.0
22,23,5.41,4.38,24.82,24.69,-0.59,-0.74,-0.6,39.4,920.4
23,24,5.31,4.27,7.23,6.81,-0.98,-0.98,-0.97,40.2,960.6
24,25,4.81,3.85,7.48,6.88,-0.99,-0.99,-0.99,39.9,1000.5
25,26,4.98,4.01,58.6,58.86,-0.93,-0.96,-0.92,40.2,1040.8
26,27,4.85,3.85,5.71,5.55,-0.05,-0.21,-0.25,39.4,1080.2
27,28,5.04,4.08,6.75,6.44,-0.96,-0.96,-0.95,39.5,1119.7
28,29,4.54,3.66,7.67,7.18,-0.88,-0.89,-0.83,40.4,1160.0
