,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,6.49,6.49,11.44,11.2,-0.85,-0.9,-0.88,23.1,23.1
1,2,5.04,5.04,4.12,3.49,-0.81,-0.86,-0.83,22.8,45.9
2,3,4.41,4.41,7.67,7.04,-0.98,-0.99,-0.99,23.0,68.9
3,4,4.86,4.86,5.0,4.28,-0.8,-0.87,-0.84,23.0,91.9
4,5,4.56,4.56,4.33,3.63,-0.87,-0.91,-0.89,22.6,114.5
5,6,4.29,4.29,6.04,5.57,-0.82,-0.87,-0.85,22.6,137.1
6,7,4.32,4.32,7.04,6.23,-0.98,-0.98,-0.98,22.7,159.9
7,8,4.15,4.15,4.65,3.83,-0.94,-0.96,-0.94,22.8,182.7
8,9,4.67,4.67,5.72,4.66,-0.88,-0.92,-0.9,22.7,205.4
9,10,4.4,4.4,6.27,5.67,-1.0,-1.0,-1.0,22.8,228.2
10,11,4.07,4.07,7.0,6.33,-0.99,-0.99,-0.99,22.7,250.9
11,12,4.34,4.34,5.36,4.5,-0.98,-0.98,-0.98,22.6,273.5
12,13,4.46,4.46,8.02,7.86,-0.83,-0.87,-0.82,22.8,296.3
13,14,4.67,4.67,4.33,3.98,-0.85,-0.9,-0.87,22.6,319.0
14,15,4.11,4.11,6.99,6.12,-0.99,-0.99,-0.99,22.6,341.6
15,16,5.49,5.49,6.79,6.36,-1.0,-1.0,-1.0,22.6,364.2
16,17,5.17,5.17,5.18,4.6,-0.99,-0.99,-0.99,22.6,386.9
17,18,4.73,4.73,5.31,4.7,-0.99,-0.99,-0.99,22.8,409.7
18,19,4.45,4.45,4.74,4.21,-0.96,-0.96,-0.97,22.7,432.4
19,20,4.27,4.27,3.81,3.83,-0.8,-0.78,-0.8,22.7,455.1
20,21,4.28,4.28,4.81,4.28,-0.94,-0.93,-0.93,22.7,477.8
21,22,4.14,4.14,5.62,5.01,-0.64,-0.64,-0.66,22.6,500.4
22,23,4.37,4.37,7.02,6.97,-0.91,-0.92,-0.91,22.7,523.2
