,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,8.02,6.09,7.85,8.2,-0.92,-0.88,-0.96,36.4,36.4
1,2,6.08,4.83,9.67,9.12,-0.99,-0.99,-0.99,36.0,72.4
2,3,6.34,4.95,7.65,8.67,-0.29,-0.18,-0.34,36.0,108.4
3,4,6.55,5.26,6.02,6.37,-0.73,-0.69,-0.79,36.5,144.8
4,5,6.04,4.94,6.72,7.22,-0.8,-0.67,-0.85,36.4,181.2
5,6,7.47,6.01,4.13,4.76,-0.58,-0.52,-0.7,36.5,217.7
6,7,5.41,4.37,12.12,12.38,-0.96,-0.98,-0.98,36.3,254.0
7,8,5.64,4.45,6.29,6.88,-0.61,-0.42,-0.74,36.3,290.3
8,9,5.6,4.49,12.01,13.41,-0.15,-0.07,-0.3,36.7,326.9
9,10,5.68,4.4,5.33,5.77,-0.76,-0.69,-0.85,36.3,363.3
10,11,5.95,4.64,5.73,5.92,-0.96,-0.96,-0.97,36.0,399.3
11,12,5.65,4.43,5.31,5.44,-0.91,-0.91,-0.89,36.1,435.4
12,13,5.63,4.32,5.74,6.49,-0.8,-0.7,-0.86,35.9,471.3
13,14,6.06,4.78,11.23,11.98,-0.88,-0.9,-0.9,36.1,507.4
14,15,5.05,4.12,11.84,11.81,-0.99,-0.97,-0.99,35.7,543.1
15,16,5.64,4.5,3.43,4.38,-0.55,-0.52,-0.54,36.2,579.3
16,17,5.88,4.7,4.38,5.06,-0.63,-0.63,-0.64,35.9,615.2
17,18,5.1,4.06,12.48,12.8,-0.98,-0.99,-0.99,36.2,651.4
18,19,4.48,3.6,7.25,7.92,-0.87,-0.71,-0.93,36.3,687.8
19,20,5.2,4.29,6.17,6.69,-0.9,-0.91,-0.92,36.5,724.3
20,21,5.09,4.09,8.29,8.61,-0.96,-0.9,-0.98,36.0,760.3
21,22,5.35,4.27,3.11,3.95,-0.62,-0.59,-0.64,36.7,797.0
22,23,5.41,4.1,9.33,9.58,-0.96,-0.91,-0.98,35.7,832.7
23,24,5.45,4.38,3.91,4.78,-0.07,0.17,-0.35,36.0,868.7
24,25,4.71,3.93,5.81,6.11,-0.76,-0.67,-0.85,36.0,904.6
25,26,5.1,4.25,12.21,12.91,-0.92,-0.94,-0.95,36.3,941.0
26,27,5.37,4.5,5.92,6.16,-0.87,-0.81,-0.91,35.6,976.5
27,28,5.09,4.24,3.99,3.98,-0.62,-0.6,-0.65,35.7,1012.3
28,29,4.65,3.76,6.19,6.8,-0.46,-0.25,-0.73,36.0,1048.3
29,30,5.05,4.21,3.55,4.09,-0.53,-0.48,-0.68,36.0,1084.3
30,31,5.18,4.25,3.99,5.06,-0.09,0.01,-0.25,35.9,1120.1
31,32,5.04,4.2,4.63,4.81,-0.85,-0.77,-0.91,36.4,1156.6
32,33,5.16,4.19,5.84,6.15,-0.86,-0.86,-0.9,36.3,1192.8
33,34,5.62,4.74,7.92,9.16,-0.42,-0.4,-0.52,36.2,1229.0
34,35,5.16,4.25,4.26,4.83,-0.74,-0.64,-0.85,36.2,1265.2
35,36,5.99,5.06,9.3,11.16,-0.21,-0.21,-0.34,36.1,1301.3
36,37,4.81,4.18,3.42,3.8,-0.47,-0.43,-0.54,36.3,1337.6
37,38,4.73,3.98,3.89,4.3,-0.42,-0.37,-0.55,36.4,1374.0
38,39,4.66,3.83,5.43,6.0,-0.59,-0.59,-0.64,36.0,1409.9
39,40,5.28,4.4,3.54,3.77,-0.68,-0.69,-0.75,35.9,1445.9
40,41,4.82,3.82,5.57,5.87,-0.58,-0.6,-0.59,35.7,1481.5
