,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,6.08,6.08,6.45,6.15,-0.99,-1.0,-0.99,37.3,37.3
1,2,4.68,4.68,7.55,7.77,-0.9,-0.88,-0.88,36.4,73.7
2,3,4.63,4.63,12.16,12.37,-0.65,-0.71,-0.71,36.7,110.4
3,4,4.19,4.19,3.61,4.0,-0.86,-0.88,-0.88,36.7,147.1
4,5,4.19,4.19,7.58,7.28,-0.98,-0.98,-0.98,36.5,183.6
5,6,4.13,4.13,23.58,24.48,-0.61,-0.69,-0.63,36.7,220.3
6,7,4.21,4.21,20.14,21.05,-0.54,-0.63,-0.56,36.8,257.1
7,8,4.14,4.14,5.38,5.58,-0.75,-0.78,-0.75,36.7,293.8
8,9,4.26,4.26,6.06,5.91,-0.98,-0.98,-0.97,36.8,330.6
9,10,3.92,3.92,3.21,3.82,-0.79,-0.79,-0.85,37.2,367.7
10,11,4.15,4.15,3.48,3.77,-0.84,-0.85,-0.83,36.5,404.2
11,12,4.03,4.03,3.35,3.91,-0.82,-0.83,-0.85,36.5,440.8
12,13,3.57,3.57,7.86,7.78,-0.98,-0.97,-0.98,36.4,477.2
13,14,3.86,3.86,3.34,4.19,-0.71,-0.74,-0.74,36.8,514.0
14,15,4.08,4.08,8.91,8.62,-0.99,-0.99,-0.99,36.5,550.5
15,16,4.39,4.39,5.04,5.97,-0.67,-0.71,-0.71,36.5,587.0
16,17,3.68,3.68,6.18,5.8,-0.97,-0.98,-0.98,36.3,623.3
17,18,3.93,3.93,3.13,3.67,-0.56,-0.51,-0.6,36.6,659.9
18,19,3.69,3.69,3.91,3.97,-0.84,-0.82,-0.84,36.5,696.4
19,20,3.63,3.63,3.4,3.57,-0.91,-0.92,-0.9,37.1,733.4
20,21,3.57,3.57,3.92,3.76,-0.89,-0.91,-0.87,36.7,770.1
21,22,3.78,3.78,30.68,32.67,0.41,0.41,0.3,36.5,806.7
22,23,3.65,3.65,4.69,4.83,-0.55,-0.63,-0.52,36.7,843.3
23,24,3.84,3.84,9.22,10.49,-0.19,-0.19,-0.18,36.4,879.8
24,25,3.54,3.54,4.71,4.58,-0.87,-0.89,-0.88,36.5,916.3
25,26,3.48,3.48,6.53,6.72,-0.95,-0.9,-0.95,36.2,952.5
26,27,3.73,3.73,9.56,9.31,-0.99,-0.99,-0.99,36.6,989.1
27,28,3.56,3.56,4.52,4.67,-0.92,-0.9,-0.92,36.5,1025.6
28,29,3.55,3.55,3.12,3.44,-0.83,-0.85,-0.81,36.9,1062.4
29,30,3.44,3.44,5.69,5.63,-0.93,-0.92,-0.95,36.8,1099.2
30,31,3.4,3.4,6.68,6.18,-0.95,-0.98,-0.95,36.3,1135.5
31,32,3.38,3.38,9.13,9.75,0.18,0.03,-0.27,36.7,1172.2
32,33,3.83,3.83,3.84,4.71,-0.54,-0.75,-0.65,36.7,1208.9
33,34,3.43,3.43,5.91,5.55,-0.92,-0.95,-0.89,36.5,1245.4
34,35,3.51,3.51,4.81,5.74,-0.35,-0.26,-0.53,36.6,1282.0
35,36,3.4,3.4,8.41,8.1,-0.97,-0.97,-0.96,36.7,1318.8
36,37,3.66,3.66,46.77,45.12,0.47,0.5,0.06,36.7,1355.5
37,38,3.95,3.95,7.17,7.01,-0.97,-0.96,-0.96,36.6,1392.1
38,39,3.72,3.72,10.02,10.78,-0.01,-0.11,-0.21,37.1,1429.2
39,40,3.54,3.54,5.74,6.53,-0.52,-0.6,-0.64,36.6,1465.8
40,41,3.46,3.46,3.66,4.47,-0.68,-0.76,-0.73,36.7,1502.5
41,42,3.55,3.55,5.95,7.18,-0.1,-0.25,-0.5,36.6,1539.1
42,43,3.3,3.3,4.39,4.39,-0.85,-0.91,-0.88,36.6,1575.7
43,44,3.28,3.28,11.29,12.31,-0.2,-0.36,-0.33,36.5,1612.2
44,45,3.64,3.64,24.39,25.01,0.16,0.15,-0.1,36.7,1648.9
45,46,3.47,3.47,3.6,3.91,-0.79,-0.76,-0.78,36.9,1685.8
46,47,3.45,3.45,5.43,5.11,-0.9,-0.92,-0.88,36.5,1722.3
47,48,3.42,3.42,3.27,3.64,-0.73,-0.77,-0.75,36.8,1759.1
