,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,3.42,3.42,4.67,5.06,-0.99,-0.99,-0.99,30.2,30.2
1,2,2.53,2.53,7.22,6.92,-0.83,-0.92,-0.9,28.1,58.2
2,3,2.7,2.7,25.78,24.41,-0.61,-0.58,-0.61,29.7,88.0
3,4,2.46,2.46,4.89,4.42,-0.91,-0.9,-0.92,28.3,116.3
4,5,2.47,2.47,3.93,3.35,-0.91,-0.92,-0.9,29.0,145.3
5,6,2.83,2.83,3.57,3.26,-0.93,-0.92,-0.92,27.3,172.6
6,7,2.24,2.24,2.45,2.33,-0.96,-0.96,-0.94,29.2,201.8
7,8,2.04,2.04,16.08,15.06,-0.82,-0.75,-0.75,29.1,230.9
8,9,2.32,2.32,2.35,2.5,-0.95,-0.93,-0.95,29.0,259.9
9,10,2.42,2.42,2.47,2.54,-0.89,-0.8,-0.91,29.9,289.8
10,11,2.3,2.3,4.98,5.43,-0.99,-0.99,-0.99,28.7,318.5
11,12,2.28,2.28,2.62,2.88,-0.93,-0.97,-0.95,29.6,348.1
12,13,2.14,2.14,4.71,5.18,-0.98,-0.98,-0.98,29.3,377.4
13,14,2.17,2.17,2.95,3.31,-0.96,-0.96,-0.96,27.8,405.2
14,15,2.16,2.16,5.9,6.38,-0.98,-0.98,-0.98,29.5,434.7
15,16,2.19,2.19,7.03,6.1,-0.59,-0.72,-0.71,28.6,463.3
16,17,2.01,2.01,4.6,3.88,-0.84,-0.86,-0.85,29.1,492.4
17,18,2.06,2.06,2.65,2.96,-0.82,-0.86,-0.88,29.9,522.3
18,19,2.03,2.03,3.11,3.51,-0.86,-0.88,-0.91,28.1,550.4
19,20,2.23,2.23,3.48,3.93,-0.96,-0.94,-0.96,29.2,579.6
20,21,2.02,2.02,2.32,2.37,-0.86,-0.74,-0.91,29.8,609.4
21,22,2.2,2.2,7.41,6.87,-0.84,-0.81,-0.81,28.6,638.0
22,23,2.15,2.15,3.69,4.08,-0.95,-0.95,-0.95,29.7,667.8
23,24,2.26,2.26,1.86,2.23,-0.78,-0.8,-0.78,30.1,697.9
24,25,2.06,2.06,3.64,3.77,-0.38,-0.57,-0.59,30.4,728.3
25,26,2.33,2.33,1.85,2.01,-0.85,-0.82,-0.88,29.2,757.5
26,27,2.24,2.24,8.22,7.28,-0.1,-0.4,-0.41,28.2,785.6
27,28,2.15,2.15,5.99,6.46,-0.98,-0.98,-0.98,29.5,815.2
28,29,2.14,2.14,3.84,3.55,-0.35,-0.61,-0.62,28.2,843.3
29,30,1.97,1.97,2.4,2.46,-0.89,-0.83,-0.89,30.0,873.3
30,31,2.11,2.11,2.24,2.03,-0.75,-0.81,-0.86,28.2,901.5
31,32,1.97,1.97,2.09,2.05,-0.85,-0.79,-0.82,28.4,929.9
32,33,1.93,1.93,4.03,4.54,-0.94,-0.89,-0.94,29.6,959.5
33,34,1.87,1.87,2.22,2.19,-0.71,-0.64,-0.83,28.9,988.4
34,35,1.85,1.85,3.39,4.03,-0.84,-0.85,-0.91,29.5,1017.9
35,36,1.96,1.96,2.12,1.99,-0.81,-0.82,-0.87,29.2,1047.1
36,37,1.87,1.87,2.23,2.32,-0.69,-0.7,-0.76,29.6,1076.8
37,38,1.82,1.82,3.61,4.12,-0.91,-0.86,-0.91,29.7,1106.4
38,39,2.0,2.0,2.11,1.85,-0.54,-0.61,-0.69,28.6,1135.0
39,40,1.83,1.83,8.05,7.98,-0.27,-0.52,-0.5,29.9,1164.9
40,41,2.14,2.14,3.39,3.81,-0.85,-0.82,-0.88,29.6,1194.6
41,42,1.73,1.73,5.83,6.12,-0.94,-0.91,-0.95,28.8,1223.4
42,43,1.8,1.8,2.89,3.23,-0.87,-0.76,-0.89,29.6,1253.0
43,44,1.82,1.82,8.34,8.35,-0.68,-0.69,-0.64,29.1,1282.1
44,45,2.16,2.16,1.99,1.93,-0.67,-0.67,-0.8,29.7,1311.8
45,46,1.97,1.97,3.02,3.46,-0.86,-0.82,-0.88,30.0,1341.8
46,47,1.86,1.86,4.18,3.99,-0.3,-0.48,-0.58,29.0,1370.8
47,48,1.88,1.88,2.82,2.95,-0.69,-0.65,-0.77,30.0,1400.9
48,49,1.85,1.85,4.19,4.22,-0.49,-0.65,-0.61,28.8,1429.7
49,50,2.15,2.15,4.82,5.23,-0.96,-0.95,-0.95,30.5,1460.2
50,51,1.66,1.66,5.31,5.64,-0.94,-0.92,-0.94,28.5,1488.7
51,52,1.79,1.79,8.5,9.26,-0.11,-0.49,-0.39,30.8,1519.5
52,53,1.65,1.65,2.42,2.55,-0.76,-0.7,-0.77,28.7,1548.3
53,54,1.72,1.72,5.16,5.46,-0.89,-0.88,-0.92,30.3,1578.6
54,55,1.62,1.62,1.71,2.2,-0.62,-0.7,-0.69,29.9,1608.4
55,56,1.59,1.59,2.09,2.55,-0.43,-0.57,-0.62,28.3,1636.8
56,57,1.51,1.51,3.51,3.98,-0.36,-0.65,-0.5,28.1,1664.9
57,58,1.6,1.6,3.31,3.55,-0.8,-0.8,-0.82,29.1,1694.1
58,59,1.64,1.64,2.96,3.13,-0.85,-0.85,-0.83,27.7,1721.7
59,60,1.44,1.44,4.06,4.25,0.13,-0.29,-0.3,29.8,1751.5
60,61,1.52,1.52,2.81,3.05,-0.74,-0.75,-0.83,29.3,1780.9
61,62,1.67,1.67,2.23,2.61,-0.23,-0.51,-0.55,27.6,1808.5
62,63,1.63,1.63,3.4,3.64,-0.24,-0.49,-0.44,30.0,1838.5
63,64,1.75,1.75,2.26,2.55,-0.73,-0.81,-0.74,29.4,1867.8
64,65,1.6,1.6,2.35,2.04,-0.36,-0.41,-0.58,28.8,1896.7
65,66,1.49,1.49,2.93,3.23,-0.86,-0.86,-0.84,29.7,1926.4
66,67,1.55,1.55,1.94,2.33,-0.63,-0.66,-0.73,29.1,1955.5
67,68,1.6,1.6,2.52,2.68,-0.11,-0.52,-0.47,29.7,1985.2
68,69,1.52,1.52,2.86,3.2,-0.78,-0.77,-0.8,29.9,2015.1
69,70,1.38,1.38,1.98,2.02,-0.28,-0.54,-0.6,29.0,2044.1
70,71,1.52,1.52,1.85,2.16,-0.46,-0.62,-0.67,29.8,2073.9
71,72,1.52,1.52,2.84,3.25,-0.86,-0.82,-0.85,29.2,2103.1
72,73,1.54,1.54,2.51,2.7,-0.79,-0.77,-0.83,29.7,2132.8
73,74,1.46,1.46,2.11,2.27,-0.66,-0.68,-0.73,29.8,2162.7
74,75,1.58,1.58,3.58,3.7,-0.34,-0.53,-0.51,29.6,2192.3
75,76,1.61,1.61,3.17,3.5,-0.88,-0.84,-0.83,29.9,2222.2
76,77,1.58,1.58,8.47,8.77,0.13,-0.32,-0.35,29.6,2251.8
77,78,1.54,1.54,3.17,3.1,-0.39,-0.49,-0.6,28.9,2280.7
78,79,1.6,1.6,2.68,3.09,-0.74,-0.72,-0.81,30.5,2311.2
79,80,1.68,1.68,1.84,1.93,-0.29,-0.54,-0.62,28.2,2339.3
80,81,1.6,1.6,1.54,2.12,-0.62,-0.66,-0.68,30.8,2370.1
81,82,1.54,1.54,2.43,2.74,-0.69,-0.6,-0.74,27.9,2398.0
82,83,1.51,1.51,3.18,3.3,-0.17,-0.4,-0.49,29.8,2427.8
83,84,1.68,1.68,2.33,2.49,-0.63,-0.68,-0.65,29.6,2457.5
84,85,1.59,1.59,3.23,3.4,-0.11,-0.43,-0.48,28.9,2486.3
85,86,1.52,1.52,2.4,2.69,-0.77,-0.73,-0.78,29.2,2515.5
86,87,1.48,1.48,3.96,4.26,-0.87,-0.87,-0.87,29.0,2544.5
87,88,1.42,1.42,2.05,2.51,-0.59,-0.61,-0.61,29.8,2574.3
88,89,1.31,1.31,1.97,2.46,-0.66,-0.6,-0.76,29.4,2603.7
89,90,1.44,1.44,2.46,2.71,-0.69,-0.71,-0.72,29.1,2632.9
90,91,1.57,1.57,3.0,3.19,-0.41,-0.57,-0.55,29.7,2662.6
91,92,1.64,1.64,1.61,1.94,-0.54,-0.65,-0.66,28.8,2691.3
92,93,1.36,1.36,2.24,2.06,-0.61,-0.66,-0.69,29.9,2721.2
93,94,1.45,1.45,2.07,2.12,-0.32,-0.48,-0.51,30.2,2751.4
94,95,1.44,1.44,1.63,2.04,-0.54,-0.6,-0.62,29.0,2780.4
95,96,1.49,1.49,3.09,3.12,-0.25,-0.47,-0.49,29.7,2810.2
96,97,1.67,1.67,3.19,3.54,-0.81,-0.77,-0.8,28.8,2839.0
97,98,1.41,1.41,3.14,3.6,-0.84,-0.74,-0.81,29.5,2868.5
98,99,1.4,1.4,3.52,3.26,0.05,-0.49,-0.5,29.6,2898.1
99,100,1.54,1.54,1.88,1.83,-0.38,-0.63,-0.67,28.4,2926.5
100,101,1.36,1.36,2.54,2.84,-0.71,-0.75,-0.75,30.0,2956.5
101,102,1.28,1.28,2.15,2.38,-0.7,-0.71,-0.72,27.9,2984.4
102,103,1.44,1.44,1.81,2.03,-0.45,-0.63,-0.63,30.2,3014.7
103,104,1.29,1.29,1.91,1.93,-0.34,-0.58,-0.62,29.1,3043.8
104,105,1.31,1.31,1.86,1.89,-0.28,-0.52,-0.62,29.0,3072.8
105,106,1.16,1.16,1.99,1.87,-0.51,-0.68,-0.67,29.8,3102.6
106,107,1.34,1.34,2.47,2.74,-0.73,-0.7,-0.78,29.1,3131.6
107,108,1.25,1.25,3.9,3.75,0.18,-0.33,-0.43,28.3,3159.9
108,109,1.3,1.3,2.11,2.48,-0.64,-0.67,-0.72,29.7,3189.6
109,110,1.18,1.18,2.64,2.68,-0.04,-0.42,-0.53,28.7,3218.4
110,111,1.27,1.27,2.88,3.24,-0.78,-0.71,-0.78,28.7,3247.1
111,112,1.45,1.45,2.97,3.2,-0.69,-0.73,-0.77,29.3,3276.3
112,113,1.27,1.27,2.22,2.12,-0.5,-0.57,-0.7,28.5,3304.8
113,114,1.29,1.29,1.87,1.97,-0.4,-0.6,-0.63,29.6,3334.5
114,115,1.11,1.11,1.75,2.09,-0.55,-0.61,-0.66,29.6,3364.1
115,116,1.23,1.23,1.8,2.11,-0.25,-0.48,-0.57,29.1,3393.2
116,117,1.18,1.18,5.13,5.24,0.18,-0.48,-0.37,29.6,3422.8
117,118,1.31,1.31,1.85,1.95,-0.39,-0.67,-0.64,28.5,3451.4
118,119,1.25,1.25,1.73,1.91,-0.52,-0.67,-0.67,29.9,3481.3
119,120,1.23,1.23,2.01,1.87,-0.18,-0.6,-0.57,29.8,3511.1
120,121,1.09,1.09,2.08,2.2,-0.55,-0.69,-0.65,29.0,3540.0
121,122,1.17,1.17,2.92,3.1,-0.82,-0.78,-0.77,29.8,3569.9
122,123,1.19,1.19,3.24,3.44,-0.85,-0.81,-0.83,28.4,3598.2
123,124,1.2,1.2,1.9,1.87,-0.45,-0.61,-0.61,30.0,3628.3
124,125,1.15,1.15,1.84,1.89,-0.53,-0.62,-0.63,29.7,3658.0
125,126,1.16,1.16,2.2,2.18,-0.24,-0.53,-0.57,29.0,3687.0
126,127,1.22,1.22,1.88,1.74,-0.36,-0.55,-0.59,29.3,3716.4
127,128,1.18,1.18,2.15,2.32,-0.49,-0.66,-0.65,29.4,3745.8
128,129,1.11,1.11,1.96,2.02,-0.26,-0.62,-0.6,30.0,3775.8
129,130,1.15,1.15,2.08,2.05,-0.23,-0.58,-0.61,29.2,3804.9
130,131,1.38,1.38,2.3,2.13,-0.18,-0.56,-0.6,28.3,3833.2
