,Unnamed: 0,predicted_value,ground_truth
0,0,8.53583654175744,11.83
1,1,10.199417683737664,14.1
2,2,17.60591053709971,9.15
3,3,10.738943246258973,10.64
4,4,10.69566817059101,14.42
5,5,13.76667379149566,8.2
6,6,11.798624851591288,11.6
7,7,13.38323580802019,14.17
8,8,8.26817616592265,10.2218
9,9,16.58118674665952,13.95
10,10,16.820375274123336,15.6
11,11,13.907565609302091,18.3
12,12,19.213384007976,18.1547
13,13,19.731390270574984,18.9
14,14,10.310516732665073,14.0
15,15,11.15327834867053,12.44
16,16,12.330525064079074,13.12
17,17,15.546000692520828,10.9
18,18,13.717975696189152,14.86
19,19,8.758480519952528,8.52
20,20,14.899705101447205,9.97
21,21,18.4129539529899,19.8
22,22,11.139589822224213,9.44
23,23,10.784681810806932,17.8
24,24,11.853199012810652,16.31
25,25,10.985722886515898,14.42
26,26,10.808692467130516,11.56
27,27,13.787034598748168,12.25
28,28,9.459348679815728,12.3477
29,29,14.583365739463352,17.8
30,30,15.192403250817987,13.25
31,31,16.154926733790397,16.57
32,32,14.537271266858067,10.82
33,33,17.944231799858915,15.27
34,34,13.811467248965226,12.77
35,35,11.69471403072096,10.4
36,36,15.84056676203139,16.0
37,37,15.022139065596214,13.38
38,38,12.957649392950838,9.73
39,39,14.14126582750611,11.56
40,40,14.748118525193417,16.8
41,41,7.160587106672913,7.29
