,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,8.69,6.17,10.87,10.61,-0.99,-1.0,-0.99,37.2,37.2
1,2,7.0,5.23,10.38,10.92,-0.07,0.07,-0.21,37.0,74.2
2,3,6.22,4.73,12.3,11.96,-0.99,-0.99,-0.99,37.0,111.1
3,4,5.39,4.21,14.33,14.5,0.1,0.26,-0.14,36.7,147.9
4,5,5.63,4.55,8.91,8.58,-0.97,-0.97,-0.96,36.8,184.7
5,6,5.35,4.17,4.29,3.35,-0.19,-0.08,-0.23,36.3,221.0
6,7,5.02,3.98,15.21,16.33,-0.29,-0.25,-0.4,37.0,257.9
7,8,5.72,4.49,5.6,5.28,-0.9,-0.9,-0.91,36.7,294.6
8,9,5.38,4.38,8.95,8.58,-0.98,-0.99,-0.99,36.8,331.4
9,10,4.8,3.91,3.3,3.61,-0.68,-0.76,-0.78,37.3,368.7
10,11,5.62,4.74,6.15,6.4,-0.77,-0.74,-0.88,36.5,405.2
11,12,4.64,3.9,8.62,8.72,-0.91,-0.89,-0.96,36.9,442.1
12,13,4.35,3.72,8.82,8.96,0.52,0.53,0.23,36.9,479.0
13,14,4.3,3.72,14.23,15.25,0.34,0.38,0.09,36.7,515.7
14,15,4.73,3.85,7.86,7.5,-0.91,-0.95,-0.93,36.5,552.2
15,16,4.42,3.8,19.34,18.3,0.49,0.6,0.12,36.9,589.1
16,17,4.77,3.98,5.93,5.56,-0.71,-0.65,-0.78,36.4,625.4
17,18,4.66,3.9,8.49,8.34,-0.88,-0.88,-0.9,36.7,662.2
18,19,3.86,3.38,8.27,8.59,0.5,0.56,0.08,36.9,699.1
19,20,5.13,4.22,3.47,3.83,-0.46,-0.35,-0.69,36.7,735.8
20,21,4.72,4.03,3.3,3.81,-0.5,-0.45,-0.75,36.6,772.4
21,22,4.0,3.56,15.56,16.36,0.49,0.36,0.3,36.7,809.1
22,23,4.38,3.71,4.37,4.3,-0.35,-0.44,-0.73,36.9,846.0
23,24,4.25,3.57,3.47,4.47,-0.23,-0.22,-0.6,37.0,883.0
24,25,5.3,4.59,9.65,10.92,0.18,0.13,-0.18,36.8,919.8
25,26,4.16,3.7,4.1,4.71,-0.33,-0.31,-0.58,36.6,956.4
26,27,4.49,3.73,4.27,5.02,-0.41,-0.48,-0.74,36.8,993.2
27,28,4.2,3.66,8.75,9.2,0.39,0.34,0.33,36.5,1029.7
28,29,4.05,3.5,7.82,7.61,-0.92,-0.96,-0.96,36.8,1066.5
29,30,3.88,3.46,12.64,13.06,0.21,0.31,0.05,36.8,1103.2
30,31,3.98,3.38,5.48,4.59,0.33,0.43,0.02,36.6,1139.8
31,32,4.25,3.68,7.23,7.08,-0.87,-0.87,-0.91,36.6,1176.4
32,33,4.13,3.66,3.37,4.09,-0.11,0.22,-0.55,36.6,1213.0
33,34,3.67,3.25,3.47,3.88,0.2,0.27,-0.32,36.8,1249.9
34,35,4.42,3.71,3.33,4.2,-0.05,-0.12,-0.49,36.9,1286.7
