,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,6.36,4.53,9.41,10.48,-0.94,-0.96,-0.96,21.8,21.8
1,2,4.52,2.88,2.02,2.12,-0.73,-0.8,-0.86,21.2,43.0
2,3,3.89,2.76,7.47,6.91,-0.94,-0.96,-0.97,22.0,65.1
3,4,3.97,2.76,8.85,9.54,-0.4,-0.53,-0.55,22.1,87.2
4,5,3.38,2.49,3.94,3.35,-0.89,-0.95,-0.93,22.2,109.3
5,6,3.5,2.57,9.66,10.02,-0.18,-0.27,-0.41,22.0,131.4
6,7,3.81,3.03,5.05,4.47,-0.79,-0.81,-0.88,21.4,152.7
7,8,3.18,2.36,1.86,2.66,-0.58,-0.72,-0.78,21.6,174.3
8,9,3.28,2.44,1.98,2.38,-0.86,-0.91,-0.9,21.7,196.1
9,10,3.49,2.6,2.6,2.13,-0.5,-0.59,-0.69,21.6,217.7
10,11,3.52,2.72,8.13,7.73,-0.93,-0.95,-0.97,21.3,239.0
11,12,3.57,2.7,6.29,6.48,-0.69,-0.82,-0.85,21.5,260.5
12,13,3.68,2.69,9.27,9.81,-0.32,-0.32,-0.46,21.5,282.0
13,14,2.92,2.3,4.25,3.72,-0.77,-0.86,-0.89,21.6,303.6
14,15,2.9,2.21,2.43,2.07,-0.4,-0.54,-0.59,21.4,325.0
15,16,2.74,2.28,4.78,6.43,-0.27,-0.25,-0.46,21.4,346.4
16,17,2.89,2.06,2.56,2.45,-0.52,-0.64,-0.76,21.4,367.8
17,18,3.0,2.31,4.79,5.59,-0.29,-0.38,-0.47,21.4,389.2
18,19,3.08,2.3,1.87,2.86,-0.55,-0.6,-0.69,21.5,410.7
19,20,2.85,2.23,5.74,5.15,-0.65,-0.82,-0.82,21.6,432.3
20,21,2.86,2.3,4.56,4.35,-0.67,-0.77,-0.76,21.6,453.9
21,22,3.02,2.38,2.14,2.07,-0.02,-0.26,-0.44,21.4,475.3
22,23,2.85,2.25,1.95,1.95,-0.32,-0.49,-0.58,21.2,496.5
23,24,2.48,2.04,10.11,11.78,-0.2,-0.25,-0.45,21.4,518.0
24,25,2.46,1.96,7.27,7.01,-0.79,-0.86,-0.91,21.3,539.3
25,26,2.83,2.2,11.7,13.17,0.18,0.25,0.0,21.5,560.7
26,27,2.72,2.24,1.76,2.0,-0.34,-0.63,-0.54,21.5,582.2
27,28,3.18,2.46,6.38,5.72,-0.8,-0.87,-0.91,21.4,603.6
28,29,2.88,2.33,6.75,7.53,-0.18,-0.16,-0.44,21.6,625.2
29,30,2.5,2.01,3.61,3.37,-0.53,-0.76,-0.75,21.5,646.6
30,31,2.47,2.04,2.82,4.24,-0.35,-0.46,-0.62,22.1,668.7
31,32,2.52,2.18,2.02,2.03,-0.36,-0.51,-0.7,21.9,690.6
32,33,2.84,2.31,2.59,2.96,-0.17,-0.57,-0.59,21.8,712.4
33,34,2.93,2.37,4.71,4.29,-0.65,-0.82,-0.83,21.5,733.9
34,35,2.42,1.9,8.48,8.78,-0.11,-0.32,-0.39,21.4,755.3
35,36,2.37,2.04,6.37,6.87,0.05,-0.27,-0.31,21.1,776.5
36,37,2.6,2.03,2.69,2.34,-0.59,-0.81,-0.77,21.5,797.9
37,38,2.45,2.06,3.43,3.03,-0.57,-0.79,-0.76,21.4,819.4
38,39,2.36,1.98,1.81,1.9,-0.15,-0.51,-0.59,21.5,840.8
39,40,2.46,1.95,1.96,1.94,-0.18,-0.32,-0.46,21.4,862.2
40,41,2.55,2.13,5.28,6.01,0.08,-0.07,-0.22,21.2,883.3
41,42,2.63,2.15,6.84,6.16,-0.82,-0.92,-0.89,21.4,904.7
42,43,3.05,2.52,1.67,2.14,-0.1,-0.46,-0.51,21.3,926.0
43,44,2.69,2.17,3.5,4.78,-0.2,-0.42,-0.57,21.3,947.2
44,45,2.3,1.99,1.48,1.96,-0.21,-0.58,-0.6,21.5,968.8
45,46,2.42,1.94,6.18,5.79,-0.84,-0.86,-0.89,21.4,990.1
46,47,2.44,2.02,1.6,2.38,-0.39,-0.63,-0.54,21.4,1011.5
47,48,2.45,1.95,11.95,13.47,-0.1,-0.28,-0.44,21.3,1032.8
48,49,2.23,1.87,5.35,4.74,-0.81,-0.9,-0.89,21.5,1054.3
49,50,2.55,2.08,2.82,3.8,0.17,-0.2,-0.24,21.4,1075.7
50,51,3.14,2.44,3.2,3.8,0.28,-0.03,-0.21,21.3,1097.0
51,52,2.67,2.15,2.02,1.98,0.18,-0.14,-0.3,22.2,1119.2
52,53,2.3,1.91,2.29,3.37,0.12,-0.35,-0.38,21.9,1141.2
53,54,2.1,1.96,1.38,2.36,0.18,-0.33,-0.34,22.0,1163.2
54,55,2.1,1.85,5.14,4.77,-0.5,-0.7,-0.75,21.6,1184.8
55,56,2.68,2.37,7.12,7.93,0.6,0.41,0.26,21.3,1206.1
56,57,2.87,2.33,2.63,3.75,0.49,0.26,-0.02,21.5,1227.7
