,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,4.41,4.41,3.05,3.11,-0.99,-0.99,-1.0,28.0,28.0
1,2,2.68,2.68,2.51,2.84,-1.0,-1.0,-1.0,27.9,55.8
2,3,2.61,2.61,2.52,2.71,-1.0,-1.0,-1.0,28.3,84.2
3,4,2.85,2.85,2.24,2.76,-0.96,-0.97,-0.96,27.9,112.1
4,5,2.59,2.59,4.24,4.06,-1.0,-1.0,-1.0,27.9,140.0
5,6,2.41,2.41,3.31,3.21,-0.99,-0.99,-0.99,28.2,168.3
6,7,2.57,2.57,2.67,2.82,-0.99,-0.99,-0.99,28.2,196.5
7,8,2.46,2.46,2.16,2.58,-0.98,-0.99,-0.98,28.1,224.7
8,9,2.47,2.47,2.17,2.51,-0.96,-0.96,-0.94,28.2,252.8
9,10,2.39,2.39,2.48,2.67,-1.0,-1.0,-1.0,28.5,281.3
10,11,2.47,2.47,2.35,2.65,-1.0,-1.0,-1.0,28.7,310.1
11,12,2.52,2.52,2.27,2.65,-0.99,-0.99,-0.99,28.1,338.2
12,13,2.45,2.45,3.98,3.83,-1.0,-1.0,-1.0,27.9,366.2
13,14,2.32,2.32,1.95,2.65,-0.89,-0.93,-0.89,28.4,394.5
14,15,2.4,2.4,2.96,2.99,-0.99,-0.99,-0.98,28.2,422.7
15,16,2.33,2.33,5.67,6.58,-0.62,-0.71,-0.7,28.7,451.4
16,17,2.23,2.23,3.88,3.73,-0.99,-0.99,-0.99,28.2,479.6
17,18,2.49,2.49,2.64,2.85,-0.97,-0.98,-0.97,28.3,508.0
18,19,2.39,2.39,2.57,2.72,-0.99,-0.99,-1.0,28.4,536.3
19,20,2.47,2.47,2.59,2.83,-0.97,-0.98,-0.97,28.2,564.5
20,21,2.16,2.16,5.75,5.39,-0.99,-1.0,-0.99,28.2,592.7
21,22,2.21,2.21,2.9,3.0,-0.83,-0.88,-0.82,27.7,620.4
22,23,2.31,2.31,1.86,2.42,-0.87,-0.9,-0.88,27.6,648.0
23,24,2.23,2.23,4.89,4.62,-1.0,-1.0,-1.0,28.3,676.2
24,25,2.36,2.36,1.93,2.39,-0.89,-0.89,-0.89,28.7,704.9
25,26,2.44,2.44,3.06,3.1,-0.95,-0.96,-0.93,28.0,732.9
26,27,2.18,2.18,2.64,2.72,-0.99,-0.98,-0.99,28.2,761.1
27,28,2.14,2.14,3.01,2.93,-0.96,-0.96,-0.95,28.4,789.5
28,29,2.08,2.08,2.28,2.31,-0.87,-0.89,-0.91,28.5,818.0
29,30,2.15,2.15,2.23,2.54,-0.99,-0.99,-0.99,28.2,846.2
30,31,2.12,2.12,3.37,3.26,-0.96,-0.98,-0.96,28.3,874.5
31,32,2.26,2.26,3.1,3.01,-0.97,-0.97,-0.96,28.6,903.1
32,33,2.25,2.25,2.18,2.58,-0.97,-0.97,-0.96,28.2,931.3
33,34,2.1,2.1,3.36,4.1,-0.68,-0.83,-0.73,28.2,959.6
34,35,2.15,2.15,1.88,2.47,-0.87,-0.88,-0.87,28.1,987.7
35,36,2.14,2.14,2.3,2.49,-0.8,-0.79,-0.78,28.2,1015.9
36,37,2.23,2.23,2.14,2.63,-0.91,-0.92,-0.85,28.6,1044.5
37,38,1.97,1.97,3.16,3.18,-0.98,-0.98,-0.97,28.3,1072.8
38,39,1.9,1.9,2.28,2.41,-0.78,-0.77,-0.74,28.1,1100.9
39,40,2.17,2.17,2.91,3.28,-0.99,-0.99,-0.96,28.0,1128.9
40,41,2.12,2.12,2.88,2.83,-0.93,-0.91,-0.93,27.6,1156.5
41,42,2.09,2.09,2.77,2.76,-0.98,-0.98,-0.98,27.5,1184.0
42,43,1.95,1.95,2.6,2.8,-0.95,-0.95,-0.93,28.0,1212.0
43,44,1.9,1.9,2.99,3.38,-1.0,-0.99,-0.98,28.1,1240.1
44,45,2.15,2.15,4.05,4.66,-0.89,-0.94,-0.91,28.3,1268.4
45,46,2.02,2.02,5.93,5.64,-0.86,-0.91,-0.84,27.8,1296.2
46,47,1.94,1.94,3.84,4.45,-0.94,-0.96,-0.93,28.4,1324.6
47,48,1.92,1.92,3.18,3.26,-0.97,-0.97,-0.96,28.3,1353.0
48,49,2.01,2.01,5.46,5.16,-0.93,-0.95,-0.91,28.5,1381.5
49,50,1.97,1.97,2.87,3.01,-1.0,-1.0,-1.0,28.4,1409.9
50,51,1.77,1.77,5.15,4.93,-0.98,-0.98,-0.98,27.8,1437.7
51,52,1.92,1.92,3.58,4.03,-0.99,-0.98,-0.98,27.7,1465.5
52,53,1.71,1.71,5.56,5.15,-0.96,-0.96,-0.95,28.1,1493.5
53,54,1.75,1.75,4.11,4.68,-0.97,-0.97,-0.95,28.1,1521.6
54,55,1.78,1.78,1.61,2.45,-0.82,-0.83,-0.81,28.2,1549.8
55,56,1.79,1.79,5.64,5.26,-0.89,-0.92,-0.9,27.8,1577.6
56,57,1.75,1.75,1.87,2.68,-0.56,-0.64,-0.64,28.2,1605.8
57,58,1.7,1.7,3.59,4.09,-0.98,-0.98,-0.96,28.2,1634.0
58,59,1.7,1.7,4.66,4.4,-0.95,-0.96,-0.96,28.0,1662.1
59,60,1.77,1.77,3.77,3.53,-0.85,-0.88,-0.84,27.8,1689.9
60,61,1.67,1.67,3.3,3.72,-0.99,-0.99,-0.97,28.2,1718.1
61,62,1.6,1.6,2.93,3.47,-0.94,-0.94,-0.92,28.1,1746.2
62,63,1.59,1.59,5.15,4.8,-0.82,-0.85,-0.82,28.3,1774.6
63,64,1.63,1.63,2.19,2.85,-0.85,-0.86,-0.86,27.7,1802.3
64,65,1.74,1.74,2.46,2.96,-0.87,-0.92,-0.87,28.0,1830.3
65,66,1.7,1.7,5.91,5.37,-0.98,-0.98,-0.98,27.6,1857.9
66,67,1.65,1.65,1.81,2.36,-0.55,-0.66,-0.62,27.8,1885.7
67,68,1.55,1.55,2.36,2.99,-0.82,-0.85,-0.8,28.1,1913.8
68,69,1.67,1.67,3.19,3.91,-0.88,-0.89,-0.86,27.9,1941.7
69,70,1.61,1.61,4.33,4.01,-0.81,-0.82,-0.8,28.4,1970.1
70,71,1.54,1.54,2.91,2.8,-0.56,-0.7,-0.61,28.2,1998.2
71,72,1.65,1.65,1.83,2.3,-0.58,-0.7,-0.64,28.5,2026.7
72,73,1.59,1.59,2.41,2.71,-0.65,-0.71,-0.7,28.3,2055.0
73,74,1.6,1.6,2.33,3.05,-0.78,-0.86,-0.78,28.4,2083.4
74,75,1.53,1.53,3.53,3.36,-0.66,-0.76,-0.68,28.6,2112.0
75,76,1.53,1.53,1.87,2.2,-0.81,-0.85,-0.81,27.4,2139.4
76,77,1.47,1.47,4.81,5.26,-0.98,-0.98,-0.98,27.9,2167.3
77,78,1.64,1.64,1.81,2.35,-0.74,-0.77,-0.75,27.6,2194.9
78,79,1.71,1.71,4.7,4.23,-0.96,-0.95,-0.97,27.7,2222.7
79,80,1.64,1.64,2.28,2.31,-0.73,-0.76,-0.75,28.2,2250.9
80,81,1.48,1.48,4.39,4.89,-0.98,-0.98,-0.96,28.6,2279.5
81,82,1.68,1.68,2.46,3.03,-0.82,-0.88,-0.81,28.1,2307.6
82,83,1.51,1.51,2.85,3.69,-0.84,-0.91,-0.86,28.5,2336.1
83,84,1.45,1.45,2.26,2.89,-0.84,-0.88,-0.84,28.6,2364.7
84,85,1.45,1.45,3.06,3.02,-0.57,-0.68,-0.63,28.3,2393.1
85,86,1.48,1.48,2.68,3.8,-0.53,-0.77,-0.67,28.1,2421.2
86,87,1.67,1.67,3.92,4.35,-0.99,-0.99,-0.98,27.8,2449.0
87,88,1.64,1.64,1.81,2.17,-0.71,-0.79,-0.71,28.1,2477.1
88,89,1.48,1.48,4.2,3.78,-0.84,-0.89,-0.89,28.7,2505.8
89,90,1.5,1.5,5.6,5.02,-0.82,-0.88,-0.87,28.7,2534.5
90,91,1.5,1.5,3.59,4.22,-0.97,-0.98,-0.95,28.6,2563.2
91,92,1.59,1.59,2.57,3.23,-0.75,-0.88,-0.79,28.7,2591.8
92,93,1.55,1.55,2.95,3.72,-0.91,-0.93,-0.91,28.2,2620.0
93,94,1.43,1.43,4.22,3.66,-0.89,-0.92,-0.93,28.5,2648.5
94,95,1.46,1.46,4.59,5.35,-0.91,-0.95,-0.86,28.1,2676.7
95,96,1.49,1.49,3.04,3.52,-0.96,-0.98,-0.95,28.3,2705.0
96,97,1.61,1.61,2.88,2.76,-0.69,-0.81,-0.75,28.4,2733.4
97,98,1.38,1.38,3.84,3.38,-0.78,-0.84,-0.85,28.0,2761.5
98,99,1.45,1.45,2.49,2.41,-0.46,-0.72,-0.64,27.8,2789.2
99,100,1.54,1.54,3.67,3.23,-0.86,-0.88,-0.9,28.1,2817.3
100,101,1.31,1.31,2.19,2.91,-0.65,-0.8,-0.74,28.2,2845.5
101,102,1.35,1.35,2.09,2.18,-0.59,-0.77,-0.72,28.0,2873.6
102,103,1.28,1.28,1.96,2.85,-0.66,-0.78,-0.72,28.6,2902.2
103,104,1.23,1.23,2.89,2.56,-0.74,-0.81,-0.79,29.1,2931.2
104,105,1.33,1.33,4.28,3.68,-0.81,-0.83,-0.82,28.5,2959.7
105,106,1.2,1.2,3.98,3.47,-0.82,-0.85,-0.81,28.5,2988.2
106,107,1.19,1.19,1.72,2.39,-0.4,-0.68,-0.61,28.5,3016.8
107,108,1.25,1.25,2.51,2.38,-0.64,-0.77,-0.7,29.0,3045.8
108,109,1.33,1.33,2.08,2.99,-0.76,-0.83,-0.79,28.4,3074.2
109,110,1.23,1.23,3.06,3.94,-0.67,-0.84,-0.76,28.8,3103.0
110,111,1.24,1.24,3.11,4.09,-0.61,-0.84,-0.75,28.5,3131.4
111,112,1.2,1.2,2.7,2.47,-0.62,-0.75,-0.68,28.8,3160.2
112,113,1.27,1.27,1.93,2.24,-0.35,-0.68,-0.58,28.4,3188.6
113,114,1.2,1.2,3.34,2.98,-0.79,-0.83,-0.77,28.4,3217.0
114,115,1.3,1.3,2.16,3.35,-0.63,-0.84,-0.75,28.4,3245.4
115,116,1.26,1.26,1.76,2.82,-0.5,-0.74,-0.66,28.2,3273.7
116,117,1.26,1.26,2.22,2.32,-0.59,-0.75,-0.69,28.5,3302.2
117,118,1.22,1.22,2.16,2.28,-0.49,-0.72,-0.67,28.0,3330.2
118,119,1.3,1.3,2.31,2.26,-0.59,-0.75,-0.7,28.5,3358.7
119,120,1.16,1.16,1.6,2.47,-0.4,-0.71,-0.61,28.5,3387.2
120,121,1.3,1.3,2.15,2.9,-0.81,-0.84,-0.78,28.1,3415.4
121,122,1.29,1.29,1.66,2.49,-0.32,-0.68,-0.57,28.5,3443.8
122,123,1.2,1.2,1.7,2.44,-0.43,-0.7,-0.61,28.5,3472.3
123,124,1.11,1.11,4.63,3.9,-0.73,-0.78,-0.7,28.0,3500.4
124,125,1.15,1.15,2.84,2.51,-0.49,-0.7,-0.62,28.6,3529.0
125,126,1.23,1.23,4.46,5.3,-0.86,-0.93,-0.85,28.2,3557.2
126,127,1.23,1.23,2.25,2.24,-0.46,-0.7,-0.6,28.3,3585.5
127,128,1.1,1.1,4.62,3.93,-0.72,-0.79,-0.72,28.3,3613.8
128,129,1.37,1.37,1.61,2.63,-0.25,-0.64,-0.56,27.8,3641.7
129,130,1.21,1.21,2.75,2.52,-0.83,-0.85,-0.83,28.5,3670.2
130,131,1.08,1.08,7.84,8.81,-0.74,-0.82,-0.82,27.7,3698.0
131,132,1.19,1.19,3.43,4.37,-0.84,-0.89,-0.83,28.2,3726.1
132,133,1.15,1.15,3.24,2.81,-0.6,-0.76,-0.68,28.2,3754.3
133,134,1.1,1.1,1.75,2.94,-0.5,-0.72,-0.68,28.5,3782.9
134,135,1.18,1.18,2.92,2.43,-0.68,-0.8,-0.74,28.6,3811.5
135,136,1.18,1.18,3.86,2.99,-0.66,-0.78,-0.7,28.6,3840.1
136,137,1.06,1.06,2.64,2.44,-0.75,-0.8,-0.75,28.4,3868.5
137,138,1.14,1.14,1.68,2.51,-0.48,-0.71,-0.64,28.4,3896.9
138,139,1.19,1.19,3.21,4.28,-0.82,-0.87,-0.82,28.3,3925.2
139,140,1.24,1.24,3.64,3.02,-0.83,-0.88,-0.86,28.5,3953.7
140,141,1.12,1.12,3.41,3.02,-0.71,-0.83,-0.78,28.4,3982.1
141,142,1.09,1.09,4.16,3.45,-0.67,-0.79,-0.77,28.3,4010.4
142,143,1.06,1.06,5.83,5.05,-0.85,-0.88,-0.85,28.5,4039.0
143,144,1.19,1.19,4.8,4.0,-0.71,-0.8,-0.72,28.0,4066.9
144,145,1.1,1.1,4.82,3.83,-0.6,-0.76,-0.67,27.8,4094.8
145,146,1.27,1.27,1.71,2.47,-0.6,-0.75,-0.66,28.0,4122.8
146,147,1.18,1.18,1.7,2.7,-0.5,-0.71,-0.63,28.5,4151.3
147,148,1.22,1.22,5.16,4.37,-0.86,-0.86,-0.85,28.8,4180.0
148,149,1.08,1.08,2.47,3.63,-0.47,-0.77,-0.66,28.6,4208.7
149,150,1.05,1.05,3.68,3.01,-0.55,-0.77,-0.66,28.5,4237.2
150,151,1.17,1.17,1.81,2.66,-0.68,-0.79,-0.72,28.3,4265.5
151,152,1.03,1.03,2.96,2.6,-0.41,-0.7,-0.61,28.2,4293.7
152,153,1.12,1.12,1.82,2.33,-0.54,-0.71,-0.66,28.1,4321.8
153,154,0.99,0.99,2.82,2.55,-0.44,-0.7,-0.62,28.3,4350.1
154,155,1.08,1.08,2.23,2.23,-0.57,-0.72,-0.67,28.5,4378.6
155,156,1.02,1.02,4.36,3.58,-0.71,-0.83,-0.75,28.7,4407.3
156,157,0.95,0.95,2.42,3.47,-0.76,-0.83,-0.76,28.9,4436.1
157,158,1.11,1.11,2.36,2.37,-0.51,-0.7,-0.6,28.2,4464.3
158,159,0.89,0.89,4.22,3.49,-0.72,-0.81,-0.75,28.2,4492.6
159,160,1.11,1.11,2.01,3.13,-0.64,-0.76,-0.73,28.3,4520.9
160,161,1.05,1.05,3.59,2.98,-0.61,-0.74,-0.7,28.5,4549.4
161,162,1.16,1.16,1.79,2.75,-0.6,-0.72,-0.68,28.6,4578.0
162,163,1.03,1.03,2.84,2.57,-0.49,-0.7,-0.64,28.5,4606.4
163,164,1.1,1.1,1.81,2.47,-0.54,-0.72,-0.65,28.4,4634.9
164,165,1.07,1.07,3.07,2.63,-0.59,-0.75,-0.67,28.2,4663.0
165,166,1.02,1.02,1.85,2.31,-0.62,-0.73,-0.68,28.4,4691.5
166,167,1.04,1.04,2.96,2.54,-0.53,-0.73,-0.68,27.8,4719.2
167,168,0.95,0.95,2.58,3.62,-0.63,-0.78,-0.69,28.2,4747.4
168,169,0.99,0.99,1.74,2.43,-0.36,-0.67,-0.6,28.1,4775.5
169,170,1.04,1.04,2.72,3.79,-0.61,-0.73,-0.67,28.0,4803.6
170,171,1.12,1.12,3.25,2.72,-0.58,-0.74,-0.68,28.1,4831.7
171,172,1.13,1.13,2.32,3.13,-0.7,-0.77,-0.7,27.9,4859.5
172,173,0.99,0.99,3.37,2.86,-0.54,-0.72,-0.65,28.1,4887.6
173,174,0.98,0.98,2.33,3.28,-0.6,-0.73,-0.67,28.3,4916.0
174,175,1.01,1.01,2.5,2.34,-0.46,-0.68,-0.62,28.9,4944.9
