,Unnamed: 0,predicted_value,ground_truth
0,0,7.727080724940726,10.8
1,1,7.129711098323152,11.79
2,2,11.179365380678886,13.1
3,3,8.560927026468526,12.8
4,4,18.371223915241046,17.0
5,5,9.250253675532003,10.08
6,6,13.06629710467713,15.284
7,7,24.25704751903096,19.66
8,8,5.657588887562308,7.7502
9,9,8.631439278138453,12.04
10,10,10.648550263340274,9.79
11,11,15.003058522864762,15.71
12,12,3.6189115284765143,10.83
13,13,7.456923750038237,13.85
14,14,19.441672255707942,14.8
15,15,10.43283512524876,12.3
16,16,17.505760805635955,18.2615
17,17,12.424684004995964,13.25
18,18,13.125772307246642,14.5
19,19,9.139065811059703,8.52
20,20,6.968294882049713,8.9747
21,21,7.296385081966787,9.73
22,22,14.171844865942916,14.18
23,23,19.973253347262858,16.55
24,24,15.396879590391219,17.31
25,25,8.178742248100416,8.39
26,26,20.513100942880484,13.38
27,27,9.15345007973056,17.8
28,28,14.534969297363876,13.78
29,29,21.4841857540767,19.227999999999998
30,30,13.85306169152806,8.2656
31,31,18.17395860127616,14.8
32,32,10.97340231039202,10.46
33,33,14.242881139253456,11.55
34,34,7.880892359223805,11.81
35,35,22.44175130840118,15.8
36,36,13.210250111731039,14.2
37,37,16.92875029730447,15.27
38,38,15.928212461169,14.36
39,39,17.785944395566283,16.13
40,40,15.742432999527832,14.0
41,41,14.270844839529907,16.66
