,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,7.33,5.18,2.85,2.68,-0.99,-0.99,-1.0,25.6,25.6
1,2,4.75,2.9,4.04,3.94,-0.99,-1.0,-1.0,24.6,50.2
2,3,4.53,2.79,3.45,3.18,-0.98,-0.99,-0.99,24.8,75.0
3,4,3.97,2.54,2.75,2.4,-0.6,-0.72,-0.76,24.7,99.8
4,5,3.84,2.72,3.08,3.41,-0.88,-0.89,-0.92,24.7,124.5
5,6,3.62,2.52,3.05,3.62,-0.55,-0.67,-0.72,24.1,148.6
6,7,3.9,2.63,2.35,2.56,-0.74,-0.82,-0.84,24.0,172.6
7,8,3.53,2.41,2.46,2.2,-0.89,-0.91,-0.92,24.3,196.9
8,9,3.7,2.48,2.72,2.47,-0.55,-0.71,-0.72,24.6,221.5
9,10,3.49,2.36,4.18,4.04,-0.97,-0.97,-0.97,24.4,245.9
10,11,3.2,2.25,7.82,7.67,-0.97,-0.98,-0.97,24.3,270.2
11,12,3.57,2.39,9.64,9.6,-1.0,-1.0,-1.0,24.6,294.8
12,13,3.28,2.46,10.01,9.84,-0.98,-0.98,-0.98,24.2,319.0
13,14,3.31,2.4,10.32,10.18,-0.98,-0.99,-0.98,24.5,343.6
14,15,2.92,2.12,3.19,3.22,-0.41,-0.55,-0.53,24.5,368.0
15,16,2.85,2.11,3.19,2.98,-0.63,-0.83,-0.76,24.8,392.8
16,17,2.59,1.99,2.85,2.58,-0.71,-0.86,-0.77,24.3,417.1
17,18,2.59,1.96,2.08,1.77,-0.53,-0.7,-0.64,24.5,441.6
18,19,3.04,2.19,5.23,5.04,-0.92,-0.96,-0.94,24.7,466.3
19,20,2.78,1.99,2.8,2.68,-0.35,-0.64,-0.54,24.6,490.9
20,21,2.46,1.86,2.62,2.63,-0.5,-0.78,-0.65,24.5,515.4
21,22,3.1,2.28,4.5,4.54,-0.89,-1.0,-0.98,24.3,539.7
22,23,2.68,1.93,3.7,3.8,-0.54,-0.73,-0.6,24.7,564.4
23,24,2.58,1.9,5.79,5.14,-0.31,-0.67,-0.52,24.7,589.1
24,25,2.57,2.04,4.92,4.97,-0.93,-0.97,-0.9,24.3,613.4
25,26,2.64,2.02,12.2,12.07,-0.96,-0.96,-0.95,25.0,638.4
26,27,2.4,1.85,4.41,4.54,-0.99,-1.0,-1.0,24.6,663.0
27,28,2.27,1.83,4.09,4.26,-0.69,-0.89,-0.89,24.7,687.8
28,29,2.29,1.78,2.51,2.02,-0.35,-0.7,-0.52,25.1,712.9
29,30,2.23,1.82,2.77,2.41,-0.47,-0.75,-0.61,24.7,737.6
30,31,2.58,1.95,8.01,8.08,-0.77,-0.8,-0.81,24.6,762.2
31,32,2.21,1.74,3.2,2.89,-0.26,-0.74,-0.58,24.6,786.8
32,33,2.47,1.96,4.62,4.77,-0.99,-1.0,-1.0,24.5,811.3
33,34,2.41,1.95,3.83,3.72,-0.88,-0.9,-0.88,24.8,836.1
34,35,2.32,1.83,2.58,2.14,-0.4,-0.73,-0.53,24.4,860.5
35,36,2.37,1.93,12.33,12.24,-0.98,-0.98,-0.98,24.5,885.0
36,37,2.77,2.12,4.08,3.5,-0.49,-0.76,-0.63,24.5,909.5
37,38,2.01,1.71,3.04,3.15,-0.52,-0.75,-0.76,24.3,933.8
38,39,2.3,1.87,6.47,6.14,-0.39,-0.78,-0.64,24.9,958.7
39,40,2.2,1.77,2.63,2.48,-0.42,-0.67,-0.61,24.6,983.3
40,41,2.38,1.99,4.05,4.26,-0.65,-0.86,-0.77,24.8,1008.0
41,42,2.25,1.84,12.95,12.92,-0.98,-0.98,-0.98,24.4,1032.4
42,43,2.09,1.8,4.93,5.14,-1.0,-1.0,-1.0,24.6,1057.0
43,44,2.56,1.97,8.26,7.92,-0.64,-0.84,-0.68,24.5,1081.5
44,45,2.72,2.2,6.31,5.95,-0.85,-0.9,-0.91,24.6,1106.1
45,46,2.19,1.8,4.75,4.12,-0.44,-0.75,-0.61,24.7,1130.7
46,47,2.21,1.7,5.28,5.51,-0.95,-0.99,-0.98,24.5,1155.3
47,48,2.19,1.82,4.93,4.92,-0.75,-0.77,-0.76,24.1,1179.4
48,49,2.07,1.69,3.12,3.08,-0.46,-0.73,-0.66,24.6,1203.9
49,50,1.92,1.7,3.04,2.54,-0.56,-0.77,-0.56,24.5,1228.4
50,51,1.83,1.59,5.67,5.64,-0.6,-0.79,-0.69,24.4,1252.8
51,52,1.71,1.65,2.37,2.11,0.19,-0.51,-0.35,24.7,1277.6
52,53,1.85,1.77,3.81,3.26,-0.1,-0.66,-0.52,24.7,1302.3
53,54,1.84,1.76,2.4,2.12,0.25,-0.52,-0.29,24.8,1327.1
54,55,1.83,1.73,3.38,3.27,-0.05,-0.55,-0.48,24.6,1351.7
55,56,2.06,1.88,6.2,6.74,0.17,-0.74,-0.46,24.4,1376.1
56,57,2.22,2.39,7.6,8.02,-0.77,-0.91,-0.93,24.7,1400.8
57,58,1.83,1.84,4.2,3.58,0.34,-0.58,-0.31,24.2,1425.0
58,59,1.87,2.03,3.24,3.0,0.59,-0.48,-0.19,24.5,1449.6
59,60,2.33,2.28,4.15,3.94,0.2,-0.69,-0.39,24.7,1474.3
60,61,2.42,2.58,4.45,4.08,0.26,-0.28,-0.06,24.6,1498.9
61,62,2.72,2.99,3.18,3.89,0.66,-0.34,0.0,24.5,1523.4
62,63,2.77,2.99,10.11,9.91,-0.18,-0.52,-0.38,25.0,1548.4
63,64,2.26,2.56,4.83,5.05,-0.29,-0.67,-0.57,24.5,1572.9
64,65,2.66,2.95,15.65,15.86,-0.26,-0.66,-0.56,24.6,1597.5
65,66,4.8,3.63,4.82,4.85,0.7,-0.25,0.21,24.6,1622.0
66,67,4.31,3.99,5.56,5.42,0.32,-0.57,-0.18,24.4,1646.4
67,68,4.74,3.83,8.41,7.88,0.55,-0.24,0.01,24.7,1671.1
68,69,4.94,4.52,8.15,8.55,0.48,-0.53,-0.24,24.6,1695.8
69,70,7.28,5.3,6.67,6.52,0.51,-0.22,0.27,24.5,1720.3
70,71,14.86,7.42,10.03,12.4,0.36,-0.48,-0.17,24.6,1744.9
71,72,25.29,7.8,38.41,40.9,0.25,-0.32,-0.11,24.5,1769.4
72,73,24.08,6.65,9.73,9.97,0.45,-0.29,0.2,24.1,1793.5
73,74,19.1,7.76,14.21,15.59,0.64,-0.23,0.2,24.8,1818.3
74,75,7.77,5.47,15.0,17.21,0.55,-0.27,0.02,25.1,1843.4
75,76,16.3,7.6,29.93,29.52,0.64,0.06,0.35,24.8,1868.2
76,77,29.75,10.32,118.4,125.56,0.4,0.06,0.31,24.5,1892.7
77,78,53.91,11.88,14.49,17.44,0.49,-0.18,0.12,24.6,1917.3
78,79,33.02,11.76,11.68,13.05,0.61,0.02,0.5,24.4,1941.7
79,80,25.63,8.56,6.63,7.61,0.66,-0.08,0.42,24.7,1966.4
80,81,25.72,8.83,6.07,6.8,0.68,-0.11,0.37,24.7,1991.1
81,82,34.08,9.84,23.33,22.19,0.55,-0.05,0.26,24.8,2015.9
82,83,16.77,10.28,5.68,8.08,0.73,0.13,0.4,24.7,2040.5
83,84,9.09,7.22,7.46,7.96,0.6,-0.22,0.21,24.6,2065.2
84,85,6.22,7.3,8.63,9.49,0.68,-0.18,0.26,24.2,2089.3
85,86,7.45,6.89,6.26,7.06,0.73,-0.17,0.37,24.7,2114.0
86,87,4.68,6.18,8.49,9.41,0.76,-0.07,0.33,24.6,2138.5
87,88,6.24,5.96,5.75,5.86,0.69,-0.26,0.37,24.6,2163.1
88,89,4.22,6.37,4.78,5.41,0.74,-0.01,0.48,24.7,2187.8
89,90,3.76,6.53,4.18,4.74,0.73,-0.04,0.42,24.3,2212.2
90,91,21.87,8.33,9.06,9.42,0.68,-0.35,0.48,24.7,2236.8
91,92,356.31,7.5,4.94,3.71,0.24,-0.37,-0.07,24.7,2261.5
92,93,1122.87,13.78,127.9,128.13,-0.61,-0.7,-0.67,24.5,2286.0
93,94,1178.75,20.76,23.12,23.91,0.6,0.12,0.44,24.3,2310.4
94,95,969.28,13.4,34.18,36.89,0.63,0.13,0.49,24.7,2335.1
95,96,7908.3,12.25,21.66,21.21,-0.08,-0.53,-0.42,24.6,2359.7
96,97,52873.77,14.41,292.55,307.68,0.37,-0.06,0.08,24.3,2383.9
97,98,93596.45,19.64,30.17,30.08,-0.97,-0.97,-0.98,24.3,2408.2
98,99,50299.9,22.81,90.54,90.1,0.23,0.07,0.03,24.4,2432.7
99,100,61214.03,27.02,121.73,140.41,0.45,0.07,0.18,24.6,2457.3
100,101,3598116.63,28.22,45.43,36.64,0.44,-0.13,0.1,24.9,2482.2
101,102,1156050.84,32.06,35.54,31.8,0.5,0.2,0.19,24.5,2506.7
102,103,2348372.49,24.27,122.87,153.08,0.53,0.18,0.31,24.9,2531.6
103,104,1621104.84,42.79,99.15,95.04,0.53,0.09,0.35,24.7,2556.3
104,105,2643591.49,40.4,124.81,123.86,0.24,-0.28,0.06,24.5,2580.8
105,106,1374447.16,50.12,24.16,28.59,0.58,0.07,0.39,24.3,2605.0
106,107,416589.13,43.9,24.01,28.26,0.58,0.09,0.4,24.5,2629.6
107,108,370496.86,40.58,22.69,27.36,0.59,0.09,0.4,24.1,2653.7
108,109,411232.75,36.63,35.42,31.76,0.61,0.13,0.41,24.3,2678.0
109,110,103538.03,33.92,30.74,29.07,0.62,0.12,0.41,24.7,2702.7
110,111,3113.95,32.87,26.1,27.11,0.61,0.12,0.41,24.0,2726.7
111,112,2133.97,32.59,25.61,27.35,0.61,0.12,0.41,24.6,2751.3
112,113,2697.79,33.11,24.72,26.95,0.61,0.11,0.41,24.3,2775.7
113,114,2504.39,32.59,24.59,26.89,0.6,0.11,0.41,25.0,2800.7
114,115,3281.08,32.56,24.06,26.3,0.6,0.11,0.41,24.7,2825.4
115,116,352.91,32.81,24.25,26.52,0.61,0.11,0.41,24.9,2850.3
116,117,370.88,33.46,25.21,26.59,0.59,0.11,0.41,24.7,2875.0
117,118,379.47,32.21,24.84,26.97,0.61,0.11,0.41,24.3,2899.4
118,119,397.62,32.07,25.38,27.26,0.61,0.11,0.41,24.5,2923.9
119,120,321.44,32.7,24.69,26.96,0.61,0.11,0.41,24.3,2948.2
120,121,103.2,31.86,24.81,26.78,0.6,0.11,0.41,24.5,2972.8
121,122,104.68,32.9,24.57,26.64,0.6,0.11,0.41,24.4,2997.2
122,123,93.74,32.32,24.78,26.9,0.6,0.11,0.41,24.7,3021.8
123,124,94.62,32.11,25.88,27.21,0.6,0.11,0.41,24.9,3046.7
124,125,90.83,31.82,25.4,26.91,0.6,0.11,0.41,24.8,3071.5
125,126,45.92,32.16,25.76,27.06,0.61,0.11,0.41,24.7,3096.3
126,127,49.1,32.44,23.81,26.73,0.6,0.1,0.41,24.4,3120.7
127,128,50.97,32.62,25.54,26.82,0.61,0.11,0.41,24.6,3145.3
128,129,47.38,32.9,26.18,27.36,0.6,0.12,0.41,24.2,3169.5
129,130,47.1,32.41,24.71,26.59,0.6,0.11,0.41,24.7,3194.2
130,131,31.11,32.51,25.76,26.88,0.6,0.11,0.41,24.2,3218.4
131,132,31.83,33.55,24.51,26.74,0.6,0.11,0.41,24.4,3242.8
132,133,31.37,32.92,24.38,26.39,0.61,0.11,0.41,24.4,3267.2
133,134,30.35,32.59,24.01,26.7,0.6,0.1,0.41,24.4,3291.6
134,135,30.27,31.63,24.8,26.95,0.59,0.11,0.41,24.3,3315.8
135,136,25.12,32.69,24.25,26.79,0.6,0.1,0.41,24.6,3340.5
136,137,24.73,33.38,24.37,26.66,0.61,0.11,0.41,24.9,3365.4
137,138,25.45,32.81,24.01,26.45,0.6,0.11,0.41,24.7,3390.1
138,139,25.38,31.69,24.65,26.8,0.6,0.11,0.41,24.7,3414.8
139,140,25.59,32.71,24.91,26.97,0.61,0.11,0.41,24.6,3439.4
140,141,25.31,33.33,23.69,26.27,0.61,0.1,0.41,24.7,3464.1
