,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,3.89,3.89,14.48,14.25,-0.58,-0.67,-0.7,17.7,17.7
1,2,2.55,2.55,2.33,2.76,-0.86,-0.82,-0.9,17.3,35.0
2,3,2.54,2.54,2.6,2.64,-1.0,-1.0,-1.0,17.4,52.4
3,4,2.26,2.26,3.47,3.61,-1.0,-1.0,-1.0,17.5,69.9
4,5,2.56,2.56,2.62,3.02,-0.9,-0.9,-0.95,17.6,87.5
5,6,2.61,2.61,2.75,2.87,-0.99,-0.99,-0.99,17.6,105.1
6,7,2.37,2.37,2.35,2.73,-0.81,-0.76,-0.86,17.6,122.7
7,8,2.46,2.46,4.29,4.37,-0.9,-0.92,-0.94,17.3,140.0
8,9,2.47,2.47,5.36,5.42,-0.97,-0.97,-0.98,17.4,157.4
9,10,3.02,3.02,3.54,3.69,-1.0,-1.0,-1.0,17.4,174.8
10,11,2.7,2.7,3.64,3.85,-0.86,-0.81,-0.91,17.5,192.3
11,12,2.29,2.29,3.31,3.43,-1.0,-1.0,-1.0,17.4,209.8
12,13,2.59,2.59,2.04,2.44,-0.83,-0.82,-0.89,17.4,227.2
13,14,2.7,2.7,3.0,3.94,-0.75,-0.75,-0.87,17.6,244.8
14,15,2.34,2.34,2.31,2.48,-0.98,-0.97,-0.98,17.7,262.6
15,16,2.44,2.44,3.6,3.77,-1.0,-1.0,-1.0,17.9,280.5
16,17,2.3,2.3,5.01,5.03,-1.0,-1.0,-1.0,17.8,298.3
17,18,2.41,2.41,3.41,3.57,-0.99,-0.99,-0.99,17.9,316.2
18,19,2.5,2.5,7.74,7.81,-0.82,-0.86,-0.88,17.8,334.0
19,20,2.5,2.5,1.95,2.68,-0.78,-0.71,-0.85,17.7,351.7
20,21,2.36,2.36,3.4,3.61,-0.92,-0.93,-0.95,17.5,369.2
21,22,2.5,2.5,1.94,2.54,-0.82,-0.77,-0.84,17.4,386.6
22,23,2.66,2.66,2.46,2.73,-0.96,-0.94,-0.97,17.6,404.2
23,24,2.39,2.39,2.73,2.91,-0.99,-0.98,-0.99,17.5,421.8
24,25,2.37,2.37,2.35,2.64,-0.93,-0.92,-0.95,17.5,439.3
25,26,2.88,2.88,2.93,3.15,-0.9,-0.92,-0.94,17.5,456.8
26,27,2.54,2.54,1.99,2.45,-0.8,-0.82,-0.84,17.5,474.3
27,28,2.26,2.26,2.7,2.85,-0.98,-0.98,-0.98,17.6,491.9
28,29,2.55,2.55,2.54,2.85,-0.81,-0.8,-0.84,17.5,509.4
29,30,2.3,2.3,4.44,4.56,-0.99,-0.99,-1.0,17.4,526.8
30,31,2.53,2.53,2.65,2.85,-0.9,-0.89,-0.92,17.5,544.4
31,32,2.52,2.52,2.07,2.29,-0.91,-0.93,-0.93,18.0,562.3
32,33,2.53,2.53,1.9,2.4,-0.8,-0.82,-0.86,17.6,579.9
33,34,2.18,2.18,3.87,3.92,-0.95,-0.97,-0.96,17.4,597.3
34,35,2.26,2.26,2.09,2.52,-0.86,-0.88,-0.9,17.7,615.0
35,36,2.33,2.33,3.67,3.77,-0.98,-0.98,-0.98,17.6,632.6
36,37,2.27,2.27,2.26,2.57,-0.96,-0.98,-0.98,17.4,649.9
37,38,2.47,2.47,4.1,4.39,-0.89,-0.88,-0.93,17.8,667.7
38,39,2.72,2.72,2.46,2.95,-0.85,-0.85,-0.91,17.6,685.3
39,40,2.3,2.3,4.55,4.68,-0.95,-0.94,-0.97,17.8,703.1
40,41,2.21,2.21,3.33,3.51,-1.0,-0.99,-1.0,17.6,720.6
41,42,2.25,2.25,3.83,3.99,-0.98,-0.97,-0.99,17.7,738.4
42,43,2.12,2.12,1.89,2.39,-0.82,-0.87,-0.88,17.8,756.1
43,44,2.03,2.03,1.97,2.47,-0.86,-0.91,-0.91,17.4,773.6
44,45,2.17,2.17,2.11,2.31,-0.9,-0.92,-0.94,17.7,791.2
45,46,2.08,2.08,2.14,2.55,-0.8,-0.86,-0.87,17.7,808.9
46,47,2.12,2.12,1.82,2.07,-0.7,-0.71,-0.81,17.6,826.4
47,48,1.86,1.86,2.23,2.08,-0.88,-0.92,-0.91,17.5,844.0
48,49,2.33,2.33,2.16,2.11,-0.73,-0.76,-0.85,17.9,861.8
49,50,2.12,2.12,2.33,2.65,-0.87,-0.89,-0.92,17.7,879.5
50,51,1.92,1.92,2.09,2.34,-0.85,-0.89,-0.88,17.7,897.2
51,52,1.77,1.77,2.13,2.31,-0.62,-0.72,-0.75,17.6,914.9
52,53,1.9,1.9,2.02,2.04,-0.8,-0.86,-0.86,17.5,932.4
53,54,1.92,1.92,2.17,2.43,-0.77,-0.84,-0.84,17.6,950.0
54,55,1.78,1.78,2.21,2.07,-0.68,-0.77,-0.81,17.7,967.6
55,56,2.01,2.01,2.05,2.54,-0.71,-0.74,-0.81,17.6,985.3
56,57,1.92,1.92,2.56,2.68,-0.89,-0.93,-0.91,17.7,1003.0
57,58,1.83,1.83,1.97,2.14,-0.77,-0.85,-0.84,17.6,1020.6
58,59,1.95,1.95,2.67,3.15,-0.8,-0.82,-0.84,17.6,1038.2
59,60,1.94,1.94,2.76,2.82,-0.82,-0.9,-0.87,17.5,1055.7
60,61,1.79,1.79,2.0,2.27,-0.77,-0.82,-0.84,17.5,1073.2
61,62,1.88,1.88,2.09,2.27,-0.82,-0.88,-0.87,17.6,1090.8
62,63,1.82,1.82,3.04,3.18,-0.85,-0.91,-0.89,17.4,1108.2
63,64,1.67,1.67,1.92,2.12,-0.69,-0.77,-0.81,17.4,1125.7
64,65,1.76,1.76,1.82,1.98,-0.46,-0.56,-0.68,17.5,1143.2
65,66,1.81,1.81,3.2,3.28,-0.92,-0.92,-0.93,17.5,1160.7
66,67,1.8,1.8,1.8,1.97,-0.53,-0.56,-0.7,17.6,1178.3
67,68,1.72,1.72,1.8,1.89,-0.73,-0.81,-0.82,17.5,1195.8
68,69,1.72,1.72,2.16,2.42,-0.66,-0.7,-0.76,17.5,1213.3
69,70,1.75,1.75,1.88,2.24,-0.64,-0.69,-0.77,17.4,1230.6
70,71,1.59,1.59,2.04,2.53,-0.49,-0.59,-0.72,17.7,1248.4
71,72,1.78,1.78,2.42,2.83,-0.76,-0.67,-0.81,17.5,1265.9
72,73,1.94,1.94,2.05,2.03,-0.82,-0.86,-0.88,17.5,1283.4
73,74,1.83,1.83,2.48,2.69,-0.72,-0.77,-0.82,17.5,1300.9
74,75,1.61,1.61,2.25,2.23,-0.65,-0.78,-0.79,17.3,1318.2
75,76,1.62,1.62,1.84,1.86,-0.58,-0.63,-0.69,17.6,1335.8
76,77,1.74,1.74,2.02,2.13,-0.82,-0.86,-0.87,17.2,1353.0
77,78,1.65,1.65,2.07,2.4,-0.71,-0.74,-0.8,17.6,1370.6
78,79,1.71,1.71,3.73,3.85,-0.86,-0.93,-0.94,17.5,1388.1
79,80,1.68,1.68,2.05,2.29,-0.69,-0.75,-0.78,17.5,1405.6
80,81,1.66,1.66,1.94,2.26,-0.67,-0.7,-0.81,17.2,1422.8
81,82,1.7,1.7,1.79,1.97,-0.66,-0.75,-0.78,17.5,1440.4
82,83,1.71,1.71,1.79,2.19,-0.59,-0.62,-0.69,17.7,1458.1
83,84,1.66,1.66,3.21,3.12,-0.82,-0.88,-0.86,17.7,1475.8
84,85,1.71,1.71,2.2,2.58,-0.66,-0.61,-0.78,17.7,1493.6
85,86,1.53,1.53,1.73,1.86,-0.56,-0.65,-0.76,17.5,1511.1
86,87,1.58,1.58,2.35,2.3,-0.64,-0.74,-0.79,17.6,1528.7
87,88,1.55,1.55,1.69,1.94,-0.58,-0.68,-0.77,17.5,1546.2
88,89,1.55,1.55,1.71,1.87,-0.54,-0.63,-0.76,17.6,1563.8
89,90,1.85,1.85,2.4,2.92,-0.8,-0.81,-0.86,17.3,1581.1
90,91,1.62,1.62,2.99,2.95,-0.45,-0.59,-0.68,17.5,1598.6
91,92,1.64,1.64,1.57,2.0,-0.54,-0.67,-0.78,17.6,1616.1
92,93,1.9,1.9,2.8,3.14,-0.95,-0.96,-0.98,17.5,1633.6
93,94,1.55,1.55,1.6,1.9,-0.59,-0.75,-0.79,17.5,1651.1
94,95,1.45,1.45,1.51,1.75,-0.6,-0.65,-0.78,17.5,1668.7
95,96,1.66,1.66,1.65,1.98,-0.53,-0.61,-0.72,17.4,1686.1
96,97,1.59,1.59,2.28,2.51,-0.69,-0.73,-0.81,17.5,1703.6
97,98,1.56,1.56,1.95,2.34,-0.69,-0.78,-0.83,17.6,1721.1
