Unnamed: 0,predicted_value,ground_truth
0,10.96889201,12.92
1,17.79057747,19.08
2,12.63568896,14.75
3,15.87476208,14.1
4,15.07912488,9.71
5,13.28180622,13.9
6,9.724981222,12.38
7,13.28894768,15.92
8,12.78986776,11.99
9,19.15295808,19.66
10,14.28796294,10.2
11,14.49830316,15.6
12,13.77565362,8.75
13,11.91886779,10.53
14,15.39205297,14.8
15,19.70577386,17.4
16,14.6438104,17.31
17,12.43309366,12.81
18,16.57778643,15.91
19,17.11627808,14.77
20,10.85683692,9.7201
21,9.869988329,8.2656
22,13.88716643,14
23,16.06376174,16.1
24,10.68052783,8.26
25,16.87958954,15.6
26,11.86044211,11.03
27,10.29683301,8.88
28,10.10091305,10.76
29,13.81497267,14.44
30,11.01331975,13.35
31,15.61259854,16.31
32,18.0148223,16.83
33,13.02253317,12.8
34,14.84024191,11.92
35,11.81209421,11.6
36,11.42199266,10
37,18.12537563,18.1547
38,13.46008684,13.78
39,14.13312747,14.18
40,9.425270374,10.73
41,10.56717028,9.3
