,Unnamed: 0,predicted_value,ground_truth
0,0,7.673271911369393,10.25
1,1,12.658807508569671,18.0
2,2,14.255759985369115,16.28
3,3,7.265550118810972,12.3833
4,4,9.928331950383802,10.84
5,5,18.967037942684808,17.2
6,6,15.269541923427395,15.91
7,7,13.754368257807137,14.75
8,8,13.365861546255223,11.0
9,9,11.395916026384393,14.9
10,10,12.676115421088221,8.75
11,11,12.750098860318035,9.3
12,12,4.112210137064532,8.2
13,13,14.404234127627705,13.3
14,14,10.321194319290738,15.75
15,15,14.682340161068353,12.81
16,16,10.546670389250686,12.3477
17,17,15.445426235345641,17.0
18,18,12.304178132001242,11.8
19,19,11.366677556106582,9.71
20,20,14.06540341934205,14.66
21,21,18.042719055756738,18.9
22,22,11.147475066699133,14.0
23,23,10.409473456148111,13.72
24,24,13.450162336816517,15.1
25,25,14.585332681210868,13.22
26,26,11.92866131709617,11.09
27,27,7.795099468344142,9.73
28,28,13.870943931633654,12.1
29,29,14.816594784891807,16.05
30,30,14.922148673913373,8.2
31,31,9.06452622901354,14.17
32,32,18.362626852644468,15.6
33,33,13.060426003476307,14.0
34,34,2.6071476908433167,8.3313
35,35,15.762819222657614,14.3
36,36,15.195067352462896,9.9165
37,37,10.44893158914594,12.25
38,38,17.46862728430083,17.2
39,39,16.332779393206806,17.83
40,40,22.586064016391582,16.83
41,41,7.9178304209184525,9.2081
