,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,6.02,3.94,2.58,2.74,-1.0,-0.99,-1.0,17.9,17.9
1,2,4.17,2.71,3.54,3.52,-1.0,-1.0,-1.0,17.7,35.6
2,3,3.92,2.81,4.71,4.43,-0.99,-0.99,-0.99,17.8,53.4
3,4,3.81,2.59,2.84,2.93,-0.96,-0.96,-0.95,17.2,70.6
4,5,3.7,2.82,6.37,6.1,-0.96,-0.95,-0.94,17.5,88.1
5,6,4.02,2.95,6.6,6.63,-0.59,-0.68,-0.61,17.7,105.8
6,7,3.66,2.67,2.78,2.94,-0.64,-0.68,-0.64,17.6,123.5
7,8,4.07,3.18,7.91,7.69,-0.99,-0.99,-0.99,17.5,141.0
8,9,3.69,2.68,5.65,5.35,-0.96,-0.96,-0.96,17.7,158.6
9,10,3.23,2.41,3.51,3.62,-0.17,-0.23,-0.14,17.5,176.1
10,11,3.39,2.46,18.24,18.16,0.17,0.06,0.25,17.5,193.7
11,12,3.46,2.67,3.83,3.38,-0.86,-0.85,-0.86,17.3,210.9
12,13,3.21,2.45,2.08,2.41,-0.75,-0.68,-0.68,17.7,228.6
13,14,3.25,2.68,4.78,4.47,-0.84,-0.88,-0.83,17.8,246.4
14,15,3.39,2.58,3.74,4.09,-0.02,-0.16,-0.06,17.4,263.8
15,16,2.88,2.29,3.55,3.15,-0.62,-0.62,-0.55,17.9,281.7
16,17,3.56,2.57,3.82,3.44,-0.88,-0.92,-0.91,17.7,299.3
17,18,3.38,2.47,12.95,13.43,0.26,0.02,0.12,17.7,317.1
18,19,3.19,2.65,10.07,10.61,0.36,0.2,0.28,17.4,334.5
19,20,3.24,2.46,2.31,2.4,-0.55,-0.56,-0.47,17.8,352.3
20,21,3.15,2.48,9.1,8.84,-1.0,-1.0,-1.0,17.7,370.0
21,22,3.0,2.42,4.59,5.65,0.0,-0.02,-0.05,17.4,387.5
22,23,3.32,2.41,7.2,7.03,-0.85,-0.87,-0.86,17.7,405.2
23,24,3.01,2.3,11.24,11.11,0.3,0.09,0.21,17.6,422.8
24,25,2.85,2.25,2.4,2.85,0.11,-0.08,-0.02,17.4,440.2
25,26,2.9,2.43,1.74,1.82,-0.4,-0.43,-0.42,17.8,458.0
26,27,2.79,2.13,2.77,2.45,-0.39,-0.52,-0.4,17.8,475.8
27,28,2.8,2.29,2.94,2.45,-0.66,-0.71,-0.75,17.8,493.7
28,29,3.04,2.47,3.24,2.85,-0.66,-0.68,-0.63,17.9,511.6
29,30,3.19,2.66,8.65,9.56,0.41,0.24,0.42,17.8,529.4
30,31,2.56,2.0,3.33,2.78,-0.64,-0.65,-0.68,17.9,547.2
31,32,3.13,2.35,2.34,2.13,-0.67,-0.73,-0.75,17.6,564.9
32,33,2.81,2.17,2.93,2.57,-0.62,-0.56,-0.56,17.6,582.5
33,34,2.98,2.41,4.03,3.47,-0.44,-0.55,-0.5,17.6,600.1
34,35,2.37,1.99,4.2,4.79,0.17,0.14,0.19,17.8,617.9
35,36,2.51,2.02,4.01,3.5,-0.66,-0.58,-0.68,17.6,635.5
36,37,3.01,2.41,2.46,2.34,-0.53,-0.52,-0.45,17.8,653.3
37,38,2.69,2.22,2.02,1.7,-0.23,-0.22,-0.39,17.7,671.0
38,39,2.92,2.5,2.2,2.32,-0.17,-0.2,-0.24,17.7,688.6
39,40,2.56,2.21,4.19,3.81,-0.23,-0.28,-0.29,17.4,706.0
40,41,2.84,2.41,1.96,2.02,0.07,-0.03,-0.04,17.5,723.5
41,42,2.8,2.35,2.26,2.01,-0.36,-0.43,-0.41,17.5,741.0
42,43,2.68,2.17,4.08,4.14,0.34,0.12,0.24,17.4,758.4
43,44,3.13,2.54,6.42,5.85,-0.88,-0.87,-0.83,17.6,776.0
44,45,2.85,2.44,3.81,4.0,-0.01,-0.23,-0.16,17.7,793.7
45,46,2.55,2.19,1.99,1.94,-0.07,-0.25,-0.18,17.9,811.6
46,47,2.28,1.95,2.9,2.6,-0.37,-0.43,-0.38,17.9,829.6
47,48,2.31,2.02,2.03,2.06,-0.03,-0.29,-0.02,17.9,847.4
48,49,2.54,2.11,3.75,3.51,-0.51,-0.51,-0.54,18.1,865.5
49,50,2.46,2.0,2.33,2.29,0.24,-0.06,-0.08,17.9,883.4
50,51,2.5,2.21,2.82,3.3,0.29,-0.02,0.08,17.8,901.2
51,52,2.38,2.18,6.25,5.85,-0.82,-0.82,-0.85,17.7,918.9
52,53,2.62,2.1,4.24,4.68,0.43,0.06,0.24,17.9,936.8
53,54,2.7,2.47,3.03,2.69,-0.15,-0.38,-0.32,17.6,954.3
54,55,2.12,2.09,2.31,2.8,0.38,-0.05,0.13,17.4,971.8
55,56,2.27,2.11,2.81,2.85,0.19,0.03,0.06,17.4,989.2
56,57,2.46,2.2,2.92,2.58,0.28,-0.01,0.07,17.6,1006.8
57,58,3.24,3.0,3.82,3.49,0.1,-0.36,-0.01,17.4,1024.2
58,59,2.37,2.51,3.81,3.99,0.56,0.2,0.31,17.5,1041.7
59,60,2.64,2.41,2.31,2.87,0.38,-0.06,0.22,17.5,1059.2
60,61,2.68,2.3,2.39,2.35,0.23,-0.2,-0.05,17.5,1076.8
61,62,2.47,2.23,6.46,6.94,0.58,0.16,0.34,17.5,1094.3
62,63,2.48,2.62,2.85,3.65,0.57,0.13,0.36,17.3,1111.6
63,64,2.07,2.45,2.14,2.49,0.28,-0.18,0.01,17.7,1129.3
64,65,2.29,2.46,3.1,3.77,0.64,0.25,0.26,17.6,1146.9
65,66,2.28,2.64,2.46,2.64,0.29,-0.29,-0.04,17.5,1164.4
66,67,2.7,2.78,3.48,3.36,0.28,0.02,-0.11,17.6,1182.0
67,68,2.92,2.87,2.92,3.62,0.66,0.23,0.23,17.8,1199.8
68,69,2.55,2.63,4.38,5.18,0.65,0.23,0.37,17.6,1217.4
