,Unnamed: 0,predicted_value,ground_truth
0,0,72.41121164275137,76.0
1,1,32.74897432082635,25.0
2,2,73.49407488477308,85.0
3,3,14.712547281740388,24.0
4,4,69.97718492279738,62.0
5,5,71.218030649914,74.0
6,6,39.07901033515289,37.0
7,7,75.40213465287688,69.0
8,8,28.529633964462555,36.0
9,9,41.24983274835067,49.0
10,10,44.66820720088266,48.0
11,11,28.048561323737633,40.0
12,12,72.57205461959474,62.0
13,13,31.63342051965332,45.0
14,14,33.777720444677925,51.0
15,15,40.368230493666914,48.0
16,16,70.19195402898399,77.0
17,17,50.02988645622966,55.0
18,18,41.12445292414015,52.0
19,19,64.09897312958397,60.0
20,20,37.03145384710415,32.0
21,21,63.41457443483014,59.0
22,22,33.08577226544225,34.0
23,23,51.69156412663829,44.0
24,24,53.02923793350632,60.0
25,25,27.29961817196271,26.0
26,26,33.85323265211702,40.0
27,27,53.83517931331187,57.0
28,28,60.78955563247592,57.0
29,29,54.14076469185742,47.0
30,30,75.1364648539915,79.0
31,31,41.102489209045636,28.0
32,32,67.66116108361456,62.0
33,33,74.13961711972507,73.0
34,34,53.6261724268462,68.0
35,35,79.73300705833653,76.0
36,36,81.0304614396834,79.0
37,37,72.51425337036008,67.0
38,38,15.312770906525504,20.0
39,39,42.24208155847823,43.0
40,40,79.3217299822089,72.0
41,41,42.43663297810723,55.0
42,42,43.01834262348387,40.0
43,43,54.05975721498954,56.0
44,44,80.8493638807136,83.0
45,45,52.995445933108925,56.0
46,46,56.187926180286865,44.0
47,47,39.393019840194434,30.0
48,48,93.31816602503638,78.0
49,49,32.17258957416359,34.0
50,50,66.8651294195325,69.0
51,51,80.10196274668321,69.0
52,52,24.176126127522856,28.0
53,53,41.46327903987818,41.0
54,54,42.65851858842377,50.0
55,55,78.35101841780667,66.0
56,56,42.424389075073066,34.0
57,57,51.34559546283939,52.0
58,58,64.02894751026336,69.0
59,59,40.02177459132665,36.0
60,60,82.15077802472749,85.0
61,61,20.12406268410892,19.0
62,62,23.026649021133938,33.0
63,63,73.50895248032379,66.0
64,64,81.87322134169459,81.0
65,65,78.56483366502252,80.0
