,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,20.93,20.93,36.21,37.56,-0.98,-0.98,-0.99,20.2,20.2
1,2,11.59,11.59,39.38,42.08,-0.95,-0.93,-0.98,19.4,39.6
2,3,10.34,10.34,31.51,29.57,-0.55,-0.48,-0.69,20.2,59.7
3,4,10.14,10.14,21.87,21.2,-0.96,-0.97,-0.97,20.1,79.8
4,5,8.21,8.21,12.9,12.06,-0.5,-0.55,-0.72,20.3,100.1
5,6,8.29,8.29,12.58,12.61,-0.88,-0.83,-0.9,19.4,119.5
6,7,8.82,8.82,7.45,6.71,-0.5,-0.59,-0.67,20.2,139.7
7,8,7.18,7.18,29.86,29.4,-0.92,-0.89,-0.93,20.0,159.7
8,9,6.73,6.73,6.82,5.95,-0.4,-0.49,-0.55,20.0,179.7
9,10,7.59,7.59,11.22,13.21,-0.65,-0.61,-0.77,19.2,198.9
10,11,7.48,7.48,8.63,7.67,-0.58,-0.65,-0.73,20.1,219.0
11,12,7.39,7.39,25.72,24.79,-0.64,-0.62,-0.74,20.1,239.1
12,13,8.03,8.03,9.11,10.29,-0.68,-0.7,-0.79,20.1,259.2
13,14,10.17,10.17,10.4,10.88,-0.81,-0.83,-0.88,19.8,279.0
14,15,7.85,7.85,23.41,22.74,-0.97,-0.97,-0.98,20.0,298.9
15,16,6.86,6.86,7.7,7.05,-0.7,-0.7,-0.77,20.1,319.0
16,17,7.65,7.65,7.81,8.06,-0.79,-0.78,-0.86,20.2,339.2
17,18,7.33,7.33,11.88,10.64,-0.45,-0.51,-0.62,19.4,358.6
18,19,7.57,7.57,32.6,33.39,-0.97,-0.97,-0.98,19.9,378.5
19,20,7.11,7.11,6.93,7.54,-0.71,-0.76,-0.82,20.0,398.6
20,21,7.16,7.16,8.63,8.31,-0.87,-0.89,-0.88,20.1,418.7
21,22,5.82,5.82,22.48,22.49,-0.75,-0.79,-0.88,19.3,438.0
22,23,6.14,6.14,22.42,22.03,-0.96,-0.95,-0.96,20.0,458.0
23,24,7.19,7.19,38.34,37.8,-0.76,-0.8,-0.84,20.0,478.1
24,25,7.02,7.02,20.9,20.56,-0.82,-0.87,-0.85,20.0,498.0
25,26,6.86,6.86,23.88,24.03,-0.72,-0.73,-0.82,19.6,517.6
26,27,7.37,7.37,35.22,36.4,-0.96,-0.97,-0.98,19.9,537.5
27,28,6.43,6.43,15.79,14.94,-0.63,-0.63,-0.63,20.0,557.5
28,29,6.27,6.27,12.18,11.09,-0.38,-0.55,-0.61,19.9,577.4
29,30,5.84,5.84,30.38,29.56,-0.56,-0.54,-0.7,19.7,597.2
30,31,7.78,7.78,13.83,15.22,-0.61,-0.67,-0.74,19.9,617.1
31,32,5.96,5.96,23.47,23.48,-0.81,-0.8,-0.87,20.0,637.1
32,33,6.05,6.05,9.28,9.23,-0.91,-0.9,-0.91,19.8,656.9
33,34,6.17,6.17,22.62,22.06,-0.7,-0.68,-0.74,19.6,676.5
34,35,5.17,5.17,26.97,26.12,-0.95,-0.94,-0.95,20.0,696.5
35,36,5.96,5.96,16.28,15.3,-0.61,-0.66,-0.72,20.1,716.6
36,37,5.34,5.34,5.4,5.39,-0.33,-0.47,-0.47,19.6,736.2
37,38,5.83,5.83,30.47,30.13,-0.96,-0.96,-0.96,19.8,755.9
38,39,6.6,6.6,34.78,35.19,-0.96,-0.98,-0.96,19.9,775.8
39,40,8.62,8.62,6.43,6.37,-0.3,-0.37,-0.5,19.9,795.8
40,41,5.61,5.61,8.51,8.69,-0.77,-0.82,-0.8,19.5,815.3
41,42,4.93,4.93,28.37,27.93,-0.95,-0.94,-0.93,19.6,834.9
42,43,5.17,5.17,6.83,7.22,-0.8,-0.79,-0.81,19.9,854.8
43,44,5.81,5.81,17.74,16.92,-0.79,-0.81,-0.84,20.0,874.8
44,45,6.1,6.1,11.4,10.79,0.0,-0.22,-0.29,19.3,894.1
45,46,5.81,5.81,10.92,10.61,-0.71,-0.7,-0.76,19.6,913.7
46,47,5.99,5.99,16.32,17.05,-0.4,-0.48,-0.51,20.0,933.7
47,48,5.54,5.54,15.61,15.05,-0.97,-0.97,-0.96,19.9,953.6
48,49,6.82,6.82,11.74,11.22,0.22,-0.2,-0.15,19.2,972.9
49,50,5.63,5.63,45.27,44.68,-0.98,-0.98,-0.98,19.9,992.7
50,51,4.81,4.81,8.14,7.97,-0.2,-0.4,-0.43,20.0,1012.7
51,52,5.02,5.02,15.09,14.63,-0.2,-0.51,-0.51,20.1,1032.8
52,53,5.21,5.21,11.91,11.65,-0.75,-0.8,-0.82,19.0,1051.8
53,54,4.26,4.26,5.39,5.07,0.19,-0.29,-0.24,19.7,1071.5
54,55,4.81,4.81,6.2,5.89,-0.42,-0.58,-0.55,19.9,1091.4
55,56,4.47,4.47,9.81,10.55,-0.05,-0.33,-0.26,20.0,1111.5
56,57,4.43,4.43,7.38,6.92,0.24,-0.26,-0.17,18.9,1130.4
57,58,5.01,5.01,10.29,10.01,-0.75,-0.8,-0.77,19.8,1150.1
58,59,5.02,5.02,15.47,15.37,-0.32,-0.52,-0.49,20.0,1170.1
59,60,4.66,4.66,6.56,6.36,-0.65,-0.69,-0.66,20.1,1190.3
60,61,4.95,4.95,15.0,15.58,-0.15,-0.41,-0.28,18.9,1209.2
61,62,5.81,5.81,21.23,21.38,-0.74,-0.78,-0.8,19.7,1228.9
62,63,4.36,4.36,6.4,6.06,-0.58,-0.65,-0.59,19.9,1248.9
63,64,4.74,4.74,13.21,13.08,-0.74,-0.79,-0.81,20.1,1268.9
64,65,4.12,4.12,7.55,7.46,0.24,-0.23,-0.14,19.8,1288.8
65,66,4.6,4.6,14.56,14.34,-0.66,-0.71,-0.7,19.7,1308.5
66,67,4.97,4.97,17.21,17.47,-0.82,-0.86,-0.83,20.3,1328.8
67,68,4.1,4.1,10.67,10.31,-0.8,-0.79,-0.78,20.1,1348.9
68,69,4.32,4.32,9.17,9.33,-0.16,-0.4,-0.31,20.0,1368.9
69,70,4.77,4.77,12.48,12.9,-0.59,-0.64,-0.63,20.2,1389.0
70,71,5.31,5.31,6.86,6.09,-0.56,-0.63,-0.62,19.3,1408.3
71,72,4.79,4.79,14.11,14.55,-0.61,-0.65,-0.59,20.0,1428.3
72,73,4.36,4.36,5.84,6.22,-0.65,-0.68,-0.63,20.1,1448.4
73,74,6.36,6.36,11.54,11.86,-0.47,-0.66,-0.54,20.0,1468.3
74,75,5.39,5.39,6.59,6.49,-0.68,-0.73,-0.73,19.4,1487.8
75,76,5.09,5.09,6.05,5.17,-0.12,-0.38,-0.37,19.7,1507.4
76,77,4.18,4.18,5.77,5.82,-0.04,-0.43,-0.33,20.0,1527.4
77,78,4.29,4.29,6.2,5.55,0.1,-0.3,-0.2,20.0,1547.4
78,79,4.2,4.2,17.86,18.77,-0.19,-0.39,-0.37,19.7,1567.0
79,80,4.81,4.81,7.26,6.88,-0.76,-0.78,-0.73,19.6,1586.6
80,81,4.83,4.83,8.27,8.89,0.25,-0.14,-0.05,20.0,1606.6
81,82,4.12,4.12,6.17,6.2,-0.63,-0.69,-0.67,20.0,1626.7
82,83,4.62,4.62,11.81,12.33,-0.62,-0.66,-0.64,19.7,1646.4
83,84,4.83,4.83,5.84,5.93,-0.62,-0.67,-0.69,19.7,1666.1
84,85,4.24,4.24,16.02,16.63,-0.25,-0.4,-0.36,20.1,1686.2
85,86,5.3,5.3,21.57,21.6,-0.93,-0.92,-0.91,20.0,1706.2
