,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,28.74,21.92,22.53,21.53,-0.94,-0.95,-0.94,17.0,17.0
1,2,15.59,13.41,47.53,46.6,-0.99,-0.99,-1.0,16.6,33.5
2,3,17.0,14.03,89.82,89.47,-0.74,-0.67,-0.66,16.5,50.0
3,4,13.21,12.61,37.62,38.13,-0.96,-0.95,-0.95,16.6,66.6
4,5,11.03,10.1,10.71,11.67,0.21,0.37,0.18,16.6,83.2
5,6,10.31,10.24,15.25,14.52,0.08,0.05,0.06,16.5,99.7
6,7,13.11,12.97,31.53,31.99,-0.58,-0.51,-0.51,16.5,116.2
7,8,9.82,10.7,65.47,66.01,-0.86,-0.87,-0.82,16.7,132.8
8,9,10.14,10.14,9.42,9.11,-0.05,-0.08,-0.19,16.5,149.3
9,10,8.97,9.42,26.45,27.13,-0.8,-0.86,-0.86,16.6,165.9
10,11,8.06,8.24,13.23,13.61,-0.63,-0.67,-0.64,16.6,182.6
11,12,9.51,10.22,37.08,37.21,-0.01,-0.12,-0.11,16.6,199.2
12,13,9.46,9.81,11.53,12.37,0.53,0.61,0.46,16.5,215.7
13,14,9.76,10.19,5.75,7.65,0.3,0.19,0.1,16.6,232.3
14,15,9.15,9.08,7.94,8.32,0.31,0.21,0.24,16.6,248.8
15,16,10.36,11.13,9.68,10.21,0.5,0.45,0.48,16.5,265.3
16,17,16.69,16.01,11.16,11.95,-0.04,-0.04,-0.03,16.5,281.8
17,18,10.29,9.3,10.81,11.11,-0.07,-0.1,-0.13,16.6,298.4
18,19,8.81,8.77,22.64,21.9,-0.59,-0.6,-0.62,16.7,315.0
19,20,10.1,9.87,10.71,10.29,0.58,0.61,0.53,16.3,331.4
20,21,10.53,10.88,14.01,14.38,0.37,0.44,0.32,16.6,348.0
21,22,10.02,10.21,4.7,6.07,-0.25,-0.21,-0.3,16.6,364.6
22,23,7.96,8.25,39.1,38.57,-0.8,-0.81,-0.83,16.6,381.2
23,24,7.8,7.79,27.75,27.93,-0.46,-0.44,-0.51,16.5,397.7
24,25,7.28,7.39,7.31,8.17,0.37,0.47,0.22,16.5,414.2
25,26,8.48,8.43,9.08,10.13,-0.89,-0.92,-0.89,16.5,430.7
26,27,7.31,8.18,23.03,23.26,-0.95,-0.97,-0.95,16.5,447.2
27,28,7.11,7.27,15.29,16.46,-0.97,-0.98,-0.97,16.7,463.9
28,29,7.41,7.98,43.95,43.76,-0.83,-0.8,-0.85,16.6,480.5
29,30,6.9,7.33,29.79,30.18,-0.32,-0.17,-0.31,16.6,497.1
30,31,7.46,7.48,24.82,24.88,-0.71,-0.67,-0.76,16.7,513.9
31,32,8.11,8.66,13.46,14.7,0.14,0.24,0.07,16.5,530.3
32,33,7.31,7.84,3.67,5.46,-0.43,-0.53,-0.44,16.4,546.7
33,34,8.21,8.45,7.56,8.47,0.09,0.06,-0.15,16.6,563.3
34,35,8.0,7.92,23.5,23.25,-0.88,-0.94,-0.86,16.4,579.7
35,36,6.1,6.91,15.37,17.19,0.12,0.16,0.02,16.6,596.3
36,37,8.54,9.32,7.57,7.78,0.31,0.27,0.1,16.6,612.9
37,38,6.92,7.22,7.24,8.28,-0.04,-0.21,-0.14,16.6,629.5
38,39,7.58,8.19,13.35,13.76,-0.5,-0.44,-0.58,16.7,646.2
39,40,6.36,6.92,9.34,9.73,-0.55,-0.51,-0.52,16.7,662.9
40,41,7.55,7.5,20.69,21.65,-0.23,-0.16,-0.3,16.7,679.6
41,42,7.32,8.26,20.18,20.09,-0.73,-0.77,-0.74,16.5,696.1
42,43,6.09,6.28,4.06,5.03,-0.44,-0.47,-0.37,16.5,712.6
43,44,8.08,8.36,39.08,38.23,-0.99,-0.99,-0.99,16.6,729.2
44,45,6.8,7.09,11.76,12.14,-0.95,-0.96,-0.93,16.5,745.8
45,46,6.91,7.36,30.87,30.54,-0.84,-0.82,-0.85,16.7,762.4
46,47,6.87,6.74,36.47,36.34,-0.88,-0.85,-0.85,16.4,778.9
47,48,6.41,7.08,11.74,11.95,-0.84,-0.89,-0.86,16.6,795.4
48,49,5.61,6.33,27.65,28.01,-0.79,-0.75,-0.82,16.7,812.1
49,50,6.33,6.47,4.05,4.85,0.22,0.02,-0.0,16.6,828.6
50,51,5.1,5.92,9.14,10.88,-0.07,0.03,-0.19,16.5,845.1
51,52,6.19,6.89,24.67,24.0,-0.86,-0.88,-0.88,16.7,861.8
52,53,5.9,6.15,7.88,8.25,0.34,0.24,0.15,16.5,878.3
53,54,5.22,5.84,4.9,5.31,0.28,0.14,0.07,16.5,894.9
54,55,5.9,6.04,17.37,16.01,-0.39,-0.41,-0.46,16.5,911.4
55,56,5.88,5.97,8.03,7.42,0.42,0.21,0.12,16.4,927.8
56,57,4.77,5.37,5.05,5.38,0.31,0.15,0.03,16.5,944.3
57,58,6.95,7.83,12.48,13.93,0.16,0.11,-0.06,16.6,960.9
58,59,5.06,5.64,9.89,12.51,0.0,0.07,-0.19,16.5,977.3
59,60,5.61,6.1,12.07,10.09,-0.07,-0.25,-0.19,16.6,993.9
60,61,5.51,5.99,20.76,19.29,-0.32,-0.35,-0.25,16.6,1010.6
61,62,4.98,5.55,7.36,7.52,0.48,0.29,0.22,16.5,1027.0
62,63,4.41,4.99,8.22,7.66,0.14,-0.07,-0.0,16.6,1043.6
63,64,4.78,4.98,6.8,6.46,0.16,-0.08,-0.09,16.7,1060.3
64,65,5.94,6.53,7.17,9.24,0.18,0.14,-0.07,16.5,1076.8
65,66,5.8,6.59,20.05,18.07,-0.15,-0.29,-0.19,16.4,1093.2
66,67,5.68,6.12,5.62,5.93,0.48,0.37,0.33,16.6,1109.8
67,68,5.8,5.7,11.48,12.73,0.06,0.17,-0.07,16.5,1126.3
68,69,6.29,6.97,26.92,28.42,-0.47,-0.3,-0.51,16.5,1142.8
69,70,4.92,5.5,4.67,5.01,0.22,0.07,0.01,16.5,1159.3
70,71,4.86,5.54,6.48,7.52,0.31,0.17,0.06,16.5,1175.8
71,72,7.23,7.54,14.83,15.13,0.2,0.26,0.08,16.7,1192.5
72,73,6.63,6.9,10.51,9.94,0.49,0.44,0.21,16.5,1209.0
73,74,5.98,6.85,6.51,7.5,0.27,0.23,0.08,16.5,1225.5
74,75,5.65,5.94,4.88,4.74,-0.3,-0.39,-0.3,16.6,1242.2
75,76,6.45,6.74,20.74,22.33,0.07,0.11,-0.03,16.6,1258.7
