,Unnamed: 0,predicted_value,ground_truth
0,0,76.48354791066878,72.0
1,1,18.12086832354526,28.0
2,2,21.897790040659178,25.0
3,3,45.03430056694404,46.0
4,4,60.5655516294854,55.0
5,5,66.83549244101319,72.0
6,6,26.82597842827113,33.0
7,7,76.52945888916726,85.0
8,8,43.28582867183234,37.0
9,9,53.80618284956402,50.0
10,10,79.78127661535711,70.0
11,11,61.841857029297124,69.0
12,12,25.451179003224766,31.0
13,13,49.72644053246802,56.0
14,14,34.42096816589569,48.0
15,15,73.04610652113055,78.0
16,16,69.97394366172804,80.0
17,17,74.87675600227726,75.0
18,18,62.39696211654727,65.0
19,19,77.43702622567051,68.0
20,20,33.044032192426066,40.0
21,21,33.42954571103267,41.0
22,22,40.711796393776396,45.0
23,23,34.95750676413288,30.0
24,24,46.90475900011086,51.0
25,25,77.94658637713258,81.0
26,26,59.75876570224299,58.0
27,27,45.71146305570791,52.0
28,28,45.410544104263444,54.0
29,29,22.763293109600625,37.0
30,30,56.88557951796535,54.0
31,31,74.96310225327072,77.0
32,32,69.17841130151648,64.0
33,33,58.899756676630574,60.0
34,34,58.14431078004328,62.0
35,35,44.90330673819681,47.0
36,36,79.27232590166273,79.0
37,37,33.523960755651025,35.0
38,38,14.853929817363953,19.0
39,39,19.18563127730195,26.0
40,40,29.288824885796245,31.0
41,41,73.65161987894201,68.0
42,42,74.72241127065975,69.0
43,43,28.385279857329962,18.0
44,44,32.54209328126577,34.0
45,45,66.99562313786141,62.0
46,46,25.168471755683086,35.0
47,47,78.26566398413485,76.0
48,48,53.564456690195044,52.0
49,49,67.70373811403333,76.0
50,50,30.371672017316023,36.0
51,51,85.50240505472354,83.0
52,52,36.12317639044997,40.0
53,53,61.293749981135896,58.0
54,54,81.61625125787324,86.0
55,55,35.42484898758233,42.0
56,56,43.63127167942126,39.0
57,57,57.96851162173129,60.0
58,58,49.64274860744253,47.0
59,59,50.43676493944447,44.0
60,60,21.64611623394933,23.0
61,61,69.24870902462769,66.0
62,62,76.10118111488357,79.0
63,63,72.37984329856816,70.0
64,64,55.05015379831826,61.0
65,65,25.203001457551927,28.0
