,Unnamed: 0,predicted_value,ground_truth
0,0,70.91787479121426,65.0
1,1,83.18720166260756,80.0
2,2,51.28043096761146,44.0
3,3,19.63075977814909,24.0
4,4,32.10428981130834,34.0
5,5,30.037553478359342,29.0
6,6,41.781577308892416,37.0
7,7,84.93287367521853,83.0
8,8,41.91372873265223,47.0
9,9,83.96837366052767,88.0
10,10,30.908839984922754,18.0
11,11,71.26542391973052,78.0
12,12,47.14641306745095,55.0
13,13,38.112986891756634,38.0
14,14,46.799382234745494,25.0
15,15,64.90564769605456,63.0
16,16,32.67002962325382,40.0
17,17,19.848285620590225,33.0
18,18,52.90615575262301,54.0
19,19,66.41804780243382,63.0
20,20,46.64061023301087,37.0
21,21,79.60934426096624,68.0
22,22,30.9297840923543,32.0
23,23,42.019568831862806,51.0
24,24,25.664829647489217,35.0
25,25,71.28964051027518,79.0
26,26,42.15075909166579,45.0
27,27,25.94707134876819,31.0
28,28,48.78275052489616,47.0
29,29,61.62526407382425,68.0
30,30,54.10314861352225,75.0
31,31,76.41277370475643,71.0
32,32,86.8267804447952,73.0
33,33,56.547252785948736,55.0
34,34,57.056948765429205,61.0
35,35,77.80454342440105,76.0
36,36,57.60119277045222,57.0
37,37,66.8259972498248,77.0
38,38,42.31637130505733,42.0
39,39,20.4528232682192,24.0
40,40,43.12482872194031,53.0
41,41,40.353053843279675,41.0
42,42,68.5591655106924,65.0
43,43,75.14759315736362,69.0
44,44,31.692947196540615,50.0
45,45,73.47258178111275,70.0
46,46,23.819342051006963,28.0
47,47,79.62422506168807,79.0
48,48,68.5437825772308,76.0
49,49,27.06903523397888,27.0
50,50,21.597496268217142,26.0
51,51,84.431219362341,83.0
52,52,79.36520215070257,69.0
53,53,36.98714279196236,48.0
54,54,64.65725793072605,64.0
55,55,48.09411749627282,46.0
56,56,64.80475780672927,57.0
57,57,52.605593749108536,55.0
58,58,59.2466181839646,59.0
59,59,51.92254667783073,52.0
60,60,69.41976714977154,72.0
61,61,45.4179762762408,35.0
62,62,44.71179985032915,40.0
63,63,85.40223201711603,82.0
64,64,52.668866784473074,60.0
65,65,87.00921841512162,84.0
