,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,32.96,32.96,96.1,96.89,-0.91,-0.92,-0.92,27.3,27.3
1,2,17.7,17.7,17.36,17.37,-0.95,-0.96,-0.96,26.7,54.0
2,3,14.44,14.44,27.12,27.74,-1.0,-1.0,-1.0,26.7,80.7
3,4,15.48,15.48,11.12,10.89,-0.75,-0.79,-0.8,26.7,107.3
4,5,12.42,12.42,17.72,17.48,-0.76,-0.79,-0.82,26.7,134.0
5,6,12.62,12.62,11.81,11.58,-0.97,-0.97,-0.97,26.7,160.7
6,7,12.25,12.25,20.03,20.57,-0.96,-0.96,-0.96,26.7,187.4
7,8,10.47,10.47,22.27,22.76,-1.0,-1.0,-1.0,26.7,214.1
8,9,10.96,10.96,13.26,13.11,-0.87,-0.88,-0.89,26.7,240.8
9,10,10.12,10.12,12.99,12.78,-0.98,-0.98,-0.98,26.5,267.3
10,11,10.65,10.65,38.3,39.14,-0.99,-0.99,-0.99,26.7,294.0
11,12,11.19,11.19,11.55,10.87,-0.84,-0.87,-0.86,26.7,320.6
12,13,9.39,9.39,28.43,29.14,-0.99,-0.99,-0.99,26.6,347.3
13,14,9.36,9.36,23.39,23.91,-1.0,-1.0,-1.0,26.6,373.9
14,15,10.15,10.15,40.91,43.93,0.27,0.27,0.44,26.7,400.5
15,16,9.67,9.67,35.47,36.05,-1.0,-1.0,-1.0,26.6,427.2
16,17,9.6,9.6,8.96,7.93,-0.89,-0.9,-0.88,26.6,453.8
17,18,10.49,10.49,31.96,31.21,-1.0,-1.0,-1.0,26.7,480.5
18,19,10.5,10.5,47.9,47.86,-0.96,-0.96,-0.96,26.6,507.1
19,20,8.26,8.26,31.91,31.75,-0.69,-0.72,-0.72,26.8,533.9
20,21,9.3,9.3,19.2,19.51,-1.0,-1.0,-1.0,26.7,560.5
21,22,9.03,9.03,19.08,19.33,-1.0,-1.0,-1.0,26.6,587.2
22,23,9.13,9.13,12.65,12.79,-0.76,-0.8,-0.73,26.5,613.7
23,24,8.71,8.71,18.12,18.66,-0.98,-0.98,-0.98,26.7,640.4
24,25,7.95,7.95,19.93,19.93,-1.0,-1.0,-1.0,26.6,667.0
25,26,10.64,10.64,16.47,16.37,-0.68,-0.73,-0.73,26.7,693.7
26,27,13.97,13.97,70.37,68.36,-0.98,-0.99,-0.97,26.7,720.4
27,28,10.99,10.99,35.16,35.67,-0.98,-0.98,-0.97,26.5,746.9
28,29,9.15,9.15,18.23,18.37,-0.99,-0.99,-0.99,26.6,773.5
29,30,8.79,8.79,26.12,26.55,-1.0,-0.99,-1.0,26.7,800.2
30,31,9.53,9.53,31.24,30.62,-0.97,-0.98,-0.98,26.7,826.9
31,32,8.84,8.84,23.08,23.37,-1.0,-1.0,-1.0,26.6,853.5
32,33,8.58,8.58,20.56,20.84,-1.0,-1.0,-1.0,26.6,880.1
33,34,8.28,8.28,14.46,14.25,-0.42,-0.49,-0.47,26.7,906.8
34,35,8.82,8.82,27.81,28.14,-0.96,-0.96,-0.96,26.7,933.5
35,36,8.0,8.0,8.74,8.04,-0.62,-0.68,-0.63,26.6,960.1
36,37,8.05,8.05,18.31,18.22,-1.0,-1.0,-1.0,26.7,986.8
37,38,8.64,8.64,10.67,10.55,-0.45,-0.53,-0.55,26.7,1013.6
38,39,7.71,7.71,17.44,17.8,-0.71,-0.78,-0.68,26.6,1040.2
39,40,9.91,9.91,15.53,14.4,-0.79,-0.82,-0.79,26.7,1066.9
40,41,8.2,8.2,24.67,24.79,-0.93,-0.93,-0.94,26.6,1093.6
41,42,8.16,8.16,13.17,12.71,-0.96,-0.96,-0.97,26.6,1120.1
42,43,7.7,7.7,15.08,14.48,-0.75,-0.78,-0.75,26.5,1146.6
43,44,7.95,7.95,19.69,19.69,-0.92,-0.94,-0.92,26.6,1173.3
44,45,7.85,7.85,16.48,15.5,-0.31,-0.42,-0.42,26.6,1199.9
