,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,47.34,31.68,84.1,84.13,-0.99,-0.99,-0.99,27.0,27.0
1,2,23.68,16.52,12.53,12.53,-0.68,-0.76,-0.72,26.6,53.5
2,3,18.41,14.59,56.74,57.76,-0.95,-0.97,-0.96,26.6,80.1
3,4,17.8,14.32,22.8,20.75,-0.88,-0.92,-0.87,26.6,106.7
4,5,16.47,15.5,22.32,26.0,-0.09,-0.21,-0.09,26.6,133.3
5,6,15.37,13.06,86.08,90.31,-0.19,-0.28,-0.05,26.5,159.8
6,7,14.58,13.7,22.71,21.45,-0.94,-0.95,-0.95,26.6,186.4
7,8,12.3,11.24,50.51,52.03,-0.93,-0.96,-0.96,26.6,213.0
8,9,13.57,12.27,15.48,18.31,-0.39,-0.49,-0.41,26.7,239.7
9,10,13.1,11.78,29.84,28.15,-0.85,-0.91,-0.83,26.5,266.2
10,11,14.6,13.13,20.36,22.44,-0.78,-0.82,-0.8,26.6,292.9
11,12,14.45,13.35,19.2,17.07,-0.84,-0.88,-0.8,26.5,319.3
12,13,12.76,12.04,39.41,42.47,-0.38,-0.44,-0.28,26.5,345.9
13,14,11.44,11.04,58.2,58.28,-1.0,-1.0,-1.0,26.5,372.4
14,15,11.39,11.51,15.39,12.37,-0.26,-0.45,-0.19,26.5,398.8
15,16,11.75,11.05,39.52,36.35,-0.43,-0.54,-0.23,26.5,425.4
16,17,11.32,10.73,20.79,21.33,-0.98,-0.99,-0.99,26.5,451.8
17,18,11.55,11.04,78.1,79.12,-0.97,-0.98,-0.98,26.5,478.4
18,19,12.78,12.48,31.5,31.72,-1.0,-1.0,-1.0,26.4,504.8
19,20,11.56,11.03,7.86,5.98,-0.33,-0.37,-0.2,26.5,531.3
20,21,12.3,12.13,23.52,24.59,-0.93,-0.94,-0.94,26.4,557.7
21,22,10.46,10.15,42.57,42.93,-0.99,-0.99,-1.0,26.7,584.4
22,23,11.51,10.27,21.8,24.0,-0.77,-0.81,-0.74,26.4,610.7
23,24,11.26,10.72,18.58,20.67,-0.82,-0.83,-0.81,26.6,637.3
24,25,13.57,12.46,45.02,46.21,-0.87,-0.91,-0.9,26.5,663.8
25,26,12.97,12.05,7.02,6.45,-0.2,-0.25,-0.16,26.5,690.3
26,27,10.59,10.35,8.16,6.81,0.02,-0.05,0.09,26.6,716.9
27,28,10.2,10.36,67.04,68.15,-0.97,-0.96,-0.97,26.4,743.3
28,29,9.77,10.01,21.46,23.47,-0.64,-0.59,-0.6,26.5,769.8
29,30,9.83,9.47,27.66,25.02,-0.51,-0.62,-0.38,26.5,796.4
30,31,10.78,11.03,72.72,74.31,-0.94,-0.94,-0.93,26.5,822.9
31,32,9.56,9.82,32.05,32.92,-0.98,-0.98,-0.98,26.5,849.4
32,33,9.38,8.91,9.32,7.65,-0.04,-0.16,0.1,26.5,875.9
33,34,8.48,9.17,37.57,33.75,0.45,0.37,0.49,26.7,902.6
34,35,9.34,9.27,44.39,43.01,-0.94,-0.96,-0.93,26.5,929.0
35,36,9.49,9.12,28.64,28.02,-0.99,-0.99,-0.99,26.5,955.5
36,37,8.73,8.84,68.81,67.27,-0.93,-0.94,-0.89,26.6,982.0
37,38,10.02,9.37,15.2,13.57,0.22,0.13,0.24,26.4,1008.5
38,39,9.23,9.41,24.7,26.76,-0.48,-0.42,-0.49,26.5,1034.9
