,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,16.49,16.49,235.67,240.04,-0.23,-0.31,-0.42,27.9,27.9
1,2,11.09,11.09,34.57,34.94,-0.7,-0.7,-0.71,27.2,55.1
2,3,9.84,9.84,18.96,18.62,-0.99,-0.99,-0.99,27.1,82.3
3,4,9.06,9.06,28.75,28.33,-0.99,-0.99,-0.99,27.1,109.3
4,5,10.11,10.11,7.88,8.04,-0.81,-0.78,-0.84,27.5,136.9
5,6,10.96,10.96,15.76,15.83,-0.61,-0.59,-0.63,27.3,164.2
6,7,10.22,10.22,16.54,17.03,-0.71,-0.7,-0.77,27.0,191.2
7,8,8.84,8.84,22.35,21.69,-0.99,-0.99,-0.99,27.7,218.9
8,9,9.34,9.34,42.1,41.2,-1.0,-1.0,-1.0,27.6,246.5
9,10,8.61,8.61,10.73,10.08,-0.87,-0.86,-0.88,27.0,273.5
10,11,9.36,9.36,23.4,22.78,-0.18,-0.16,-0.22,27.1,300.6
11,12,8.33,8.33,17.14,16.5,-0.98,-0.98,-0.98,27.3,327.9
12,13,8.11,8.11,35.49,34.83,-0.92,-0.93,-0.94,27.4,355.3
13,14,8.46,8.46,15.28,14.52,-0.97,-0.97,-0.98,27.1,382.4
14,15,8.26,8.26,14.92,15.38,-0.99,-0.99,-0.99,27.0,409.4
15,16,7.43,7.43,25.09,25.04,-0.35,-0.36,-0.43,27.2,436.6
16,17,9.04,9.04,55.34,55.48,0.66,0.66,0.7,27.5,464.1
17,18,8.99,8.99,46.75,47.28,-0.48,-0.48,-0.51,27.7,491.8
18,19,8.46,8.46,30.69,30.1,-0.98,-0.98,-0.98,27.7,519.5
19,20,8.41,8.41,23.2,22.64,-0.85,-0.86,-0.88,27.8,547.2
20,21,7.93,7.93,14.01,13.78,-1.0,-1.0,-1.0,27.7,575.0
21,22,7.51,7.51,8.6,9.0,-0.64,-0.62,-0.65,27.7,602.7
22,23,8.93,8.93,12.92,12.62,-0.51,-0.52,-0.58,27.6,630.3
23,24,8.59,8.59,31.12,30.55,-0.94,-0.94,-0.95,27.3,657.6
24,25,8.03,8.03,6.25,6.87,-0.63,-0.62,-0.64,26.9,684.5
25,26,8.29,8.29,20.42,19.55,-1.0,-1.0,-1.0,27.7,712.2
26,27,7.75,7.75,12.08,11.83,-0.98,-0.98,-0.98,27.1,739.3
27,28,7.49,7.49,22.47,22.93,-0.92,-0.95,-0.93,27.2,766.5
28,29,8.27,8.27,35.57,36.31,-0.87,-0.92,-0.9,27.0,793.5
29,30,7.51,7.51,38.87,37.99,-1.0,-1.0,-1.0,27.1,820.7
30,31,8.1,8.1,11.9,11.63,-0.93,-0.92,-0.93,27.3,848.0
31,32,7.9,7.9,40.33,41.74,-0.81,-0.8,-0.84,27.5,875.5
32,33,9.01,9.01,18.63,19.17,-0.31,-0.26,-0.25,27.3,902.8
33,34,7.71,7.71,14.82,15.87,-0.88,-0.91,-0.91,27.5,930.3
34,35,7.71,7.71,11.13,11.61,-0.9,-0.9,-0.91,27.4,957.7
35,36,8.57,8.57,20.11,20.58,0.0,-0.02,-0.1,27.6,985.3
36,37,8.78,8.78,9.82,9.7,-0.93,-0.94,-0.95,27.7,1013.0
37,38,8.47,8.47,43.33,44.08,-0.97,-0.98,-0.98,27.4,1040.4
38,39,8.29,8.29,27.79,26.96,-1.0,-1.0,-1.0,26.9,1067.2
39,40,8.29,8.29,32.85,32.81,-0.19,-0.29,-0.25,27.4,1094.6
40,41,7.66,7.66,37.64,37.0,-0.97,-0.97,-0.98,27.3,1121.9
41,42,7.58,7.58,17.79,17.23,-1.0,-1.0,-1.0,27.2,1149.2
42,43,10.01,10.01,44.61,44.03,-0.97,-0.98,-0.98,27.0,1176.1
43,44,9.41,9.41,102.77,103.16,0.3,0.32,0.29,27.0,1203.1
44,45,8.37,8.37,14.25,14.07,-0.76,-0.79,-0.79,27.1,1230.2
45,46,7.93,7.93,37.74,37.44,-0.85,-0.88,-0.9,27.1,1257.3
46,47,7.34,7.34,22.66,21.76,-0.97,-0.98,-0.97,27.1,1284.4
47,48,8.81,8.81,35.34,36.42,-0.94,-0.95,-0.96,27.0,1311.4
48,49,7.84,7.84,16.81,16.93,-0.68,-0.69,-0.63,27.4,1338.8
49,50,9.0,9.0,30.45,29.82,-0.97,-0.97,-0.98,27.7,1366.4
50,51,8.34,8.34,12.52,11.96,-0.74,-0.74,-0.76,27.2,1393.7
51,52,7.54,7.54,27.77,27.33,-0.47,-0.54,-0.58,26.9,1420.6
52,53,7.92,7.92,39.76,39.18,-0.99,-0.99,-0.99,28.1,1448.7
53,54,6.81,6.81,9.55,9.75,-0.9,-0.9,-0.92,27.7,1476.4
54,55,7.43,7.43,8.53,7.53,-0.81,-0.79,-0.85,27.6,1504.0
55,56,6.89,6.89,8.71,9.52,-0.82,-0.83,-0.86,27.7,1531.7
56,57,6.81,6.81,11.96,11.96,-0.72,-0.72,-0.76,27.3,1559.0
57,58,6.74,6.74,14.77,14.56,-0.07,-0.07,-0.08,27.5,1586.5
58,59,6.66,6.66,28.64,27.74,-0.95,-0.95,-0.97,27.5,1614.1
59,60,7.25,7.25,12.38,12.13,-0.34,-0.35,-0.37,27.5,1641.6
60,61,7.14,7.14,31.12,30.57,-0.56,-0.6,-0.67,26.7,1668.3
61,62,6.99,6.99,15.87,15.71,-0.37,-0.45,-0.44,27.3,1695.6
62,63,6.5,6.5,9.8,9.16,-0.93,-0.92,-0.94,27.1,1722.7
63,64,7.58,7.58,10.0,9.97,-0.32,-0.32,-0.28,27.9,1750.6
64,65,8.02,8.02,6.37,5.74,0.07,0.06,0.08,27.1,1777.7
65,66,6.9,6.9,42.74,42.25,-0.97,-0.97,-0.98,26.9,1804.6
66,67,7.22,7.22,13.18,14.2,-0.93,-0.94,-0.94,27.2,1831.9
67,68,7.12,7.12,11.11,10.49,-0.79,-0.78,-0.81,27.2,1859.1
68,69,7.68,7.68,6.98,6.33,-0.49,-0.45,-0.51,27.3,1886.4
69,70,6.9,6.9,35.02,35.37,-0.6,-0.62,-0.6,27.2,1913.6
70,71,6.9,6.9,5.89,5.59,-0.44,-0.42,-0.46,27.3,1940.9
71,72,6.99,6.99,7.3,6.28,-0.86,-0.84,-0.87,27.5,1968.3
72,73,6.67,6.67,18.79,19.5,-0.94,-0.95,-0.95,27.3,1995.6
73,74,6.16,6.16,20.24,21.39,-0.61,-0.58,-0.62,26.8,2022.4
74,75,6.69,6.69,36.58,36.14,-0.95,-0.96,-0.95,27.8,2050.2
75,76,7.97,7.97,56.19,56.69,-0.07,-0.17,-0.12,27.3,2077.5
76,77,6.47,6.47,38.94,38.61,-0.9,-0.91,-0.92,27.6,2105.1
77,78,6.45,6.45,18.46,18.29,-0.52,-0.56,-0.62,27.5,2132.6
78,79,6.04,6.04,12.58,12.27,-0.45,-0.5,-0.55,28.0,2160.6
79,80,6.61,6.61,39.34,39.93,-0.63,-0.64,-0.61,27.0,2187.6
80,81,6.62,6.62,41.84,41.39,-0.86,-0.88,-0.9,27.4,2215.1
81,82,7.25,7.25,25.23,24.44,-0.84,-0.85,-0.88,27.4,2242.5
82,83,6.05,6.05,10.3,9.78,-0.97,-0.97,-0.97,27.6,2270.1
83,84,7.6,7.6,19.8,20.77,-0.85,-0.86,-0.88,27.1,2297.2
84,85,6.84,6.84,8.7,8.06,-0.75,-0.74,-0.76,27.4,2324.6
85,86,6.34,6.34,34.06,34.53,-0.62,-0.66,-0.68,27.8,2352.4
86,87,7.34,7.34,7.09,6.44,-0.84,-0.82,-0.85,27.8,2380.2
87,88,5.73,5.73,7.01,7.97,-0.57,-0.51,-0.58,27.9,2408.1
88,89,6.42,6.42,16.63,16.59,-0.4,-0.46,-0.48,28.0,2436.0
89,90,6.71,6.71,13.92,14.74,0.14,0.21,0.17,28.0,2464.0
90,91,6.62,6.62,10.86,12.07,-0.89,-0.89,-0.91,28.0,2492.0
91,92,6.92,6.92,20.91,21.51,-0.93,-0.95,-0.94,27.9,2519.9
92,93,6.84,6.84,40.76,41.92,-0.95,-0.97,-0.98,28.1,2548.0
93,94,7.38,7.38,8.51,9.53,-0.66,-0.61,-0.66,27.9,2576.0
94,95,6.74,6.74,8.51,8.03,0.43,0.39,0.41,27.8,2603.8
95,96,7.61,7.61,9.24,9.29,0.22,0.26,0.22,27.4,2631.2
96,97,5.97,5.97,8.39,8.34,-0.9,-0.91,-0.91,27.3,2658.5
97,98,6.65,6.65,11.47,12.27,-0.02,0.06,-0.01,28.1,2686.7
98,99,6.72,6.72,16.05,15.68,-0.75,-0.74,-0.75,27.2,2713.9
99,100,6.65,6.65,37.72,36.86,-0.95,-0.96,-0.97,27.1,2740.9
100,101,6.13,6.13,11.65,12.87,-0.94,-0.94,-0.92,27.2,2768.1
101,102,5.9,5.9,8.09,7.63,-0.7,-0.64,-0.7,27.5,2795.6
102,103,6.69,6.69,8.92,9.92,-0.85,-0.82,-0.82,27.8,2823.4
103,104,5.8,5.8,5.93,5.92,-0.79,-0.76,-0.79,28.0,2851.3
104,105,5.75,5.75,24.07,23.83,-0.03,-0.09,-0.13,28.0,2879.3
105,106,5.67,5.67,14.36,13.88,-0.51,-0.49,-0.51,28.0,2907.3
106,107,5.83,5.83,7.77,8.78,-0.66,-0.59,-0.6,28.1,2935.5
107,108,5.52,5.52,7.32,7.74,-0.91,-0.91,-0.89,27.9,2963.4
108,109,5.95,5.95,17.25,16.29,-0.01,-0.06,-0.02,27.6,2991.0
109,110,5.87,5.87,24.33,23.63,-0.77,-0.78,-0.8,27.9,3018.9
110,111,5.95,5.95,9.79,10.43,0.47,0.5,0.5,27.4,3046.3
111,112,6.7,6.7,6.7,6.3,-0.84,-0.8,-0.79,27.4,3073.7
112,113,6.29,6.29,5.12,6.09,-0.74,-0.67,-0.72,26.8,3100.4
113,114,6.68,6.68,33.46,32.61,-0.9,-0.9,-0.92,27.6,3128.1
114,115,5.36,5.36,35.66,37.19,-0.3,-0.12,-0.16,27.5,3155.6
115,116,5.08,5.08,7.25,6.62,-0.68,-0.63,-0.69,27.1,3182.7
116,117,5.5,5.5,15.22,14.28,-0.03,-0.07,-0.08,27.1,3209.8
117,118,5.64,5.64,14.68,14.38,-0.0,-0.01,-0.02,27.2,3237.0
118,119,5.08,5.08,8.16,8.13,-0.95,-0.95,-0.94,27.1,3264.1
119,120,5.18,5.18,33.61,33.14,-0.87,-0.86,-0.9,26.9,3291.0
120,121,5.65,5.65,6.82,6.01,-0.68,-0.62,-0.63,27.2,3318.3
121,122,5.37,5.37,5.23,4.55,-0.12,-0.01,-0.09,26.8,3345.1
122,123,6.17,6.17,6.4,7.17,-0.11,-0.01,-0.08,27.3,3372.4
123,124,5.25,5.25,9.39,10.41,0.24,0.32,0.31,27.8,3400.2
124,125,5.81,5.81,13.85,14.86,-0.89,-0.88,-0.85,27.6,3427.8
125,126,5.26,5.26,9.35,10.5,-0.73,-0.65,-0.71,27.4,3455.2
126,127,5.94,5.94,5.06,5.92,-0.24,-0.08,-0.2,27.6,3482.8
127,128,4.98,4.98,5.72,5.49,0.3,0.35,0.24,27.9,3510.8
128,129,5.36,5.36,6.18,6.76,-0.83,-0.8,-0.81,27.9,3538.7
129,130,4.96,4.96,13.63,12.44,-0.53,-0.5,-0.5,28.0,3566.7
130,131,5.6,5.6,4.99,5.67,-0.55,-0.41,-0.44,28.1,3594.8
131,132,5.29,5.29,14.88,14.25,-0.02,-0.05,-0.06,28.0,3622.8
132,133,5.56,5.56,5.29,4.67,-0.02,0.0,0.02,28.0,3650.8
133,134,5.08,5.08,6.53,5.56,-0.13,-0.07,-0.13,27.7,3678.5
134,135,5.13,5.13,7.2,7.35,0.27,0.2,0.11,27.5,3706.0
135,136,4.96,4.96,4.45,4.36,-0.52,-0.43,-0.42,27.3,3733.3
136,137,5.05,5.05,27.53,28.56,-0.88,-0.85,-0.82,27.0,3760.3
137,138,5.71,5.71,25.75,25.51,-0.23,-0.38,-0.4,27.5,3787.8
138,139,6.09,6.09,14.66,13.74,0.09,0.01,0.08,27.6,3815.4
139,140,4.63,4.63,14.3,13.54,-0.87,-0.84,-0.84,27.6,3843.0
140,141,4.53,4.53,17.03,16.26,-0.38,-0.41,-0.4,27.1,3870.1
141,142,5.33,5.33,6.32,5.3,-0.4,-0.33,-0.37,27.3,3897.4
142,143,5.0,5.0,7.61,6.97,-0.85,-0.8,-0.81,27.3,3924.7
143,144,5.11,5.11,33.12,33.95,-0.26,-0.09,-0.23,26.8,3951.5
144,145,5.48,5.48,9.33,8.34,-0.51,-0.45,-0.43,27.4,3978.9
145,146,5.11,5.11,40.57,41.14,-0.68,-0.58,-0.6,27.6,4006.5
146,147,5.51,5.51,20.66,20.07,-0.7,-0.66,-0.7,27.1,4033.6
147,148,5.07,5.07,8.53,7.85,-0.53,-0.41,-0.47,27.2,4060.8
148,149,5.1,5.1,22.48,22.03,-0.39,-0.43,-0.45,27.9,4088.6
149,150,5.24,5.24,23.45,24.23,-0.39,-0.32,-0.36,27.8,4116.5
150,151,4.82,4.82,12.1,11.25,-0.45,-0.33,-0.37,27.5,4144.0
151,152,5.52,5.52,6.23,5.52,-0.32,-0.14,-0.21,27.5,4171.5
152,153,5.04,5.04,13.81,14.93,-0.32,-0.16,-0.21,27.1,4198.6
153,154,4.63,4.63,4.73,5.6,-0.35,-0.13,-0.2,27.0,4225.7
154,155,4.19,4.19,9.08,10.18,-0.3,-0.14,-0.15,26.9,4252.6
155,156,4.41,4.41,16.12,15.07,-0.83,-0.79,-0.78,27.1,4279.7
