,Unnamed: 0,predicted_value,ground_truth
0,0,51.55508356938418,60.0
1,1,60.39627139468108,56.0
2,2,28.41673822893681,25.0
3,3,32.32876180682563,30.0
4,4,51.800860877049715,46.0
5,5,78.87437164076331,79.0
6,6,69.2078489921565,71.0
7,7,33.13609871416032,33.0
8,8,45.54960064723188,46.0
9,9,82.38637962345443,85.0
10,10,54.42373424194529,51.0
11,11,28.438558805053702,35.0
12,12,47.24713343281233,42.0
13,13,37.69782169462964,37.0
14,14,26.660537904407963,25.0
15,15,29.684854259806773,26.0
16,16,62.29164116960947,60.0
17,17,24.151585542540836,25.0
18,18,43.09525331930972,40.0
19,19,52.12009651055832,50.0
20,20,77.87286015389438,69.0
21,21,63.536099582523214,67.0
22,22,80.74307087931732,80.0
23,23,74.01959326083178,72.0
24,24,54.248199640958646,55.0
25,25,66.0856154413185,57.0
26,26,85.64834403147013,78.0
27,27,76.8672161188323,81.0
28,28,75.74461481459372,79.0
29,29,79.23838397518743,71.0
30,30,72.97899555158139,59.0
31,31,60.51967794361355,63.0
32,32,82.84420738167765,86.0
33,33,71.84775558727804,73.0
34,34,79.64134456813449,82.0
35,35,41.64098796043005,39.0
36,36,83.1798522242675,81.0
37,37,73.08037776239054,65.0
38,38,39.002556517334305,41.0
39,39,59.629397164531774,56.0
40,40,72.97725508444304,68.0
41,41,54.49482383446347,52.0
42,42,17.015602354618995,19.0
43,43,64.5113576083747,64.0
44,44,49.71410339252936,48.0
45,45,22.740520912808112,23.0
46,46,50.185291358560356,55.0
47,47,84.81242738021113,76.0
48,48,28.09338914992317,35.0
49,49,43.07308464976516,48.0
50,50,61.53166194860522,65.0
51,51,22.331260677828578,20.0
52,52,82.86447745627679,74.0
53,53,62.85533920908579,58.0
54,54,45.30294461591355,42.0
55,55,40.46855835553292,36.0
56,56,30.279011535464765,34.0
57,57,68.18752135750525,63.0
58,58,73.56118180936093,76.0
59,59,68.33307853455463,71.0
60,60,45.031508153082676,47.0
61,61,32.78396612921592,39.0
62,62,32.98186785545132,32.0
63,63,80.95648398829307,78.0
64,64,52.79042787755147,52.0
65,65,52.40769278626463,44.0
