,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,30.61,20.39,36.26,33.33,0.07,-0.11,-0.09,34.7,34.7
1,2,23.75,17.06,16.4,16.01,-0.55,-0.69,-0.66,34.2,68.9
2,3,19.32,13.5,12.97,11.23,-0.16,-0.4,-0.28,34.2,103.0
3,4,16.36,12.17,15.49,14.33,-0.83,-0.9,-0.86,34.2,137.3
4,5,14.5,12.34,20.18,18.64,-0.31,-0.51,-0.44,34.1,171.4
5,6,15.29,12.17,15.05,15.32,-0.01,-0.03,0.05,34.1,205.5
6,7,12.5,11.15,15.77,16.72,-0.03,-0.0,-0.02,34.1,239.6
7,8,12.22,11.4,39.0,40.5,-0.72,-0.65,-0.8,34.2,273.8
8,9,11.69,12.07,21.82,20.72,-0.93,-0.96,-0.94,34.1,307.9
9,10,12.0,10.89,41.76,41.56,-1.0,-1.0,-1.0,34.1,342.0
10,11,11.41,10.06,33.54,35.49,-0.65,-0.54,-0.71,34.2,376.2
11,12,11.34,11.46,15.7,16.56,-0.66,-0.66,-0.66,34.1,410.3
12,13,11.76,10.31,37.86,39.56,-0.91,-0.85,-0.96,34.1,444.4
13,14,13.7,12.85,31.44,33.33,-0.81,-0.77,-0.89,34.0,478.4
14,15,13.69,12.49,291.78,288.41,0.07,-0.06,-0.07,34.0,512.4
15,16,10.43,10.23,28.01,29.23,-0.73,-0.64,-0.75,34.0,546.4
16,17,10.89,10.81,16.36,17.44,-0.52,-0.51,-0.52,34.0,580.5
17,18,11.83,11.57,10.01,10.02,0.21,0.26,0.37,34.1,614.6
18,19,10.56,10.13,15.04,14.13,-0.91,-0.94,-0.93,34.1,648.7
19,20,10.34,10.01,67.27,65.69,-0.68,-0.72,-0.73,34.0,682.7
20,21,9.24,8.85,30.94,30.79,-0.99,-0.99,-0.99,34.1,716.8
21,22,10.6,10.27,41.87,42.15,-0.97,-0.98,-0.98,34.1,750.9
22,23,11.16,10.38,36.56,37.05,-0.98,-0.97,-0.99,34.1,785.1
23,24,10.02,8.88,32.73,33.91,-0.67,-0.65,-0.77,34.1,819.1
24,25,11.54,10.26,27.14,25.63,0.16,0.17,0.32,34.0,853.2
25,26,14.88,14.36,25.98,26.39,-0.89,-0.84,-0.9,34.2,887.3
26,27,12.24,11.26,10.13,11.66,0.48,0.59,0.63,34.2,921.6
27,28,10.93,10.83,13.05,13.23,-0.87,-0.86,-0.86,34.1,955.7
28,29,10.43,9.77,5.97,5.61,-0.73,-0.78,-0.66,34.1,989.8
29,30,9.2,8.87,27.67,28.51,-0.86,-0.88,-0.89,34.2,1024.0
30,31,11.2,11.0,19.55,20.65,-0.64,-0.55,-0.63,34.2,1058.1
31,32,10.0,10.1,91.42,91.32,-0.97,-0.98,-0.98,34.1,1092.3
32,33,9.81,9.82,40.69,39.36,-0.78,-0.85,-0.79,34.2,1126.5
33,34,9.05,8.7,13.28,13.87,-0.71,-0.67,-0.68,34.1,1160.6
34,35,10.23,9.83,30.3,31.15,-0.95,-0.92,-0.96,34.2,1194.7
35,36,9.77,9.78,49.79,48.82,-0.83,-0.89,-0.86,34.2,1228.9
36,37,10.39,9.53,5.54,5.63,-0.39,-0.52,-0.31,34.3,1263.2
37,38,11.13,10.64,43.49,43.41,-1.0,-1.0,-1.0,34.2,1297.3
38,39,11.09,10.68,89.69,88.28,0.23,0.28,0.42,34.2,1331.5
39,40,9.61,9.39,43.62,43.82,-0.98,-0.99,-1.0,34.3,1365.8
40,41,10.41,10.07,37.1,37.55,-0.96,-0.96,-0.97,34.2,1400.0
41,42,9.4,9.45,52.3,51.71,-0.97,-0.98,-0.97,34.2,1434.2
42,43,10.78,10.05,15.42,15.36,0.03,0.16,0.11,34.2,1468.4
43,44,9.02,8.88,8.23,8.4,-0.02,0.07,0.11,34.3,1502.7
44,45,10.03,9.9,10.31,10.64,0.34,0.41,0.46,34.3,1537.0
45,46,8.98,9.08,23.8,24.63,-0.64,-0.68,-0.64,34.3,1571.2
46,47,8.03,8.13,13.3,12.3,-0.99,-0.99,-0.99,34.2,1605.4
47,48,11.02,10.53,12.51,13.42,-0.54,-0.5,-0.5,34.1,1639.6
48,49,10.83,10.08,78.6,77.28,-0.05,0.09,0.27,34.2,1673.8
49,50,9.02,8.88,13.86,12.57,-0.85,-0.89,-0.84,34.1,1707.9
50,51,8.84,8.6,8.25,8.92,0.34,0.45,0.48,34.2,1742.2
51,52,9.39,9.05,16.32,17.51,-0.31,-0.25,-0.19,34.1,1776.3
52,53,8.0,8.01,5.94,5.75,-0.43,-0.44,-0.25,34.1,1810.3
53,54,9.03,8.93,11.39,12.07,-0.21,-0.24,-0.07,34.1,1844.5
54,55,9.28,9.11,20.51,22.0,0.07,0.16,0.17,34.1,1878.6
55,56,7.99,7.97,24.04,23.3,-0.6,-0.66,-0.54,34.1,1912.7
