,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,26.16,26.16,1748.59,1755.21,0.35,0.6,0.5,11.5,11.5
1,2,11.34,11.34,299.61,300.25,0.0,0.31,0.19,11.0,22.5
2,3,9.73,9.73,62.35,62.48,-0.55,-0.42,-0.43,11.0,33.5
3,4,8.2,8.2,13.01,11.47,-0.96,-0.98,-0.96,11.0,44.5
4,5,9.54,9.54,11.07,9.94,-0.89,-0.91,-0.88,11.0,55.4
5,6,8.14,8.14,35.75,35.15,-0.71,-0.71,-0.7,11.0,66.4
6,7,8.93,8.93,40.8,40.86,-0.71,-0.7,-0.64,11.0,77.4
7,8,9.34,9.34,52.77,53.11,-0.92,-0.93,-0.9,11.0,88.4
8,9,7.22,7.22,21.74,21.98,-0.46,-0.53,-0.46,10.8,99.2
9,10,8.01,8.01,7.71,7.82,-0.66,-0.72,-0.59,11.0,110.3
10,11,9.64,9.64,10.58,10.22,-0.92,-0.93,-0.92,11.0,121.3
11,12,8.61,8.61,35.1,35.59,-0.56,-0.57,-0.58,11.0,132.3
12,13,7.81,7.81,31.2,30.97,-0.27,-0.35,-0.28,11.0,143.3
13,14,7.52,7.52,21.31,21.95,-0.65,-0.72,-0.66,11.0,154.3
14,15,7.98,7.98,6.82,7.72,-0.02,-0.2,0.0,10.9,165.2
15,16,7.74,7.74,54.57,55.8,-0.72,-0.77,-0.82,11.0,176.3
16,17,7.48,7.48,10.74,9.97,-0.95,-0.96,-0.94,11.0,187.3
17,18,6.4,6.4,10.61,9.96,-0.96,-0.96,-0.93,11.0,198.3
18,19,7.4,7.4,11.26,10.07,-0.98,-0.99,-0.98,11.1,209.4
19,20,8.48,8.48,32.41,32.76,-0.51,-0.54,-0.53,11.0,220.4
20,21,7.38,7.38,49.47,50.52,-0.65,-0.74,-0.83,11.1,231.5
21,22,8.2,8.2,6.11,5.03,-0.43,-0.55,-0.43,11.0,242.5
22,23,7.59,7.59,40.35,40.88,-0.76,-0.81,-0.75,11.0,253.5
23,24,6.35,6.35,51.07,51.35,-0.94,-0.96,-0.96,10.9,264.4
24,25,8.43,8.43,31.82,32.24,-0.77,-0.81,-0.8,11.0,275.4
25,26,7.72,7.72,23.21,23.34,-0.87,-0.89,-0.84,11.0,286.4
26,27,9.17,9.17,23.3,23.44,-0.06,-0.12,-0.05,11.0,297.5
27,28,9.41,9.41,11.7,10.8,-0.98,-0.99,-0.97,11.1,308.6
28,29,8.84,8.84,11.75,11.22,-0.98,-0.99,-0.98,11.2,319.8
29,30,5.54,5.54,54.65,54.62,-0.85,-0.91,-0.92,11.2,331.0
30,31,8.11,8.11,13.82,14.43,-0.75,-0.81,-0.72,11.3,342.3
31,32,6.76,6.76,40.87,41.79,-0.48,-0.44,-0.42,11.3,353.6
32,33,8.31,8.31,34.19,34.89,-0.1,-0.13,-0.07,11.0,364.6
33,34,8.53,8.53,11.34,10.36,-0.98,-0.98,-0.97,11.2,375.8
34,35,5.7,5.7,11.82,12.23,-0.93,-0.94,-0.95,11.0,386.8
35,36,8.59,8.59,9.75,10.04,-0.85,-0.87,-0.85,11.2,398.1
36,37,8.49,8.49,31.54,30.99,-0.94,-0.96,-0.92,11.2,409.3
37,38,6.66,6.66,7.21,8.15,-0.62,-0.73,-0.51,11.1,420.4
38,39,6.07,6.07,10.46,10.34,-0.95,-0.96,-0.95,11.2,431.6
39,40,6.5,6.5,15.04,14.58,-0.99,-0.99,-0.99,11.2,442.8
40,41,6.23,6.23,14.15,13.71,-0.98,-0.99,-0.98,11.1,453.9
41,42,5.89,5.89,12.4,11.68,-0.99,-0.99,-0.99,11.1,465.1
42,43,5.94,5.94,54.26,54.87,-0.9,-0.93,-0.95,11.1,476.2
43,44,6.22,6.22,36.52,35.73,-0.5,-0.57,-0.57,11.2,487.3
44,45,5.62,5.62,9.89,10.42,0.07,-0.26,-0.2,11.1,498.4
45,46,6.4,6.4,7.35,7.5,-0.02,-0.15,-0.06,11.2,509.6
46,47,5.59,5.59,15.03,14.88,-0.95,-0.95,-0.94,11.2,520.8
47,48,6.39,6.39,20.82,20.07,-0.11,-0.15,-0.22,11.1,531.9
48,49,5.1,5.1,55.56,56.43,-0.91,-0.94,-0.93,11.2,543.1
49,50,5.15,5.15,8.54,8.47,-0.95,-0.95,-0.95,11.1,554.3
50,51,5.41,5.41,7.62,8.03,-0.57,-0.57,-0.58,11.4,565.7
51,52,5.39,5.39,35.16,37.07,-0.25,-0.26,-0.38,11.1,576.8
52,53,4.54,4.54,8.33,8.01,-0.95,-0.93,-0.93,11.3,588.1
53,54,5.22,5.22,8.18,7.99,-0.97,-0.95,-0.96,11.2,599.3
54,55,4.96,4.96,10.54,11.38,-0.15,-0.14,-0.28,11.1,610.4
55,56,4.39,4.39,11.84,12.25,-0.52,-0.54,-0.51,11.3,621.6
56,57,5.57,5.57,18.11,18.42,-0.95,-0.94,-0.9,11.2,632.8
57,58,5.41,5.41,5.9,6.68,-0.89,-0.9,-0.84,11.2,644.0
58,59,6.9,6.9,4.95,5.92,-0.17,-0.12,-0.14,11.2,655.2
59,60,6.3,6.3,9.39,9.89,-0.6,-0.57,-0.51,11.2,666.4
60,61,4.85,4.85,23.48,23.84,-0.04,-0.14,-0.18,11.2,677.6
61,62,4.78,4.78,18.27,18.88,-0.5,-0.58,-0.54,11.2,688.8
62,63,4.5,4.5,9.04,8.78,-0.95,-0.96,-0.95,11.2,700.0
63,64,6.08,6.08,5.45,6.15,-0.51,-0.5,-0.43,11.3,711.3
64,65,4.15,4.15,24.07,24.34,-0.93,-0.89,-0.87,11.1,722.4
65,66,5.96,5.96,34.24,34.12,-0.57,-0.65,-0.58,11.1,733.5
66,67,7.01,7.01,35.95,35.69,-0.72,-0.72,-0.57,11.1,744.6
67,68,7.6,7.6,17.57,17.48,-0.9,-0.88,-0.85,11.1,755.7
68,69,5.95,5.95,15.65,15.66,-0.92,-0.89,-0.89,11.1,766.7
69,70,4.79,4.79,14.03,14.11,-0.96,-0.96,-0.96,11.1,777.8
70,71,5.15,5.15,16.43,16.15,-0.82,-0.76,-0.74,11.0,788.8
71,72,4.57,4.57,32.88,33.34,-0.14,-0.17,-0.17,11.1,800.0
72,73,4.26,4.26,22.03,21.56,-0.12,-0.21,-0.26,11.1,811.1
73,74,4.51,4.51,8.0,7.87,-0.81,-0.77,-0.77,11.1,822.2
74,75,4.59,4.59,21.02,20.26,-0.16,-0.26,-0.3,11.1,833.3
75,76,6.64,6.64,11.54,11.83,-0.42,-0.35,-0.39,11.1,844.4
76,77,4.92,4.92,12.04,12.54,-0.32,-0.31,-0.36,11.1,855.4
77,78,4.51,4.51,5.52,6.28,0.01,-0.06,-0.1,11.1,866.5
78,79,4.88,4.88,9.77,9.27,-0.92,-0.87,-0.9,11.1,877.6
79,80,5.04,5.04,9.99,10.99,-0.53,-0.59,-0.55,11.2,888.8
