Unnamed: 0,predicted_value,ground_truth
0,52.549567379170966,47.0
1,83.25417485077502,81.0
2,71.6445919040096,77.0
3,60.37177134252106,62.0
4,43.70601862324604,48.0
5,86.20870561159357,80.0
6,77.21861457897684,77.0
7,63.28510493142145,69.0
8,45.88566881653541,49.0
9,85.89206789191692,71.0
10,39.35960372771663,32.0
11,45.70890985248416,37.0
12,36.37272428180214,26.0
13,66.45630763349637,63.0
14,75.01098901246915,74.0
15,73.43827683557481,62.0
16,55.5675764312989,57.0
17,76.40659171309598,79.0
18,55.959276956736055,52.0
19,53.6676172261972,42.0
20,75.4922738772789,71.0
21,74.42737982861242,83.0
22,65.65510377660455,66.0
23,63.985556025327995,65.0
24,63.793365866212646,72.0
25,68.57828204684911,64.0
26,49.65078101068778,53.0
27,38.910089256371776,43.0
28,86.81883308629584,85.0
29,74.28280798000966,78.0
30,28.238961094347395,27.0
31,73.3636803475501,70.0
32,80.34195343100681,73.0
33,63.551178257764285,66.0
34,28.50782722894403,33.0
35,84.97742876509781,68.0
36,82.03536318477393,84.0
37,48.79147997569665,57.0
38,89.08970383302461,80.0
39,74.1357217837467,79.0
40,32.59907870658866,37.0
41,42.22112701544819,44.0
42,55.960693480820865,55.0
