,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,34.49,25.04,1395.96,1406.08,0.32,0.42,0.03,11.6,11.6
1,2,16.04,13.41,23.65,22.66,-0.81,-0.86,-0.92,11.1,22.7
2,3,16.07,14.77,239.64,240.81,-0.83,-0.91,-0.87,11.1,33.8
3,4,12.9,11.93,14.06,14.15,-0.98,-0.98,-0.98,11.1,44.9
4,5,11.55,10.12,67.98,69.31,-1.0,-1.0,-1.0,11.2,56.2
5,6,13.4,12.88,56.93,55.82,-1.0,-1.0,-1.0,11.2,67.3
6,7,10.94,9.9,17.69,19.17,-0.8,-0.76,-0.85,11.2,78.6
7,8,11.55,11.99,8.54,9.23,-0.74,-0.67,-0.74,11.0,89.6
8,9,14.24,12.19,7.32,10.24,-0.84,-0.79,-0.91,11.2,100.8
9,10,11.06,10.41,22.08,24.54,-0.43,-0.22,-0.66,11.1,111.9
10,11,12.07,11.22,27.54,28.1,-0.85,-0.88,-0.87,11.2,123.1
11,12,8.99,9.49,36.41,37.99,-0.98,-0.98,-0.98,11.1,134.2
12,13,8.65,8.32,51.48,52.62,-1.0,-1.0,-1.0,11.1,145.3
13,14,8.26,7.85,29.68,31.26,-0.99,-0.98,-0.99,11.0,156.4
14,15,7.5,8.17,12.82,14.36,-0.56,-0.49,-0.69,11.1,167.5
15,16,7.98,7.25,6.7,9.72,-0.39,-0.03,-0.68,11.2,178.6
16,17,9.0,8.77,8.74,10.03,-0.13,0.23,-0.43,11.1,189.7
17,18,9.7,10.37,29.5,30.24,-0.09,0.24,-0.39,11.1,200.8
18,19,9.5,10.5,16.18,19.32,-0.44,-0.06,-0.62,11.2,212.0
19,20,7.95,8.66,27.4,29.24,0.13,0.21,-0.3,11.1,223.2
20,21,7.31,7.21,46.31,48.03,-0.59,-0.57,-0.74,11.2,234.4
21,22,6.97,6.95,48.86,49.15,-0.83,-0.84,-0.87,11.0,245.4
22,23,7.0,7.86,22.28,22.33,-0.69,-0.45,-0.71,11.1,256.5
23,24,11.2,11.5,45.93,49.48,-0.3,-0.27,-0.65,11.1,267.6
24,25,11.95,12.22,57.66,59.63,-0.96,-0.95,-0.94,11.1,278.7
25,26,9.83,9.53,5.67,6.22,-0.35,0.08,-0.51,11.1,289.9
26,27,10.22,10.71,17.38,20.98,-0.22,0.12,-0.54,11.0,300.9
27,28,7.48,8.07,32.9,34.96,-0.99,-0.99,-0.99,11.1,312.0
28,29,10.1,11.19,6.46,7.5,-0.63,-0.31,-0.69,11.2,323.2
29,30,13.93,14.32,26.8,25.51,-0.5,-0.25,-0.58,11.1,334.2
30,31,9.27,9.75,14.32,15.21,0.2,0.37,-0.14,11.1,345.4
31,32,7.69,8.0,19.42,20.82,-1.0,-1.0,-1.0,11.2,356.6
32,33,10.56,12.11,6.85,9.15,-0.38,-0.15,-0.52,11.1,367.7
33,34,7.98,7.94,17.5,20.01,-0.7,-0.37,-0.75,11.0,378.6
34,35,6.71,6.82,19.45,19.33,-0.12,0.12,-0.35,11.0,389.7
35,36,6.76,7.13,39.85,41.76,-0.98,-0.98,-0.98,11.0,400.7
36,37,7.6,8.61,33.83,35.97,-0.99,-0.98,-0.99,11.1,411.8
37,38,6.66,6.67,23.25,26.57,0.48,0.55,0.19,11.0,422.8
38,39,9.77,10.18,6.99,9.58,-0.69,-0.47,-0.76,11.2,434.0
39,40,13.1,14.67,28.02,29.63,-0.66,-0.6,-0.72,11.0,445.0
40,41,7.57,8.38,16.51,18.96,0.02,0.36,-0.22,11.1,456.1
41,42,8.53,9.16,30.69,29.92,-0.77,-0.74,-0.82,11.1,467.2
42,43,8.81,8.08,33.86,35.29,-1.0,-1.0,-1.0,11.1,478.2
43,44,7.62,8.63,33.48,34.94,-1.0,-1.0,-1.0,11.1,489.3
44,45,6.6,6.7,15.33,14.44,-0.29,-0.12,-0.36,11.1,500.5
45,46,6.37,6.81,12.86,12.85,-0.59,-0.46,-0.75,11.2,511.6
46,47,6.15,6.93,54.64,54.76,-0.93,-0.93,-0.96,11.1,522.8
47,48,7.24,7.22,14.74,15.24,-0.95,-0.9,-0.95,11.1,533.9
48,49,6.31,6.26,5.76,7.3,-0.84,-0.71,-0.86,11.1,545.0
49,50,5.31,6.04,15.54,17.9,-0.91,-0.82,-0.9,11.0,556.0
50,51,5.13,5.38,5.29,6.99,-0.18,0.06,-0.41,11.0,567.1
51,52,5.46,6.04,10.44,11.13,-0.03,0.23,-0.32,11.1,578.2
52,53,4.59,5.03,12.62,11.47,0.52,0.48,-0.05,10.9,589.1
53,54,4.7,4.93,9.25,9.77,0.31,0.32,-0.23,11.2,600.3
54,55,5.43,5.6,4.28,5.9,-0.48,-0.16,-0.56,11.1,611.4
55,56,4.86,5.58,16.23,18.45,-0.98,-0.97,-0.97,11.1,622.6
56,57,5.98,6.42,8.37,7.54,0.58,0.54,0.21,11.1,633.6
57,58,5.38,5.67,27.14,27.54,0.38,0.43,-0.01,11.1,644.8
58,59,4.39,5.07,6.57,7.16,0.39,0.43,-0.25,11.1,655.8
59,60,5.11,5.21,12.38,12.62,-0.28,-0.03,-0.56,11.0,666.9
60,61,6.22,7.6,31.12,31.99,-0.97,-0.96,-0.97,11.1,678.0
61,62,5.27,5.17,4.97,6.25,-0.38,-0.15,-0.52,11.0,689.0
62,63,5.45,6.39,27.49,28.01,0.23,0.29,-0.12,11.1,700.2
63,64,5.86,5.19,16.27,18.44,-0.83,-0.63,-0.8,11.0,711.2
64,65,5.15,5.75,20.88,19.97,0.67,0.57,0.23,11.0,722.2
65,66,4.85,5.03,6.88,6.7,0.56,0.47,0.0,11.1,733.4
66,67,4.27,4.68,4.18,6.1,-0.65,-0.24,-0.6,11.2,744.5
67,68,5.98,6.19,5.31,6.94,-0.61,-0.47,-0.67,11.2,755.7
68,69,5.02,5.42,9.22,10.93,-0.95,-0.89,-0.94,11.1,766.8
69,70,7.56,8.51,5.17,6.42,0.03,0.22,-0.27,11.1,777.9
