,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,51.3,51.3,145.42,145.81,-0.84,-0.86,-0.95,8.7,8.7
1,2,17.49,17.49,80.85,82.2,-0.98,-0.99,-0.99,8.0,16.6
2,3,14.91,14.91,18.2,19.41,-1.0,-1.0,-1.0,8.0,24.7
3,4,14.89,14.89,13.54,13.34,-1.0,-1.0,-1.0,8.0,32.7
4,5,14.6,14.6,12.94,13.62,-1.0,-1.0,-1.0,8.0,40.7
5,6,14.36,14.36,14.52,14.4,-1.0,-1.0,-1.0,8.0,48.7
6,7,12.7,12.7,22.33,21.24,-0.99,-0.99,-0.99,8.0,56.7
7,8,14.93,14.93,27.13,26.1,-0.99,-0.99,-0.99,8.1,64.8
8,9,16.25,16.25,10.58,11.69,-0.95,-0.96,-0.97,8.1,72.9
9,10,11.71,11.71,14.79,15.47,-0.82,-0.85,-0.89,8.0,80.8
10,11,9.4,9.4,12.19,13.02,-0.79,-0.79,-0.84,8.0,88.9
11,12,9.21,9.21,12.63,13.89,-0.82,-0.82,-0.85,8.2,97.0
12,13,10.24,10.24,15.46,16.64,-0.73,-0.7,-0.81,8.1,105.1
13,14,9.96,9.96,12.74,12.96,-0.86,-0.85,-0.88,8.0,113.1
14,15,9.54,9.54,11.12,11.83,-0.75,-0.7,-0.81,8.0,121.1
15,16,9.53,9.53,6.74,8.69,-0.73,-0.68,-0.79,8.0,129.1
16,17,9.39,9.39,10.19,11.14,-0.73,-0.66,-0.78,8.2,137.3
17,18,9.73,9.73,16.65,16.4,-0.94,-0.93,-0.93,8.0,145.2
18,19,8.79,8.79,10.46,10.66,-0.93,-0.92,-0.92,8.0,153.2
19,20,7.95,7.95,9.05,9.9,-0.88,-0.87,-0.9,8.1,161.4
20,21,7.99,7.99,16.88,16.86,-0.8,-0.73,-0.79,8.0,169.3
21,22,8.69,8.69,8.4,9.78,-0.64,-0.54,-0.72,8.1,177.5
22,23,7.26,7.26,25.69,25.07,-0.88,-0.85,-0.86,8.1,185.5
23,24,9.24,9.24,5.74,8.58,-0.6,-0.52,-0.74,8.0,193.5
24,25,8.48,8.48,5.78,7.44,-0.68,-0.59,-0.71,8.0,201.6
25,26,7.24,7.24,10.35,11.39,-0.51,-0.35,-0.59,8.2,209.7
26,27,11.51,11.51,14.76,14.5,-0.93,-0.92,-0.91,8.1,217.8
27,28,9.09,9.09,9.22,10.89,-0.83,-0.77,-0.78,8.0,225.8
28,29,7.19,7.19,10.49,10.2,-0.82,-0.76,-0.76,8.0,233.8
29,30,7.65,7.65,5.58,6.99,-0.7,-0.58,-0.68,8.0,241.8
30,31,7.91,7.91,6.81,8.34,-0.45,-0.28,-0.58,8.0,249.8
31,32,8.35,8.35,17.9,17.67,-0.87,-0.84,-0.82,8.1,257.9
32,33,11.67,11.67,19.49,20.9,-0.77,-0.75,-0.85,8.1,266.0
33,34,9.41,9.41,20.36,21.27,-0.64,-0.55,-0.68,8.0,273.9
34,35,7.49,7.49,6.56,7.51,-0.8,-0.76,-0.8,7.9,281.8
35,36,9.11,9.11,16.85,16.79,-0.84,-0.8,-0.83,8.1,289.8
36,37,6.81,6.81,12.77,12.64,-0.84,-0.79,-0.83,8.0,297.9
37,38,7.79,7.79,17.4,17.44,-0.63,-0.55,-0.72,8.1,306.0
38,39,7.78,7.78,20.54,20.38,-0.88,-0.85,-0.84,8.0,314.0
39,40,6.1,6.1,12.36,12.27,-0.77,-0.69,-0.77,8.0,322.0
40,41,8.87,8.87,27.82,29.49,-0.56,-0.36,-0.67,8.0,330.0
41,42,6.01,6.01,28.1,29.75,-0.52,-0.42,-0.59,8.0,338.0
42,43,8.98,8.98,20.96,21.47,-0.45,-0.33,-0.61,8.0,346.0
43,44,7.92,7.92,6.27,6.92,-0.78,-0.69,-0.72,8.1,354.1
44,45,6.79,6.79,6.33,7.5,-0.92,-0.88,-0.91,8.0,362.1
45,46,6.78,6.78,9.54,9.78,-0.83,-0.75,-0.85,8.0,370.1
46,47,5.75,5.75,8.31,10.43,-0.87,-0.77,-0.85,8.1,378.2
47,48,6.3,6.3,9.65,10.15,-0.51,-0.26,-0.57,8.1,386.2
48,49,9.25,9.25,5.28,7.07,-0.31,-0.14,-0.47,8.0,394.2
49,50,7.43,7.43,9.19,10.89,0.05,0.18,-0.23,8.2,402.4
50,51,6.59,6.59,5.47,7.03,-0.79,-0.76,-0.79,8.0,410.4
51,52,6.6,6.6,18.64,19.03,-0.52,-0.41,-0.58,8.1,418.5
52,53,6.02,6.02,9.89,9.92,-0.7,-0.61,-0.72,8.0,426.5
53,54,5.77,5.77,7.74,8.3,-0.91,-0.89,-0.9,8.0,434.5
54,55,5.77,5.77,5.05,6.34,-0.67,-0.55,-0.73,8.0,442.5
55,56,6.05,6.05,7.14,7.43,-0.66,-0.45,-0.69,8.1,450.6
56,57,4.97,4.97,5.1,6.62,-0.81,-0.62,-0.8,8.0,458.6
57,58,5.18,5.18,6.33,7.14,-0.67,-0.44,-0.69,8.0,466.6
58,59,4.71,4.71,11.16,10.71,-0.48,-0.26,-0.69,8.2,474.8
59,60,4.2,4.2,13.14,13.22,-0.3,-0.16,-0.58,8.1,482.9
