,Unnamed: 0,predicted_value,ground_truth
0,0,56.09336363033755,46.0
1,1,57.64670253372111,52.0
2,2,47.38586280231693,40.0
3,3,78.00029172718759,85.0
4,4,74.3748075378219,71.0
5,5,24.822016736329473,19.0
6,6,84.12946258548826,77.0
7,7,72.09036811237256,75.0
8,8,50.747635969024365,64.0
9,9,44.01203286302514,48.0
10,10,64.62133067290317,69.0
11,11,77.54244368222864,80.0
12,12,46.180202727950984,47.0
13,13,61.857598558080845,70.0
14,14,52.05706204552908,52.0
15,15,75.52210729101725,75.0
16,16,77.63873891026293,77.0
17,17,76.12436703190214,79.0
18,18,25.81457179796073,28.0
19,19,58.52557853326762,56.0
20,20,69.67187146672201,81.0
21,21,83.53101663397153,85.0
22,22,55.1838344732701,58.0
23,23,26.417165554191584,34.0
24,24,38.359081967715504,41.0
25,25,78.30372587391543,78.0
26,26,72.23103045919,73.0
27,27,29.673091298372896,37.0
28,28,73.87631916909739,68.0
29,29,60.52486658766196,66.0
30,30,74.97634662180279,72.0
31,31,65.07357026726211,63.0
32,32,62.41554595440332,62.0
33,33,50.37102990744067,48.0
34,34,66.94054528448368,67.0
35,35,51.96304692868279,35.0
36,36,69.29405822427383,65.0
37,37,76.65791090188738,68.0
38,38,55.913478645467336,61.0
39,39,51.703136807340755,60.0
40,40,81.46926556187422,83.0
41,41,42.68188494701905,37.0
42,42,78.03894514294663,79.0
