,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,59.79,43.37,23.73,23.46,-0.99,-1.0,-0.99,24.3,24.3
1,2,20.98,12.65,60.85,60.85,-1.0,-1.0,-1.0,23.8,48.2
2,3,16.96,12.28,51.12,49.9,-0.9,-0.91,-0.9,23.8,72.0
3,4,18.16,13.07,33.65,30.84,-0.73,-0.76,-0.66,23.8,95.8
4,5,15.82,13.29,69.07,70.77,-0.93,-0.95,-0.92,23.9,119.7
5,6,12.53,10.87,28.6,23.27,0.01,-0.12,0.17,23.8,143.5
6,7,11.73,11.24,58.84,58.78,-1.0,-0.99,-1.0,23.8,167.3
7,8,12.72,10.53,59.24,58.28,-0.97,-0.96,-0.96,23.8,191.1
8,9,13.38,12.2,35.96,37.79,-0.93,-0.95,-0.95,23.8,214.9
9,10,16.08,15.29,57.03,56.96,-0.98,-0.97,-0.99,23.9,238.8
10,11,10.92,9.55,40.86,41.49,-0.99,-0.99,-0.99,23.8,262.5
11,12,11.61,9.99,46.22,39.28,-0.44,-0.62,-0.27,23.9,286.4
12,13,10.34,9.85,32.95,28.47,-0.1,-0.27,0.13,23.8,310.2
13,14,9.84,9.13,53.67,52.05,-0.86,-0.85,-0.86,23.8,334.0
14,15,10.36,10.34,36.96,37.66,-0.99,-0.99,-0.99,23.9,357.9
15,16,9.99,9.52,9.5,9.63,-0.94,-0.93,-0.95,23.8,381.8
16,17,8.57,8.08,23.74,20.24,-0.08,-0.24,0.1,23.8,405.6
17,18,8.71,8.19,10.7,11.18,-0.98,-0.97,-0.98,23.8,429.4
18,19,11.12,10.04,9.86,10.91,0.1,-0.06,0.19,23.8,453.3
19,20,8.35,8.21,14.76,15.34,-0.99,-0.98,-0.99,23.8,477.1
20,21,7.78,8.16,22.81,19.59,-0.01,-0.2,0.16,23.8,500.9
21,22,9.45,8.93,21.9,22.5,-0.99,-0.99,-0.99,23.8,524.7
22,23,8.28,7.79,23.52,24.57,-0.98,-0.97,-0.98,23.8,548.5
23,24,9.4,9.37,30.17,30.96,-0.97,-0.98,-0.97,23.8,572.3
24,25,8.6,7.65,8.81,6.53,0.22,0.12,0.29,23.8,596.1
25,26,8.59,8.78,23.32,23.94,-0.99,-0.99,-0.99,23.8,619.9
26,27,8.23,7.58,6.47,5.22,-0.12,-0.29,-0.12,23.8,643.7
27,28,10.74,11.08,28.11,28.69,-0.99,-0.99,-0.99,23.8,667.6
28,29,11.5,9.59,97.97,97.12,-0.97,-0.96,-0.97,23.7,691.3
29,30,8.67,8.62,25.63,26.43,-0.98,-0.98,-0.98,23.8,715.1
30,31,9.07,9.08,18.21,18.95,-0.98,-0.98,-0.98,23.9,739.0
31,32,10.54,10.08,30.86,25.68,-0.17,-0.42,0.07,23.8,762.8
32,33,8.9,9.8,10.16,8.84,-0.47,-0.47,-0.42,23.8,786.6
33,34,9.24,8.07,5.74,6.04,-0.63,-0.57,-0.63,23.8,810.4
34,35,7.83,7.55,27.74,28.41,-0.99,-0.99,-0.99,23.8,834.2
35,36,7.39,7.2,10.88,10.73,-0.94,-0.94,-0.95,23.8,858.0
36,37,8.03,7.85,13.03,9.97,0.27,-0.07,0.38,23.8,881.9
37,38,9.58,9.69,31.28,32.07,-0.99,-0.99,-0.99,23.8,905.7
38,39,7.94,7.44,33.17,33.83,-0.99,-0.99,-0.99,23.8,929.5
39,40,9.88,9.59,26.78,27.38,-0.99,-0.98,-0.99,23.8,953.3
40,41,9.32,8.64,35.82,36.83,-0.98,-0.98,-0.98,23.9,977.2
41,42,11.26,11.4,9.15,8.67,-0.36,-0.59,-0.36,23.8,1001.0
42,43,9.17,8.98,26.98,27.49,-1.0,-1.0,-1.0,23.8,1024.8
43,44,7.15,7.11,29.87,25.42,-0.07,-0.25,0.06,23.8,1048.6
44,45,9.76,9.66,50.65,47.82,-0.74,-0.79,-0.77,23.8,1072.4
45,46,11.71,11.76,17.22,13.33,0.12,-0.22,0.26,23.8,1096.2
46,47,7.01,6.72,11.86,12.53,-0.38,-0.43,-0.46,23.7,1119.9
47,48,8.23,8.05,6.59,6.79,-0.74,-0.66,-0.75,23.8,1143.7
48,49,8.08,7.91,11.38,11.81,-0.99,-0.98,-0.99,23.8,1167.5
49,50,6.74,6.85,19.77,20.01,-0.99,-0.99,-0.99,23.8,1191.2
50,51,6.55,5.83,10.93,9.39,0.41,0.21,0.48,23.8,1215.1
51,52,7.06,7.45,16.67,17.7,-0.95,-0.92,-0.95,23.9,1239.0
52,53,8.3,7.59,13.6,14.87,-0.89,-0.82,-0.9,23.8,1262.8
53,54,7.96,8.49,22.53,23.13,-0.99,-0.99,-0.99,23.8,1286.6
54,55,6.85,6.07,6.38,6.16,0.18,-0.01,0.17,23.8,1310.4
55,56,6.48,6.52,27.02,22.69,-0.04,-0.28,0.13,23.8,1334.2
56,57,5.97,6.19,7.62,7.47,-0.83,-0.81,-0.83,23.9,1358.0
57,58,8.05,7.56,20.64,22.24,-0.91,-0.86,-0.93,23.8,1381.8
58,59,7.31,7.19,20.22,20.83,-0.99,-0.98,-0.98,23.8,1405.6
59,60,5.57,6.11,10.74,10.71,-0.84,-0.85,-0.86,23.8,1429.4
60,61,6.92,6.52,23.13,24.02,-0.98,-0.98,-0.98,23.8,1453.2
61,62,7.18,7.56,41.6,37.68,-0.65,-0.73,-0.63,23.8,1477.1
62,63,7.3,7.32,28.75,29.26,-0.99,-0.99,-0.99,23.8,1500.9
63,64,7.12,7.14,11.75,10.95,0.51,0.3,0.56,23.8,1524.6
64,65,6.8,6.47,33.09,25.97,0.05,-0.23,0.2,23.7,1548.4
65,66,6.94,7.5,5.87,4.98,0.03,-0.16,-0.07,23.9,1572.2
66,67,6.78,6.66,5.59,4.51,-0.34,-0.41,-0.33,23.8,1596.1
67,68,6.33,6.22,11.81,13.15,-0.91,-0.87,-0.93,23.7,1619.8
68,69,5.79,5.71,18.77,19.58,-0.98,-0.97,-0.98,23.8,1643.6
69,70,7.01,7.16,14.02,15.46,-0.81,-0.81,-0.82,23.8,1667.4
70,71,6.6,6.82,40.5,36.09,-0.66,-0.74,-0.63,23.8,1691.2
71,72,7.46,6.53,18.93,20.49,-0.84,-0.71,-0.88,23.8,1715.0
72,73,6.33,7.31,28.79,29.2,-1.0,-1.0,-1.0,23.8,1738.8
73,74,6.01,5.79,20.15,20.86,-0.98,-0.97,-0.97,23.8,1762.6
74,75,5.49,5.68,10.38,10.93,-0.9,-0.88,-0.89,23.8,1786.3
75,76,6.47,6.03,8.86,8.74,0.49,0.17,0.49,23.8,1810.1
76,77,6.13,6.36,18.15,18.53,-0.99,-0.99,-0.99,23.9,1834.0
77,78,5.82,6.03,15.7,16.43,-0.88,-0.88,-0.89,23.8,1857.8
78,79,5.32,5.74,16.26,17.22,-0.94,-0.92,-0.94,23.8,1881.6
79,80,5.96,5.97,6.72,6.71,0.4,0.07,0.2,23.8,1905.4
80,81,5.9,6.31,22.46,23.15,-0.99,-0.99,-0.98,23.8,1929.2
81,82,5.22,5.61,20.59,21.06,-0.99,-0.99,-0.99,23.8,1953.0
82,83,5.26,5.09,18.05,14.28,0.21,-0.02,0.31,23.8,1976.8
83,84,5.92,6.24,29.12,22.69,-0.04,-0.34,0.09,23.9,2000.6
84,85,5.76,5.5,44.71,45.49,-0.99,-0.95,-1.0,23.8,2024.4
85,86,6.44,6.42,12.0,12.76,-0.93,-0.92,-0.92,23.8,2048.2
86,87,6.17,6.2,19.33,19.8,-0.99,-0.99,-0.99,23.9,2072.1
87,88,6.9,7.81,16.85,17.47,-0.97,-0.95,-0.96,23.7,2095.8
88,89,5.9,5.32,6.9,6.0,-0.46,-0.67,-0.53,23.9,2119.7
89,90,5.66,6.27,8.19,8.35,-0.83,-0.82,-0.81,23.8,2143.4
90,91,5.93,5.7,10.84,10.16,0.43,0.09,0.45,23.8,2167.3
91,92,5.67,5.82,7.03,6.73,0.39,0.18,0.34,23.8,2191.1
92,93,6.94,7.35,7.57,8.47,0.47,0.2,0.36,23.9,2215.0
93,94,5.86,6.12,13.03,14.46,0.26,0.18,0.16,23.8,2238.8
94,95,6.92,7.18,24.12,25.08,-0.97,-0.96,-0.95,23.8,2262.6
95,96,5.92,5.88,11.2,10.02,0.36,0.07,0.37,23.8,2286.4
96,97,5.21,5.55,41.53,40.4,-0.9,-0.88,-0.92,23.8,2310.1
97,98,5.72,5.48,38.62,34.91,-0.72,-0.78,-0.7,23.8,2333.9
98,99,6.73,7.44,22.43,22.84,-1.0,-0.99,-0.99,23.8,2357.7
99,100,5.89,5.63,22.04,17.84,0.17,-0.13,0.26,23.8,2381.5
100,101,6.07,6.53,20.67,16.64,0.21,-0.04,0.31,23.8,2405.3
101,102,5.35,5.43,5.56,5.78,0.43,0.12,0.29,23.7,2429.1
102,103,5.5,6.0,24.08,24.78,-0.98,-0.98,-0.97,23.8,2452.9
103,104,5.88,5.56,8.7,9.5,-0.83,-0.82,-0.84,23.8,2476.7
104,105,5.79,6.37,5.65,5.23,-0.34,-0.6,-0.45,23.8,2500.5
105,106,6.22,6.49,12.73,11.73,0.28,0.04,0.3,23.8,2524.4
106,107,6.63,7.29,6.43,5.62,0.45,-0.03,0.27,23.9,2548.3
107,108,5.56,5.76,18.44,19.44,-0.95,-0.93,-0.92,23.9,2572.1
108,109,4.73,4.95,5.59,5.05,0.29,-0.04,0.1,23.9,2596.0
109,110,6.05,6.91,13.11,13.36,-0.93,-0.91,-0.93,23.8,2619.8
110,111,4.94,4.5,7.12,7.11,0.49,0.21,0.4,23.8,2643.6
111,112,5.14,5.43,13.49,13.95,-0.94,-0.93,-0.92,23.7,2667.3
112,113,4.81,5.37,19.07,19.57,-0.97,-0.96,-0.94,23.8,2691.1
113,114,6.01,6.09,14.75,13.2,0.33,-0.01,0.34,23.8,2714.9
114,115,4.63,4.7,5.94,5.78,0.5,-0.0,0.24,23.8,2738.7
