Unnamed: 0,predicted_value,ground_truth
0,74.45261881067016,81.0
1,41.17932798487821,44.0
2,61.480600957923855,63.0
3,31.210933462265597,30.0
4,62.162330812973664,71.0
5,65.82561562203618,68.0
6,40.89539201171259,52.0
7,77.13625410499736,68.0
8,56.80949905061039,50.0
9,68.55993507024719,76.0
10,59.3724543657368,66.0
11,42.20826175292449,34.0
12,65.31628420456583,69.0
13,83.65061274727432,74.0
14,83.48779771738418,79.0
15,23.61618288991566,20.0
16,78.86205746559813,70.0
17,78.94335771057571,84.0
18,44.38419929359428,48.0
19,45.952810021948814,47.0
20,66.74863914736378,64.0
21,65.37929975593174,61.0
22,80.94513531401891,80.0
23,38.5752928308105,37.0
24,77.8615734000332,73.0
25,57.62134790985255,60.0
26,46.20836157531924,42.0
27,70.50416346253397,79.0
28,73.50786967457175,72.0
29,81.55810091573127,86.0
30,38.902752234429165,27.0
31,87.21072881333559,78.0
32,75.90427959551802,66.0
33,33.68682486197839,37.0
34,81.53961149419492,85.0
35,57.0328949673852,62.0
36,66.30024720687761,65.0
37,41.860336704851804,43.0
38,53.38315628586186,52.0
39,68.67472463841425,76.0
40,65.15942935491422,59.0
41,52.92938830860156,56.0
42,88.86955232260635,78.0
