,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,26.72,26.72,22.08,20.57,-1.0,-1.0,-1.0,17.5,17.5
1,2,12.48,12.48,12.92,13.06,-0.98,-0.99,-0.99,16.9,34.4
2,3,9.11,9.11,13.5,14.05,-1.0,-1.0,-1.0,16.9,51.3
3,4,8.68,8.68,13.14,12.86,-1.0,-1.0,-1.0,16.9,68.3
4,5,8.94,8.94,9.63,9.01,-0.97,-0.98,-0.97,16.8,85.1
5,6,10.36,10.36,32.22,30.77,-0.93,-0.94,-0.93,16.9,102.0
6,7,10.13,10.13,38.97,37.37,-0.93,-0.93,-0.92,16.9,118.8
7,8,9.4,9.4,49.48,47.78,-0.97,-0.98,-0.98,16.9,135.7
8,9,7.37,7.37,44.49,42.95,-1.0,-1.0,-1.0,16.8,152.6
9,10,8.01,8.01,42.82,41.16,-1.0,-1.0,-1.0,16.9,169.5
10,11,7.16,7.16,10.98,10.59,-0.99,-0.99,-0.99,16.9,186.4
11,12,8.71,8.71,21.3,22.56,-0.96,-0.97,-0.97,16.9,203.3
12,13,8.45,8.45,26.66,28.01,-0.98,-0.98,-0.98,16.8,220.1
13,14,8.3,8.3,27.73,26.56,-0.62,-0.7,-0.69,16.8,236.9
14,15,7.37,7.37,33.76,32.35,-0.75,-0.8,-0.78,16.9,253.8
15,16,10.05,10.05,21.31,20.3,-0.35,-0.43,-0.4,16.8,270.7
16,17,6.94,6.94,6.91,6.38,-0.49,-0.61,-0.54,16.9,287.5
17,18,7.74,7.74,49.95,48.4,-1.0,-1.0,-1.0,16.8,304.3
18,19,7.93,7.93,37.85,36.05,-0.93,-0.95,-0.94,16.9,321.3
19,20,9.53,9.53,51.98,53.28,-0.95,-0.96,-0.95,16.9,338.2
20,21,7.68,7.68,12.0,12.53,-0.98,-0.99,-0.97,16.8,355.0
21,22,7.2,7.2,11.81,11.09,-0.71,-0.77,-0.66,16.9,371.9
22,23,6.66,6.66,45.87,44.74,-0.97,-0.96,-0.97,16.9,388.8
23,24,7.02,7.02,46.62,45.03,-0.93,-0.93,-0.94,16.8,405.6
