,Unnamed: 0,predicted_value,ground_truth
0,0,80.84682070306417,85.0
1,1,65.55435614830613,76.0
2,2,76.14255564915673,76.0
3,3,62.99348204379865,63.0
4,4,62.36951574598939,59.0
5,5,61.65808896698408,67.0
6,6,43.49314337049893,47.0
7,7,79.6179199926866,78.0
8,8,81.29551428637956,85.0
9,9,36.34472068431328,43.0
10,10,75.01683710828505,72.0
11,11,69.16920534183083,63.0
12,12,74.30423161031621,79.0
13,13,66.55378753145135,72.0
14,14,34.02591725137243,34.0
15,15,78.62952454054862,83.0
16,16,40.10956536017155,41.0
17,17,59.35843622297417,58.0
18,18,58.82202591520978,68.0
19,19,74.06057921903374,65.0
20,20,74.78786745539593,79.0
21,21,73.29563487191022,75.0
22,22,42.431065170978556,39.0
23,23,22.05060896155401,24.0
24,24,75.7369691694379,70.0
25,25,78.33288803301086,80.0
26,26,78.0966317538018,82.0
27,27,47.119277749831454,26.0
28,28,78.52588579215569,80.0
29,29,42.46924541566635,52.0
30,30,26.56902544307357,31.0
31,31,61.65630691163411,50.0
32,32,75.0236531788132,71.0
33,33,73.4576504922907,82.0
34,34,60.880907839790716,61.0
35,35,60.83656378012768,56.0
36,36,57.13458256266752,53.0
37,37,44.71156023760515,46.0
38,38,79.26368699034069,84.0
39,39,72.5925499755301,66.0
40,40,63.96240533819746,69.0
41,41,51.65761015581461,48.0
42,42,25.928602504715386,37.0
