,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,32.24,23.57,207.5,221.37,-0.71,-0.77,-0.5,23.3,23.3
1,2,17.66,13.86,41.66,39.68,-0.73,-0.69,-0.73,22.7,46.1
2,3,13.04,11.46,25.07,25.84,-0.98,-0.97,-0.81,22.8,68.8
3,4,12.19,10.18,50.1,49.18,-0.95,-0.96,-0.95,22.7,91.5
4,5,12.39,12.34,50.89,50.39,-1.0,-1.0,-1.0,22.8,114.3
5,6,9.84,8.5,57.88,57.39,-1.0,-1.0,-1.0,22.7,137.0
6,7,10.47,10.06,11.9,12.9,-0.98,-0.97,-0.89,22.7,159.8
7,8,10.38,10.06,19.4,18.27,-0.73,-0.78,-0.69,22.7,182.5
8,9,11.94,10.53,50.41,49.64,-0.97,-0.97,-0.97,22.7,205.2
9,10,8.89,8.83,49.12,48.6,-1.0,-1.0,-0.99,22.6,227.8
10,11,9.9,9.43,47.42,47.05,-0.98,-0.98,-0.98,22.7,250.6
11,12,9.92,9.58,24.4,22.25,-0.65,-0.74,-0.67,22.6,273.2
12,13,10.65,10.52,51.89,51.34,-0.99,-0.99,-0.99,22.7,295.9
13,14,9.52,9.38,34.38,32.75,-0.13,-0.31,-0.32,22.8,318.7
14,15,9.12,8.35,23.0,24.67,-0.11,0.0,-0.12,22.7,341.4
15,16,12.58,12.9,14.79,15.0,-0.98,-0.97,-0.94,22.7,364.1
16,17,9.36,9.59,24.47,23.82,-1.0,-1.0,-0.98,22.6,386.7
17,18,8.8,9.17,14.12,14.56,-1.0,-1.0,-1.0,22.7,409.5
18,19,8.5,8.99,31.69,31.72,-0.99,-0.98,-0.97,22.7,432.2
19,20,8.68,9.16,29.48,29.31,-1.0,-1.0,-1.0,22.6,454.9
20,21,7.99,7.82,26.2,25.44,-0.99,-0.99,-0.98,22.8,477.6
21,22,10.48,10.84,9.49,8.41,-0.17,-0.29,-0.3,22.8,500.4
22,23,11.15,10.94,46.41,45.78,-0.9,-0.92,-0.93,22.7,523.2
23,24,8.68,8.03,15.52,13.01,0.38,0.19,0.2,22.7,545.9
24,25,11.32,10.57,49.08,48.45,-0.97,-0.96,-0.97,22.8,568.6
25,26,9.47,8.94,53.1,52.59,-0.98,-0.98,-0.98,22.7,591.3
26,27,9.52,9.74,22.63,22.78,-0.76,-0.66,-0.63,22.7,614.1
27,28,9.49,9.64,33.46,30.68,-0.29,-0.45,-0.33,22.7,636.7
28,29,9.63,9.17,16.54,14.13,0.27,0.11,0.12,22.7,659.4
29,30,8.44,7.98,32.11,31.38,-0.94,-0.92,-0.94,22.7,682.2
30,31,8.08,7.83,9.09,8.76,-0.3,-0.26,-0.27,22.7,704.9
31,32,11.04,11.38,99.51,100.02,-0.89,-0.82,-0.86,22.7,727.6
32,33,8.2,7.8,36.25,37.11,-0.83,-0.72,-0.59,22.7,750.3
33,34,8.23,8.72,5.31,7.74,-0.54,-0.42,-0.37,22.6,772.9
34,35,9.0,9.65,17.23,18.27,-0.69,-0.59,-0.57,22.7,795.6
35,36,11.71,10.8,21.45,20.08,-0.73,-0.77,-0.79,22.8,818.4
36,37,9.3,9.33,51.36,51.08,-1.0,-1.0,-1.0,22.7,841.1
37,38,9.17,9.5,54.35,53.09,-0.98,-0.98,-0.97,22.6,863.7
38,39,13.04,11.74,63.35,64.23,-0.94,-0.93,-0.93,22.7,886.4
39,40,8.73,8.09,41.27,39.58,-0.64,-0.69,-0.73,22.6,909.0
40,41,8.44,8.29,11.79,12.43,-0.99,-0.99,-0.98,22.7,931.7
41,42,8.38,8.64,16.95,15.92,-0.72,-0.72,-0.68,22.8,954.5
42,43,7.73,7.28,60.1,59.62,-1.0,-1.0,-1.0,22.8,977.3
43,44,9.44,9.5,50.11,49.63,-1.0,-1.0,-1.0,22.7,1000.0
44,45,7.4,7.29,16.27,15.47,-0.84,-0.76,-0.83,22.7,1022.8
45,46,9.28,9.69,21.72,20.73,-0.94,-0.94,-0.91,22.6,1045.3
46,47,8.02,7.89,56.03,56.93,-0.97,-0.95,-0.97,22.7,1068.0
47,48,7.53,8.04,9.59,10.73,-0.9,-0.83,-0.83,22.7,1090.7
48,49,7.89,7.58,56.77,56.29,-1.0,-1.0,-1.0,22.8,1113.5
49,50,7.05,7.72,22.47,20.64,-0.52,-0.54,-0.52,22.7,1136.2
50,51,7.48,7.84,9.46,11.19,0.31,0.22,0.13,22.8,1159.0
51,52,7.25,7.0,7.84,7.61,-0.75,-0.63,-0.66,22.8,1181.8
52,53,9.1,9.53,9.23,8.9,-0.52,-0.44,-0.42,22.8,1204.7
53,54,6.6,6.68,22.55,19.78,0.3,0.08,0.15,22.8,1227.4
54,55,7.5,7.15,42.64,43.3,-0.71,-0.62,-0.59,22.8,1250.2
55,56,9.34,9.31,36.39,36.41,-0.98,-0.96,-0.93,22.8,1273.0
56,57,7.49,7.61,12.47,12.11,-0.59,-0.47,-0.52,22.7,1295.7
57,58,8.52,9.14,6.83,6.65,-0.27,-0.2,-0.26,22.9,1318.6
58,59,10.51,11.12,50.87,49.68,-0.96,-0.96,-0.95,22.8,1341.4
59,60,7.66,8.12,6.86,8.7,0.07,0.06,0.05,22.7,1364.1
60,61,9.01,9.16,19.42,21.89,0.2,0.21,0.13,22.7,1386.8
61,62,7.98,7.73,49.14,49.63,-0.88,-0.8,-0.81,22.8,1409.6
62,63,8.41,8.42,13.86,12.61,-0.24,-0.31,-0.3,22.8,1432.3
63,64,7.74,8.07,31.78,30.03,-0.47,-0.53,-0.56,22.7,1455.1
64,65,9.15,8.96,12.65,11.65,-0.04,-0.15,-0.13,22.8,1477.8
65,66,9.78,9.89,7.83,8.8,0.27,0.14,0.16,22.7,1500.5
66,67,7.0,7.18,59.52,58.66,-0.99,-0.99,-0.99,22.9,1523.4
67,68,7.83,7.62,37.25,37.79,-0.9,-0.81,-0.77,22.7,1546.1
68,69,8.43,8.61,22.52,22.99,-0.86,-0.7,-0.72,22.8,1568.9
69,70,7.06,7.57,13.06,13.77,-0.8,-0.62,-0.74,22.9,1591.8
