,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,20.9,20.9,32.78,30.86,-0.84,-0.87,-0.84,21.8,21.8
1,2,12.55,12.55,118.46,117.29,-0.79,-0.8,-0.8,20.6,42.4
2,3,10.9,10.9,34.3,37.41,-0.59,-0.57,-0.8,19.6,62.0
3,4,12.79,12.79,8.33,7.94,-0.65,-0.7,-0.76,20.3,82.4
4,5,11.13,11.13,22.8,22.01,-0.96,-0.96,-0.97,20.4,102.8
5,6,9.3,9.3,22.77,22.14,-0.89,-0.88,-0.92,20.5,123.3
6,7,8.73,8.73,28.49,30.42,-0.6,-0.65,-0.82,20.6,143.9
7,8,9.39,9.39,10.87,10.85,-0.9,-0.9,-0.93,20.8,164.7
8,9,9.68,9.68,10.67,9.87,-0.85,-0.86,-0.89,19.5,184.2
9,10,8.38,8.38,20.03,19.94,-0.81,-0.81,-0.86,20.4,204.6
10,11,7.49,7.49,31.7,30.8,-0.92,-0.94,-0.94,20.6,225.1
11,12,10.03,10.03,10.09,9.32,-0.13,-0.24,-0.3,20.6,245.8
12,13,7.71,7.71,13.03,12.42,-0.89,-0.87,-0.89,20.6,266.4
13,14,9.45,9.45,9.57,9.25,-0.79,-0.79,-0.82,20.6,287.0
14,15,6.52,6.52,14.02,13.88,-0.96,-0.95,-0.96,19.6,306.6
15,16,7.2,7.2,9.83,9.98,-0.44,-0.57,-0.62,20.4,327.0
16,17,7.21,7.21,31.91,31.67,-0.96,-0.96,-0.97,20.5,347.5
17,18,6.94,6.94,9.52,8.66,-0.68,-0.68,-0.72,20.6,368.1
18,19,7.07,7.07,36.01,37.29,-0.87,-0.87,-0.93,20.8,388.9
19,20,7.25,7.25,7.16,6.23,-0.65,-0.7,-0.74,20.5,409.4
20,21,6.32,6.32,7.94,7.12,-0.82,-0.81,-0.82,19.6,429.0
21,22,7.19,7.19,37.24,37.16,-0.99,-0.98,-0.99,20.1,449.2
22,23,7.23,7.23,10.35,9.64,-0.74,-0.78,-0.82,20.6,469.7
23,24,7.15,7.15,19.82,20.46,-0.71,-0.73,-0.8,20.4,490.1
24,25,7.41,7.41,18.51,17.95,-0.93,-0.92,-0.94,20.8,510.9
25,26,6.53,6.53,15.02,14.14,-0.95,-0.95,-0.96,20.5,531.4
26,27,6.21,6.21,10.34,10.22,-0.6,-0.65,-0.65,19.6,551.0
27,28,6.18,6.18,26.3,25.48,-0.93,-0.93,-0.94,20.3,571.3
28,29,8.05,8.05,9.14,9.64,-0.69,-0.72,-0.75,20.6,591.9
29,30,7.69,7.69,11.25,10.83,-0.95,-0.97,-0.96,20.7,612.5
30,31,7.11,7.11,24.02,23.37,-0.94,-0.95,-0.95,20.5,633.1
31,32,7.75,7.75,19.03,18.2,-0.69,-0.7,-0.69,20.5,653.5
32,33,6.9,6.9,19.12,18.76,-0.84,-0.86,-0.87,19.3,672.8
33,34,7.16,7.16,12.75,12.42,-0.9,-0.9,-0.93,19.9,692.7
34,35,6.87,6.87,13.97,13.35,-0.91,-0.89,-0.92,20.3,713.0
35,36,5.3,5.3,14.1,13.5,-0.85,-0.85,-0.87,20.3,733.3
36,37,5.02,5.02,23.84,23.25,-0.8,-0.82,-0.84,20.3,753.6
37,38,6.27,6.27,7.7,7.38,-0.43,-0.53,-0.54,20.4,774.0
38,39,6.52,6.52,28.37,27.75,-0.91,-0.92,-0.93,19.5,793.6
39,40,8.1,8.1,33.92,33.02,-0.89,-0.92,-0.93,20.5,814.0
40,41,6.39,6.39,9.71,9.41,-0.79,-0.81,-0.85,20.4,834.4
41,42,5.94,5.94,18.59,19.17,-0.83,-0.83,-0.85,20.4,854.8
42,43,6.87,6.87,6.65,5.83,-0.33,-0.48,-0.51,20.3,875.1
43,44,6.71,6.71,6.79,7.75,-0.32,-0.51,-0.54,20.5,895.6
44,45,6.1,6.1,12.15,11.8,-0.82,-0.85,-0.84,19.5,915.1
45,46,5.58,5.58,23.16,22.49,-0.93,-0.95,-0.94,20.2,935.3
46,47,5.44,5.44,15.07,13.89,-0.55,-0.68,-0.6,20.6,956.0
47,48,6.41,6.41,17.29,16.88,-0.85,-0.89,-0.88,20.5,976.5
48,49,5.9,5.9,62.25,62.47,-0.94,-0.94,-0.96,20.5,997.0
49,50,7.91,7.91,14.76,14.75,0.19,-0.11,-0.1,20.5,1017.5
50,51,5.94,5.94,24.51,23.41,-0.96,-0.96,-0.96,24.5,1041.9
51,52,5.13,5.13,11.65,10.98,-0.86,-0.85,-0.84,20.5,1062.4
