,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,41.88,27.66,140.85,139.24,-0.52,-0.57,-0.72,28.2,28.2
1,2,25.23,17.64,42.41,45.3,-0.31,-0.33,-0.57,27.0,55.2
2,3,16.19,12.08,24.92,25.03,-0.96,-0.95,-0.95,27.2,82.4
3,4,21.79,16.55,15.06,16.63,0.28,0.28,-0.12,27.2,109.6
4,5,15.3,12.2,73.79,72.88,-0.96,-0.95,-0.96,27.2,136.8
5,6,12.74,11.47,34.09,33.99,-0.98,-0.98,-0.98,27.1,163.9
6,7,14.25,12.57,40.27,39.97,-0.96,-0.96,-0.97,27.0,191.0
7,8,11.82,10.42,11.35,12.09,-0.09,-0.15,-0.32,27.1,218.1
8,9,11.14,10.51,12.48,13.01,-0.27,-0.35,-0.47,27.0,245.1
9,10,11.67,10.74,18.51,18.46,-0.76,-0.82,-0.8,27.2,272.3
10,11,10.68,10.32,19.29,19.71,-0.59,-0.7,-0.7,27.2,299.5
11,12,13.54,12.32,17.03,14.6,-0.84,-0.85,-0.82,27.2,326.7
12,13,12.43,11.18,20.47,20.98,0.04,0.09,-0.3,27.1,353.7
13,14,11.5,10.42,25.91,25.96,-0.99,-0.99,-0.99,27.3,381.0
14,15,10.19,9.56,38.84,41.01,0.0,-0.03,-0.27,27.2,408.2
15,16,11.88,11.19,15.57,14.44,-0.72,-0.75,-0.75,27.4,435.6
16,17,10.98,10.13,20.71,19.9,-0.96,-0.95,-0.95,27.1,462.7
17,18,12.17,11.29,11.79,12.15,-0.37,-0.47,-0.49,27.2,489.9
18,19,9.5,8.74,11.65,12.88,-0.29,-0.29,-0.52,27.3,517.2
19,20,10.86,10.21,24.39,23.98,-0.68,-0.76,-0.72,27.2,544.5
20,21,10.95,10.0,17.24,15.98,0.04,-0.07,0.08,27.2,571.7
21,22,9.2,9.2,8.4,8.6,0.23,0.19,0.06,27.3,599.1
22,23,9.6,8.83,31.49,33.16,-0.71,-0.66,-0.84,27.3,626.3
